Date,Open,High,Low,Close,Adj Close,Volume
1987-03-09,3.000000,3.416667,2.833333,3.083333,3.083333,2177200
1987-03-16,3.083333,3.125000,2.750000,2.916667,2.916667,576800
1987-03-23,2.916667,3.000000,2.625000,2.875000,2.875000,707400
1987-03-30,2.833333,2.833333,2.666667,2.833333,2.833333,185000
1987-04-06,2.833333,2.833333,2.625000,2.666667,2.666667,134000
1987-04-13,2.666667,2.708333,2.583333,2.666667,2.666667,244600
1987-04-20,2.666667,2.750000,2.625000,2.625000,2.625000,104400
1987-04-27,2.625000,2.833333,2.583333,2.833333,2.833333,157800
1987-05-04,2.833333,3.083333,2.833333,2.875000,2.875000,283800
1987-05-11,2.875000,2.958333,2.708333,2.833333,2.833333,128800
1987-05-18,2.791667,2.791667,2.666667,2.750000,2.750000,319000
1987-05-25,2.750000,2.791667,2.666667,2.666667,2.666667,215200
1987-06-01,2.666667,2.750000,2.625000,2.625000,2.625000,61600
1987-06-08,2.625000,2.750000,2.583333,2.625000,2.625000,257000
1987-06-15,2.625000,2.666667,2.541667,2.583333,2.583333,39400
1987-06-22,2.583333,2.583333,2.500000,2.541667,2.541667,141000
1987-06-29,2.541667,2.625000,2.541667,2.625000,2.625000,37800
1987-07-06,2.625000,2.625000,2.250000,2.375000,2.375000,117400
1987-07-13,2.375000,2.416667,2.250000,2.333333,2.333333,23400
1987-07-20,2.333333,2.458333,2.333333,2.333333,2.333333,9000
1987-07-27,2.458333,2.458333,2.375000,2.375000,2.375000,11000
1987-08-03,2.458333,2.458333,2.375000,2.375000,2.375000,82800
1987-08-10,2.375000,2.458333,2.375000,2.458333,2.458333,61200
1987-08-17,2.416667,2.541667,2.291667,2.458333,2.458333,223800
1987-08-24,2.458333,2.541667,2.416667,2.416667,2.416667,83200
1987-08-31,2.416667,2.458333,2.166667,2.166667,2.166667,54400
1987-09-07,2.166667,2.250000,2.125000,2.250000,2.250000,20800
1987-09-14,2.166667,2.250000,2.125000,2.166667,2.166667,34800
1987-09-21,2.166667,2.208333,2.166667,2.166667,2.166667,21600
1987-09-28,2.166667,2.250000,2.166667,2.208333,2.208333,22400
1987-10-05,2.208333,2.291667,2.125000,2.125000,2.125000,14200
1987-10-12,2.125000,2.125000,1.875000,2.041667,2.041667,21800
1987-10-19,1.916667,1.916667,1.458333,1.458333,1.458333,44200
1987-10-26,1.458333,1.500000,1.458333,1.500000,1.500000,49000
1987-11-02,1.500000,1.500000,1.375000,1.375000,1.375000,54200
1987-11-09,1.333333,1.333333,1.083333,1.166667,1.166667,33800
1987-11-16,1.166667,1.166667,0.625000,0.625000,0.625000,69800
1987-11-23,0.666667,0.833333,0.666667,0.833333,0.833333,130200
1987-11-30,0.833333,0.833333,0.666667,0.791667,0.791667,127600
1987-12-07,0.791667,0.833333,0.666667,0.833333,0.833333,412600
1987-12-14,0.833333,0.958333,0.833333,0.833333,0.833333,37000
1987-12-21,0.833333,0.958333,0.833333,0.875000,0.875000,73200
1987-12-28,0.875000,0.958333,0.875000,0.916667,0.916667,48400
1988-01-04,1.000000,1.000000,1.000000,1.000000,1.000000,1800
1988-01-11,0.916667,0.916667,0.833333,0.916667,0.916667,18200
1988-01-18,0.916667,0.916667,0.875000,0.875000,0.875000,15000
1988-01-25,0.916667,0.916667,0.875000,0.875000,0.875000,2400
1988-02-01,0.916667,0.916667,0.875000,0.916667,0.916667,5200
1988-02-08,0.875000,0.875000,0.875000,0.875000,0.875000,4200
1988-02-15,0.875000,0.875000,0.875000,0.875000,0.875000,8800
1988-02-22,0.875000,0.875000,0.875000,0.875000,0.875000,2000
1988-02-29,0.875000,0.916667,0.833333,0.875000,0.875000,59000
1988-03-07,0.875000,0.916667,0.833333,0.833333,0.833333,7800
1988-03-14,0.916667,0.958333,0.875000,0.916667,0.916667,416800
1988-03-21,0.916667,1.000000,0.916667,0.916667,0.916667,394800
1988-03-28,0.916667,0.958333,0.916667,0.958333,0.958333,8200
1988-04-04,0.916667,0.958333,0.916667,0.958333,0.958333,8800
1988-04-11,0.958333,0.958333,0.875000,0.875000,0.875000,5400
1988-04-18,0.916667,0.958333,0.916667,0.916667,0.916667,128400
1988-04-25,0.916667,0.916667,0.833333,0.833333,0.833333,18600
1988-05-02,0.833333,0.916667,0.833333,0.833333,0.833333,8800
1988-05-09,0.833333,0.833333,0.833333,0.833333,0.833333,9200
1988-05-16,0.875000,0.875000,0.875000,0.875000,0.875000,3600
1988-05-23,0.875000,0.875000,0.833333,0.833333,0.833333,1400
1988-05-30,0.833333,0.875000,0.750000,0.791667,0.791667,147400
1988-06-06,0.791667,1.166667,0.791667,1.166667,1.166667,46200
1988-06-13,1.000000,1.166667,1.000000,1.000000,1.000000,1800
1988-06-20,1.000000,1.083333,1.000000,1.000000,1.000000,16400
1988-06-27,1.000000,1.083333,1.000000,1.083333,1.083333,9200
1988-07-04,1.083333,1.083333,0.833333,1.083333,1.083333,5400
1988-07-11,1.083333,1.083333,0.750000,1.000000,1.000000,8800
1988-07-18,1.000000,1.000000,0.750000,0.750000,0.750000,4400
1988-07-25,0.750000,1.000000,0.750000,0.833333,0.833333,30400
1988-08-01,0.833333,0.833333,0.750000,0.833333,0.833333,10200
1988-08-08,0.833333,0.916667,0.833333,0.833333,0.833333,4600
1988-08-15,0.833333,0.833333,0.833333,0.833333,0.833333,4600
1988-08-22,0.833333,0.833333,0.833333,0.833333,0.833333,200
1988-08-29,0.833333,0.833333,0.833333,0.833333,0.833333,3200
1988-09-05,0.833333,0.958333,0.833333,0.916667,0.916667,33200
1988-09-12,0.916667,0.916667,0.833333,0.833333,0.833333,11800
1988-09-19,0.833333,0.833333,0.833333,0.833333,0.833333,3000
1988-09-26,0.875000,0.875000,0.875000,0.875000,0.875000,1800
1988-10-03,0.875000,0.875000,0.833333,0.833333,0.833333,600
1988-10-10,0.833333,0.875000,0.791667,0.833333,0.833333,12000
1988-10-17,0.833333,0.833333,0.562500,0.666667,0.666667,498600
1988-10-24,0.666667,0.666667,0.541667,0.583333,0.583333,11400
1988-10-31,0.583333,0.666667,0.583333,0.666667,0.666667,109600
1988-11-07,0.666667,0.666667,0.583333,0.583333,0.583333,23000
1988-11-14,0.625000,0.625000,0.541667,0.583333,0.583333,13600
1988-11-21,0.541667,0.625000,0.541667,0.625000,0.625000,15200
1988-11-28,0.625000,0.625000,0.583333,0.583333,0.583333,21800
1988-12-05,0.583333,0.625000,0.583333,0.583333,0.583333,15200
1988-12-12,0.583333,0.708333,0.583333,0.583333,0.583333,10200
1988-12-19,0.583333,0.666667,0.583333,0.583333,0.583333,62600
1988-12-26,0.583333,0.625000,0.437500,0.437500,0.437500,56200
1989-01-02,0.500000,0.500000,0.479167,0.479167,0.479167,13200
1989-01-09,0.458333,0.458333,0.333333,0.458333,0.458333,83800
1989-01-16,0.458333,0.500000,0.458333,0.479167,0.479167,48200
1989-01-23,0.541667,0.541667,0.500000,0.500000,0.500000,13200
1989-01-30,0.500000,0.833333,0.500000,0.750000,0.750000,85200
1989-02-06,0.750000,0.791667,0.666667,0.666667,0.666667,2600
1989-02-13,0.666667,0.750000,0.666667,0.750000,0.750000,8600
1989-02-20,0.666667,0.750000,0.666667,0.750000,0.750000,5600
1989-02-27,0.750000,0.750000,0.645833,0.750000,0.750000,18400
1989-03-06,0.750000,0.833333,0.750000,0.812500,0.812500,22800
1989-03-13,0.750000,0.791667,0.750000,0.750000,0.750000,49600
1989-03-20,0.750000,0.750000,0.708333,0.729167,0.729167,47800
1989-03-27,0.750000,0.958333,0.750000,0.916667,0.916667,375400
1989-04-03,0.916667,0.958333,0.854167,0.854167,0.854167,94200
1989-04-10,0.854167,0.854167,0.833333,0.833333,0.833333,3800
