Date,Open,High,Low,Close,Adj Close,Volume
1994-01-17,2.520830,2.583330,2.500000,2.541670,2.222841,13410000
1994-01-24,2.583330,2.666670,2.520830,2.604170,2.277501,2206800
1994-01-31,2.583330,2.666670,2.479170,2.520830,2.204615,1860600
1994-02-07,2.520830,2.625000,2.520830,2.583330,2.259275,691800
1994-02-14,2.604170,2.750000,2.583330,2.708330,2.368596,615000
1994-02-21,2.729170,2.729170,2.625000,2.666670,2.332160,268800
1994-02-28,2.708330,3.020830,2.645830,2.750000,2.405038,924000
1994-03-07,2.791670,2.875000,2.750000,2.833330,2.477915,654600
1994-03-14,2.854170,2.895830,2.625000,2.708330,2.368596,400800
1994-03-21,2.729170,2.812500,2.666670,2.750000,2.405038,542400
1994-03-28,2.750000,2.750000,2.416670,2.541670,2.222841,2849400
1994-04-04,2.500000,2.708330,2.479170,2.604170,2.277501,1007400
1994-04-11,2.625000,2.625000,2.520830,2.625000,2.295717,366000
1994-04-18,2.604170,2.604170,2.500000,2.583330,2.259275,579600
1994-04-25,2.604170,2.729170,2.541670,2.687500,2.350379,139800
1994-05-02,2.687500,2.708330,2.645830,2.687500,2.350379,110400
1994-05-09,2.666670,2.666670,2.541670,2.583330,2.259275,262200
1994-05-16,2.604170,2.708330,2.583330,2.708330,2.368596,252000
1994-05-23,2.708330,2.708330,2.604170,2.625000,2.295717,439200
1994-05-30,2.583330,2.645830,2.583330,2.604170,2.277501,84000
1994-06-06,2.604170,2.625000,2.604170,2.604170,2.277501,333000
1994-06-13,2.625000,2.645830,2.583330,2.604170,2.277501,202800
1994-06-20,2.583330,2.666670,2.541670,2.583330,2.259275,600600
1994-06-27,2.604170,2.875000,2.604170,2.833330,2.477915,546600
1994-07-04,2.791670,3.020830,2.770830,2.958330,2.587236,310200
1994-07-11,2.979170,3.020830,2.916670,2.979170,2.605460,114600
1994-07-18,3.020830,3.291670,2.833330,3.250000,2.842318,1083000
1994-07-25,3.187500,3.291670,3.187500,3.250000,2.842318,517800
1994-08-01,3.229170,3.250000,3.104170,3.166670,2.769441,336600
1994-08-08,3.166670,3.375000,3.166670,3.375000,2.951638,752400
1994-08-15,3.375000,3.916670,3.375000,3.916670,3.425361,883800
1994-08-22,3.958330,3.958330,3.666670,3.750000,3.279597,302400
1994-08-29,3.729170,3.791670,3.645830,3.770830,3.297815,109200
1994-09-05,3.729170,4.208330,3.666670,4.166670,3.644000,603000
1994-09-12,4.166670,4.166670,3.979170,4.041670,3.534680,763800
1994-09-19,4.041670,4.083330,3.833330,3.979170,3.480021,261600
1994-09-26,3.979170,4.000000,3.833330,4.000000,3.498236,871200
1994-10-03,4.000000,4.375000,3.895830,4.333330,3.789754,891600
1994-10-10,4.375000,4.666670,4.312500,4.375000,3.826197,1221600
1994-10-17,4.333330,4.666670,4.333330,4.666670,4.081279,191400
1994-10-24,4.708330,5.166670,4.583330,5.166670,4.518559,2004000
1994-10-31,5.166670,5.375000,5.062500,5.208330,4.554993,673200
1994-11-07,5.166670,5.187500,4.666670,4.666670,4.081279,342600
1994-11-14,4.708330,4.854170,4.583330,4.729170,4.135940,369000
1994-11-21,4.729170,4.854170,4.687500,4.750000,4.154157,142200
1994-11-28,4.750000,4.937500,4.750000,4.854170,4.245259,216600
1994-12-05,4.854170,4.979170,4.625000,4.770830,4.172373,527400
1994-12-12,4.812500,4.979170,4.729170,4.979170,4.354579,1294200
1994-12-19,5.000000,5.000000,4.833330,4.916670,4.299919,494400
1994-12-26,4.916670,5.041670,4.687500,5.000000,4.372797,241200
1995-01-02,5.041670,5.041670,4.687500,4.729170,4.135940,268800
1995-01-09,4.708330,4.833330,4.416670,4.666670,4.081279,841800
1995-01-16,4.708330,4.937500,4.708330,4.791670,4.190601,924000
1995-01-23,4.750000,5.041670,4.583330,4.625000,4.044835,1183800
1995-01-30,4.666670,4.687500,4.625000,4.625000,4.044835,586800
1995-02-06,4.666670,4.895830,4.458330,4.625000,4.044835,3326400
1995-02-13,4.645830,4.875000,4.458330,4.854170,4.245259,1138200
1995-02-20,4.854170,4.937500,4.687500,4.708330,4.117713,379200
1995-02-27,4.708330,4.937500,4.708330,4.833330,4.227034,544200
1995-03-06,4.791670,4.812500,4.333330,4.333330,3.789754,709200
1995-03-13,4.333330,4.520830,4.000000,4.208330,3.680434,1984800
1995-03-20,4.208330,4.312500,3.666670,4.125000,3.607557,1565400
1995-03-27,4.166670,4.625000,4.145830,4.604170,4.026618,1267800
1995-04-03,4.645830,4.666670,4.416670,4.437500,3.880856,294000
1995-04-10,4.437500,4.666670,4.416670,4.520830,3.953737,121200
1995-04-17,4.520830,4.645830,4.479170,4.625000,4.044835,196800
1995-04-24,4.604170,4.666670,4.416670,4.541670,3.971959,304800
1995-05-01,4.583330,4.750000,4.520830,4.541670,3.971959,1053600
1995-05-08,4.520830,4.520830,4.333330,4.458330,3.899074,392400
1995-05-15,4.479170,4.500000,4.354170,4.479170,3.917298,306000
1995-05-22,4.437500,4.437500,3.958330,4.000000,3.498236,984000
1995-05-29,4.000000,4.125000,3.916670,4.104170,3.589339,268800
1995-06-05,4.062500,4.208330,4.000000,4.166670,3.644000,123600
1995-06-12,4.166670,4.333330,4.062500,4.291670,3.753320,812400
1995-06-19,4.312500,4.583330,4.312500,4.541670,3.971959,465000
1995-06-26,4.500000,4.520830,4.375000,4.458330,3.899074,853800
1995-07-03,4.416670,4.500000,4.333330,4.458330,3.899074,178200
1995-07-10,4.458330,4.500000,4.416670,4.458330,3.899074,247200
1995-07-17,4.437500,4.666670,4.375000,4.666670,4.081279,243000
1995-07-24,4.687500,5.125000,4.687500,5.083330,4.445673,530400
1995-07-31,5.083330,5.145830,5.020830,5.104170,4.463899,613200
1995-08-07,5.104170,5.250000,5.104170,5.104170,4.463899,330000
1995-08-14,5.104170,5.270830,5.041670,5.187500,4.536775,393000
1995-08-21,5.187500,5.833330,5.166670,5.833330,5.101593,1073400
1995-08-28,5.791670,6.062500,5.729170,6.062500,5.302016,880200
1995-09-04,6.062500,6.104170,5.979170,6.000000,5.247355,118200
1995-09-11,5.958330,6.291670,5.937500,6.291670,5.502438,97200
1995-09-18,6.291670,6.312500,6.166670,6.291670,5.502438,189000
1995-09-25,6.250000,6.250000,5.750000,6.083330,5.320232,244800
1995-10-02,6.020830,6.083330,5.750000,5.895830,5.156252,177600
1995-10-09,5.875000,5.875000,5.604170,5.750000,5.028716,283800
1995-10-16,5.791670,5.791670,5.416670,5.479170,4.791859,196200
1995-10-23,5.500000,5.562500,5.416670,5.520830,4.828291,285600
1995-10-30,5.500000,5.791670,5.479170,5.791670,5.065159,444600
1995-11-06,5.750000,5.750000,5.583330,5.708330,4.992271,160800
1995-11-13,5.708330,5.916670,5.708330,5.916670,5.174480,87000
1995-11-20,5.958330,5.958330,5.854170,5.875000,5.138035,67200
1995-11-27,5.875000,5.958330,5.791670,5.916670,5.174480,277800
1995-12-04,5.895830,5.958330,5.770830,5.958330,5.210912,739800
1995-12-11,5.937500,5.979170,5.875000,5.958330,5.210912,230400
