Date,Open,High,Low,Close,Adj Close,Volume
2002-11-04,4.916667,5.446667,4.916667,5.150000,5.055713,7480500
2002-11-11,5.100000,5.873333,5.046667,5.770000,5.664362,3647700
2002-11-18,5.996666,6.250000,5.383333,5.866667,5.759259,1700700
2002-11-25,5.860000,6.456666,5.566667,5.863333,5.755987,1092600
2002-12-02,5.833333,6.833333,5.583333,6.296667,6.181386,1770300
2002-12-09,6.316667,6.413333,5.816667,5.943333,5.834522,1038300
2002-12-16,5.943333,6.546667,5.850000,6.490000,6.371180,609900
2002-12-23,6.433333,6.516667,6.286667,6.330000,6.214109,401700
2002-12-30,6.440000,6.483333,6.000000,6.300000,6.184659,603300
2003-01-06,6.350000,7.296667,6.300000,6.916667,6.790035,1141500
2003-01-13,6.966667,7.156667,6.666667,6.750000,6.626420,411300
2003-01-20,6.716667,6.816667,6.106667,6.320000,6.204293,536700
2003-01-27,6.400000,7.666667,6.166667,7.346667,7.212163,1672500
2003-02-03,7.416667,7.873333,6.870000,7.050000,6.920928,2465100
2003-02-10,7.083333,8.333333,6.830000,7.796667,7.653924,3106800
2003-02-17,7.866667,8.300000,7.583333,7.956666,7.810995,754500
2003-02-24,8.026667,8.333333,7.630000,7.750000,7.608112,469500
2003-03-03,7.893333,7.966667,7.333333,7.800000,7.657197,803400
2003-03-10,7.600000,7.773334,5.920000,7.083333,6.953651,3425100
2003-03-17,7.060000,7.133333,6.466667,6.940000,6.812942,945900
2003-03-24,6.953333,7.463333,6.550000,7.176667,7.045276,1169700
2003-03-31,7.043334,7.866667,6.800000,6.833333,6.708228,1232100
2003-04-07,6.953333,7.433333,6.953333,7.290000,7.156534,1090500
2003-04-14,7.366667,9.133333,7.356667,8.666667,8.507997,3694800
2003-04-21,8.850000,9.366667,8.410000,8.800000,8.638889,3011700
2003-04-28,8.966666,9.250000,8.616667,9.033334,8.867950,1940400
2003-05-05,9.003333,9.066667,7.816667,8.640000,8.481818,2441700
2003-05-12,8.750000,8.933333,8.353333,8.683333,8.524358,2892000
2003-05-19,8.683333,10.216666,8.586667,10.026667,9.843098,9462000
2003-05-26,10.200000,10.990000,9.426666,9.900000,9.718749,7920300
2003-06-02,9.900000,10.500000,8.513333,9.423333,9.250810,14328900
2003-06-09,9.200000,10.156667,9.046667,10.036667,9.852915,3950700
2003-06-16,10.150000,11.316667,10.096666,10.726666,10.530281,3189900
2003-06-23,10.686666,10.876667,9.766666,10.583333,10.389572,2647200
2003-06-30,10.670000,11.286667,9.966666,10.253333,10.065614,3752400
2003-07-07,9.830000,10.833333,9.116667,10.696667,10.500831,6110100
2003-07-14,10.646667,10.750000,8.533334,8.820000,8.658523,6047400
2003-07-21,8.800000,9.630000,8.800000,9.000000,8.835227,2116200
2003-07-28,9.046667,9.853333,8.713333,9.200000,9.031566,3500100
2003-08-04,9.190000,9.450000,8.893333,8.996667,8.831955,2294100
2003-08-11,8.950000,9.280000,8.666667,8.996667,8.831955,1034400
2003-08-18,9.020000,9.333333,8.600000,8.916667,8.753420,1197000
