Date,Open,High,Low,Close,Adj Close,Volume
1991-07-29,3.166667,3.416667,3.111111,3.194444,3.110381,18706500
1991-08-05,3.222222,3.250000,3.152778,3.222222,3.137428,3044700
1991-08-12,3.166667,3.583333,3.166667,3.388889,3.299709,1645200
1991-08-19,3.250000,3.583333,3.083333,3.500000,3.407896,1637100
1991-08-26,3.583333,4.222222,3.500000,4.166667,4.057018,2960100
1991-09-02,4.111111,4.166667,3.750000,4.027778,3.921785,2057400
1991-09-09,4.000000,4.527778,4.000000,4.500000,4.381580,1411200
1991-09-16,4.555555,4.861111,4.472222,4.722222,4.597955,1706400
1991-09-23,4.694445,5.000000,4.611111,4.805555,4.679095,1899000
1991-09-30,4.805555,4.805555,4.555555,4.611111,4.489768,760500
1991-10-07,4.611111,4.833333,4.388889,4.444445,4.327487,2781000
1991-10-14,4.611111,4.833333,4.527778,4.736111,4.611478,2227500
1991-10-21,4.777778,4.833333,4.611111,4.611111,4.489768,692100
1991-10-28,4.722222,4.972222,4.611111,4.972222,4.841375,1067400
1991-11-04,4.833333,4.944445,4.611111,4.611111,4.489768,735300
1991-11-11,4.611111,4.694445,4.388889,4.416667,4.300440,9252900
1991-11-18,4.333333,4.388889,3.958333,4.055555,3.948832,2315700
1991-11-25,3.916667,4.444445,3.916667,4.430555,4.313963,896400
1991-12-02,4.444445,4.805555,4.388889,4.722222,4.597955,1314900
1991-12-09,4.666667,4.666667,4.027778,4.166667,4.057018,1764000
1991-12-16,4.055555,4.305555,4.055555,4.166667,4.057018,8793000
1991-12-23,4.180555,4.180555,3.944444,4.138889,4.029972,904500
1991-12-30,4.027778,4.583333,4.027778,4.388889,4.273393,2070900
1992-01-06,4.361111,5.138889,4.333333,5.013889,4.881946,3774600
1992-01-13,4.972222,5.166667,4.638889,5.055555,4.922516,2209500
1992-01-20,5.055555,5.166667,4.666667,4.833333,4.706142,2089800
1992-01-27,4.861111,5.027778,4.722222,5.013889,4.881946,4629600
1992-02-03,5.027778,5.027778,4.722222,4.833333,4.706142,1045800
1992-02-10,4.722222,4.888889,4.333333,4.777778,4.652049,2969100
1992-02-17,4.819445,4.888889,4.722222,4.777778,4.652049,1457100
1992-02-24,4.888889,4.916667,4.694445,4.833333,4.706142,1571400
1992-03-02,4.777778,5.083333,4.750000,4.888889,4.760235,894600
1992-03-09,4.750000,5.027778,4.750000,4.861111,4.733189,738000
1992-03-16,5.027778,5.027778,4.916667,5.000000,4.868423,1057500
1992-03-23,5.027778,5.027778,4.527778,4.583333,4.462721,916200
1992-03-30,4.611111,4.611111,4.055555,4.333333,4.219300,1431000
1992-04-06,4.444445,4.722222,4.111111,4.222222,4.111112,3372300
1992-04-13,4.180555,4.333333,4.166667,4.333333,4.219300,449100
1992-04-20,4.166667,4.222222,3.750000,3.750000,3.651317,1012500
1992-04-27,3.916667,3.916667,3.750000,3.916667,3.813598,2734200
1992-05-04,3.805556,3.916667,3.611111,3.777778,3.678364,4223700
1992-05-11,3.625000,3.750000,3.555556,3.555556,3.461990,1704600
1992-05-18,3.694444,3.777778,3.472222,3.472222,3.380849,795600
1992-05-25,3.444444,3.555556,3.277778,3.305556,3.218568,2470500
1992-06-01,3.416667,3.888889,3.305556,3.750000,3.651317,1434600
1992-06-08,3.750000,3.888889,3.694444,3.861111,3.759504,185400
1992-06-15,3.861111,3.861111,3.472222,3.500000,3.407896,144000
1992-06-22,3.444444,3.611111,3.222222,3.611111,3.516083,1131300
1992-06-29,3.861111,4.361111,3.722222,4.222222,4.111112,2179800
1992-07-06,4.194445,4.194445,3.833333,3.972222,3.867691,1813500
1992-07-13,3.916667,4.027778,3.861111,4.027778,3.921785,2904300
1992-07-20,3.861111,4.222222,3.861111,4.222222,4.111112,726300
1992-07-27,4.055555,4.500000,4.055555,4.472222,4.354534,735300
1992-08-03,4.361111,4.500000,4.305555,4.388889,4.273393,308700
1992-08-10,4.277778,4.333333,4.111111,4.222222,4.111112,796500
1992-08-17,4.222222,4.555555,4.222222,4.458333,4.341011,418500
1992-08-24,4.361111,4.472222,4.263889,4.444445,4.327487,981900
1992-08-31,4.472222,4.472222,4.388889,4.416667,4.300440,468900
1992-09-07,4.416667,4.972222,4.416667,4.902778,4.773759,2539800
1992-09-14,4.888889,5.166667,4.888889,5.111111,4.976610,2253600
1992-09-21,5.111111,5.361111,5.111111,5.277778,5.138890,1186200
1992-09-28,5.388889,5.444445,4.972222,5.027778,4.895469,2127600
1992-10-05,5.055555,5.250000,4.888889,5.222222,5.084797,1122300
1992-10-12,5.222222,5.277778,5.083333,5.166667,5.030703,401400
1992-10-19,5.138889,6.000000,5.138889,5.888889,5.733920,3537900
1992-10-26,5.888889,6.166667,5.750000,5.944445,5.788013,1608300
1992-11-02,5.916667,6.111111,5.888889,5.944445,5.788013,1794600
1992-11-09,5.916667,6.500000,5.888889,6.361111,6.193716,2925900
1992-11-16,6.333333,6.500000,6.000000,6.458333,6.288380,1065600
1992-11-23,6.305555,6.555555,6.111111,6.555555,6.383043,653400
1992-11-30,6.583333,6.666667,6.472222,6.583333,6.410090,368100
1992-12-07,6.611111,6.833333,6.500000,6.500000,6.328950,1187100
1992-12-14,6.500000,6.638889,5.888889,6.138889,5.977342,2391300
1992-12-21,6.138889,6.611111,6.138889,6.527778,6.355996,899100
1992-12-28,6.555555,6.555555,6.083333,6.402778,6.234286,1167300
1993-01-04,6.333333,6.583333,6.222222,6.583333,6.410090,1141200
1993-01-11,6.527778,6.583333,5.944445,6.361111,6.193716,2216700
1993-01-18,6.222222,6.500000,6.194445,6.277778,6.112575,906300
1993-01-25,6.250000,6.555555,5.972222,6.111111,5.950294,2348100
1993-02-01,6.083333,6.222222,6.055555,6.138889,5.977342,1320300
1993-02-08,6.222222,6.222222,5.444445,5.527778,5.382311,3712500
1993-02-15,5.500000,5.638889,5.000000,5.138889,5.003656,4677300
1993-02-22,5.222222,5.555555,5.000000,5.555555,5.409359,3484800
1993-03-01,5.555555,5.555555,5.166667,5.333333,5.192984,2543400
1993-03-08,5.333333,5.472222,5.166667,5.166667,5.030703,2491200
1993-03-15,5.250000,5.333333,4.666667,5.000000,4.868423,9382500
1993-03-22,4.833333,4.888889,4.777778,4.805555,4.679095,2165400
1993-03-29,4.833333,5.305555,4.722222,5.055555,4.922516,4161600
1993-04-05,5.111111,5.166667,4.180555,4.194445,4.084066,5057100
1993-04-12,4.277778,4.444445,3.583333,4.000000,3.894738,10084500
1993-04-19,3.972222,4.083333,3.777778,3.930556,3.827121,5300100
1993-04-26,4.000000,4.444445,3.750000,4.277778,4.165206,2516400
1993-05-03,4.250000,5.055555,4.250000,4.888889,4.760235,1767600
1993-05-10,4.888889,5.000000,4.222222,4.416667,4.300440,2263500
1993-05-17,4.236111,4.444445,3.583333,4.305555,4.192252,10197000
1993-05-24,4.194445,4.500000,4.194445,4.388889,4.273393,1753200
1993-05-31,4.361111,4.388889,3.888889,3.972222,3.867691,1152900
1993-06-07,3.944444,3.972222,3.722222,3.833333,3.732457,1740600
1993-06-14,3.833333,4.388889,3.833333,4.361111,4.246346,3876300
1993-06-21,4.388889,5.222222,4.361111,4.972222,4.841375,4169700
1993-06-28,5.000000,5.152778,4.777778,5.000000,4.868423,3081600
1993-07-05,5.111111,5.111111,4.861111,4.944445,4.814330,1217700
1993-07-12,4.972222,5.138889,4.888889,4.916667,4.787282,3574800
1993-07-19,4.833333,5.027778,4.555555,4.944445,4.814330,2622600
1993-07-26,5.000000,5.000000,4.833333,4.833333,4.706142,540900
1993-08-02,4.833333,5.861111,4.833333,5.750000,5.598686,3739500
1993-08-09,5.833333,6.111111,5.444445,5.805555,5.652780,4392900
1993-08-16,6.000000,6.472222,5.611111,5.750000,5.598686,7987500
1993-08-23,5.750000,5.750000,5.138889,5.361111,5.220031,5599800
1993-08-30,5.388889,5.611111,5.333333,5.444445,5.301171,1421100
1993-09-06,5.416667,5.722222,5.166667,5.625000,5.476975,2143800
1993-09-13,5.750000,5.750000,5.083333,5.180555,5.044227,2769300
1993-09-20,5.166667,6.027778,4.861111,5.986111,5.828584,5300100
1993-09-27,6.194445,6.500000,6.055555,6.388889,6.220762,4926600
1993-10-04,6.500000,6.694445,6.388889,6.500000,6.328950,2359800
1993-10-11,6.555555,6.555555,6.222222,6.263889,6.099052,1976400
1993-10-18,6.361111,6.361111,5.527778,5.750000,5.598686,2729700
1993-10-25,5.777778,6.166667,5.638889,6.069445,5.909724,2216700
1993-11-01,6.138889,6.166667,5.916667,6.055555,5.896201,2968200
1993-11-08,5.944445,5.944445,5.361111,5.555555,5.409359,5247000
1993-11-15,5.444445,5.611111,5.250000,5.527778,5.382311,3084300
1993-11-22,5.430555,5.527778,5.305555,5.388889,5.247077,1267200
1993-11-29,5.444445,5.611111,5.361111,5.555555,5.409359,1630800
1993-12-06,5.500000,5.777778,5.500000,5.750000,5.598686,583200
1993-12-13,5.638889,5.750000,5.194445,5.250000,5.111844,3284100
1993-12-20,5.194445,5.194445,4.805555,4.916667,4.787282,5580900
1993-12-27,4.916667,5.000000,4.722222,4.861111,4.733189,2528100
1994-01-03,4.861111,5.361111,4.638889,5.097222,4.963086,3894300
1994-01-10,4.916667,4.916667,4.250000,4.666667,4.543861,13100400
1994-01-17,4.583333,4.722222,4.194445,4.333333,4.219300,3682800
1994-01-24,4.333333,4.500000,3.972222,4.361111,4.246346,5298300
1994-01-31,4.361111,4.944445,4.361111,4.750000,4.625001,4518000
1994-02-07,4.611111,4.750000,4.444445,4.597222,4.476244,5431500
1994-02-14,4.555555,4.638889,4.305555,4.333333,4.219300,3256200
1994-02-21,4.388889,4.611111,4.333333,4.611111,4.489768,5058000
1994-02-28,4.555555,4.722222,4.444445,4.666667,4.543861,4127400
1994-03-07,4.694445,5.861111,4.694445,5.750000,5.598686,9999900
1994-03-14,5.750000,6.305555,5.722222,5.861111,5.706873,9729900
1994-03-21,5.833333,6.000000,5.291667,5.333333,5.192984,4067100
1994-03-28,5.555555,5.694445,4.472222,5.111111,4.976610,11090700
1994-04-04,5.000000,5.638889,4.972222,5.555555,5.409359,6359400
1994-04-11,5.444445,5.527778,4.694445,4.888889,4.760235,7010100
1994-04-18,4.916667,5.305555,4.722222,5.305555,5.165937,4004100
1994-04-25,5.222222,5.555555,4.888889,4.944445,4.814330,4617000
1994-05-02,4.972222,5.694445,4.916667,5.555555,5.409359,6789600
1994-05-09,4.722222,4.805555,4.027778,4.166667,4.057018,16693200
1994-05-16,4.138889,4.638889,4.111111,4.138889,4.029972,5128200
1994-05-23,4.166667,4.291667,3.888889,4.236111,4.124636,5071500
1994-05-30,4.277778,4.277778,3.694444,3.833333,3.732457,8882100
1994-06-06,3.833333,3.972222,3.472222,3.666667,3.570177,7137000
1994-06-13,3.472222,3.666667,3.361111,3.416667,3.326755,6926400
