Date,Open,High,Low,Close,Adj Close,Volume
2018-02-05,9.000000,9.440000,8.540000,9.000000,9.000000,1929500
2018-02-12,9.150000,9.500000,9.000000,9.400000,9.400000,1000000
2018-02-19,9.320000,9.880000,9.320000,9.850000,9.850000,928100
2018-02-26,9.920000,9.970000,9.510000,9.630000,9.630000,557700
2018-03-05,9.650000,10.000000,9.520000,9.710000,9.710000,418800
2018-03-12,9.690000,9.850000,7.470000,7.990000,7.990000,1232400
2018-03-19,7.980000,8.690000,7.910000,8.460000,8.460000,444700
2018-03-26,8.530000,9.790000,8.415000,9.750000,9.750000,289400
2018-04-02,9.710000,9.740000,8.910000,8.990000,8.990000,276500
2018-04-09,9.050000,9.750000,8.480000,8.950000,8.950000,211800
2018-04-16,9.030000,9.150000,8.517000,8.540000,8.540000,158400
2018-04-23,8.580000,8.580000,7.500000,7.660000,7.660000,303800
2018-04-30,7.900000,8.370000,7.100000,8.130000,8.130000,489900
2018-05-07,8.170000,9.250000,8.010000,8.900000,8.900000,196600
2018-05-14,8.920000,10.500000,8.624000,9.870000,9.870000,273600
2018-05-21,9.910000,10.672000,8.020000,8.340000,8.340000,264400
2018-05-28,8.320000,8.900000,8.000000,8.560000,8.560000,295000
2018-06-04,8.620000,9.430000,8.290000,8.620000,8.620000,154800
2018-06-11,8.620000,9.080000,8.380000,8.740000,8.740000,213000
2018-06-18,8.570000,9.210000,8.390000,9.000000,9.000000,319700
2018-06-25,9.000000,9.600000,8.040000,8.470000,8.470000,164600
2018-07-02,8.420000,8.575000,8.170000,8.210000,8.210000,52000
2018-07-09,8.260000,8.890000,8.125000,8.340000,8.340000,103600
2018-07-16,8.340000,8.340000,6.900000,7.300000,7.300000,134800
2018-07-23,7.280000,7.470000,6.623000,7.100000,7.100000,128400
2018-07-30,7.140000,7.390000,6.720000,7.000000,7.000000,157600
2018-08-06,6.970000,7.890000,6.830000,7.800000,7.800000,62100
2018-08-13,7.810000,8.060000,7.615000,7.700000,7.700000,20600
