Date,Open,High,Low,Close,Adj Close,Volume
1980-01-01,8.000000,8.125000,7.583333,7.666667,2.313817,274500
1980-01-08,7.666667,8.458333,7.416667,8.458333,2.552743,1500000
1980-01-15,8.458333,8.583333,8.375000,8.541667,2.577892,249900
1980-01-22,8.541667,8.791667,8.416667,8.666667,2.615618,425700
1980-01-29,8.666667,8.750000,8.583333,8.666667,2.615618,467400
1980-02-05,8.666667,8.791667,8.666667,8.666667,2.615618,657600
1980-02-12,8.583333,8.583333,7.958333,8.000000,2.414418,422100
1980-02-19,8.000000,8.083333,7.250000,7.416667,2.238366,236700
1980-02-26,7.416667,7.708333,7.083333,7.125000,2.150341,547200
1980-03-04,7.125000,7.250000,6.833333,6.833333,2.086155,245400
1980-03-11,6.875000,7.041667,6.833333,6.833333,2.086155,223200
1980-03-18,6.833333,6.916667,6.083333,6.250000,1.908069,409200
1980-03-25,6.166667,6.208333,5.333333,5.833333,1.780863,1145700
1980-04-01,5.833333,6.125000,5.708333,5.708333,1.742703,142800
1980-04-08,5.708333,6.208333,5.625000,6.125000,1.869907,630300
1980-04-15,6.208333,6.333333,6.083333,6.166667,1.882628,226800
1980-04-22,6.250000,6.500000,6.208333,6.250000,1.908069,196200
1980-04-29,6.250000,6.333333,6.083333,6.125000,1.869907,306300
1980-05-06,6.125000,6.291667,5.875000,6.041667,1.844466,409800
1980-05-13,6.041667,6.250000,6.000000,6.125000,1.869907,2229300
1980-05-20,6.083333,6.208333,5.958333,6.083333,1.857189,828600
1980-05-27,6.166667,6.750000,6.166667,6.708333,2.144098,348300
1980-06-03,6.625000,6.625000,6.083333,6.208333,1.984290,468000
1980-06-10,6.291667,6.833333,6.291667,6.833333,2.184050,1232100
1980-06-17,6.833333,6.833333,6.333333,6.375000,2.037558,185400
1980-06-24,6.375000,6.375000,6.000000,6.041667,1.931020,292500
1980-07-01,6.041667,6.500000,6.041667,6.250000,1.997606,149700
1980-07-08,6.333333,7.500000,6.333333,7.458333,2.383812,495900
1980-07-15,7.458333,8.166667,7.416667,8.000000,2.556937,604200
1980-07-22,7.958333,7.958333,7.791667,7.791667,2.490349,423300
1980-07-29,7.791667,8.000000,7.791667,7.916667,2.530302,421200
1980-08-05,8.000000,8.458333,8.000000,8.458333,2.703428,429000
1980-08-12,8.458333,8.916667,8.458333,8.666667,2.770014,518400
1980-08-19,8.666667,8.833333,8.416667,8.458333,2.703428,523200
1980-08-26,8.458333,8.583333,8.000000,8.125000,2.596889,293700
1980-09-02,8.000000,8.750000,7.916667,8.416667,2.690110,1042200
1980-09-09,8.416667,8.916667,8.416667,8.500000,2.747175,590700
1980-09-16,8.583333,9.750000,8.583333,9.625000,3.110773,927300
1980-09-23,9.625000,9.750000,8.666667,8.750000,2.827976,570900
1980-09-30,8.750000,9.083333,8.583333,9.083333,2.935707,358200
1980-10-07,9.083333,9.416667,8.958333,9.041667,2.922240,464400
1980-10-14,9.041667,9.083333,8.666667,8.666667,2.801042,127800
1980-10-21,8.666667,9.291667,8.666667,9.208333,2.976106,555000
1980-10-28,9.208333,10.000000,9.208333,9.333333,3.016507,697800
1980-11-04,9.666667,9.958333,9.416667,9.416667,3.043439,287700
1980-11-11,9.500000,10.291667,9.500000,10.166667,3.285838,437700
1980-11-18,10.333333,10.625000,9.958333,10.041667,3.245438,449700
1980-11-25,10.000000,10.000000,9.666667,9.666667,3.150929,164700
1980-12-02,9.625000,9.750000,8.750000,8.750000,2.852134,895200
1980-12-09,8.833333,8.958333,8.416667,8.666667,2.824971,258900
1980-12-16,8.666667,10.083333,8.500000,10.000000,3.259580,599100
1980-12-23,9.833333,9.833333,9.250000,9.250000,3.015114,197100
1980-12-30,9.250000,9.291667,8.916667,9.083333,2.960786,384300
1981-01-06,9.208333,9.500000,9.083333,9.375000,3.055858,479400
1981-01-13,9.375000,9.625000,9.208333,9.250000,3.015114,121500
1981-01-20,9.250000,9.250000,9.000000,9.000000,2.933624,131100
1981-01-27,9.000000,9.208333,9.000000,9.000000,2.933624,144600
1981-02-03,9.000000,9.750000,8.958333,9.458333,3.083021,224100
1981-02-10,9.458333,9.666667,9.291667,9.500000,3.096603,85500
1981-02-17,9.500000,9.500000,9.166667,9.250000,3.015114,121800
1981-02-24,9.291667,10.125000,9.250000,9.916667,3.232419,498600
1981-03-03,9.875000,10.166667,9.750000,10.041667,3.273162,255600
1981-03-10,10.250000,11.166667,10.208333,11.000000,3.618377,889200
1981-03-17,11.000000,11.500000,10.833333,11.083333,3.645790,603000
1981-03-24,11.083333,11.416667,11.083333,11.166667,3.673204,387000
1981-03-31,11.166667,11.583333,10.500000,11.333333,3.728024,840300
1981-04-07,11.333333,12.041667,11.333333,11.833333,3.892499,436800
1981-04-14,11.833333,12.333333,11.833333,12.000000,3.947323,781800
1981-04-21,12.000000,12.500000,12.000000,12.291667,4.043265,376200
1981-04-28,12.291667,12.416667,11.416667,11.416667,3.755438,567000
1981-05-05,11.416667,11.666667,11.333333,11.458333,3.769144,225000
1981-05-12,11.458333,11.666667,11.375000,11.458333,3.769144,917400
1981-05-19,11.500000,11.500000,10.916667,11.125000,3.659496,318000
1981-05-26,11.125000,11.541667,11.083333,11.416667,3.903543,371400
1981-06-02,11.416667,11.958333,11.000000,11.041667,3.775328,408000
1981-06-09,11.041667,11.916667,11.041667,11.875000,4.060255,502800
1981-06-16,11.875000,11.875000,11.500000,11.625000,3.974774,255000
1981-06-23,11.583333,11.833333,11.250000,11.583333,3.960529,1857000
1981-06-30,11.583333,11.750000,11.375000,11.375000,3.889298,695100
1981-07-07,11.333333,11.333333,10.541667,10.791667,3.689845,468600
1981-07-14,10.791667,11.333333,10.708333,11.250000,3.846556,449400
1981-07-21,11.250000,11.416667,11.000000,11.333333,3.875052,789000
1981-07-28,11.291667,11.708333,11.083333,11.208333,3.832308,885900
1981-08-04,11.208333,12.666667,11.208333,12.333333,4.216969,775200
1981-08-11,12.416667,13.500000,12.416667,12.791667,4.373679,1245900
1981-08-18,12.750000,13.000000,12.125000,12.208333,4.174225,697200
1981-08-25,12.125000,12.125000,11.541667,11.750000,4.017516,653400
1981-09-01,11.750000,11.833333,10.541667,10.750000,3.675599,372000
1981-09-08,10.750000,11.541667,10.666667,11.458333,3.948026,465000
1981-09-15,11.458333,11.666667,11.125000,11.416667,3.933672,548400
1981-09-22,11.416667,11.500000,10.500000,10.875000,3.747039,751200
1981-09-29,11.125000,12.083333,11.125000,11.583333,3.991099,697200
1981-10-06,11.583333,12.416667,11.458333,12.333333,4.249517,1873200
1981-10-13,12.333333,12.416667,11.666667,11.791667,4.062880,741000
1981-10-20,11.791667,12.458333,11.541667,11.666667,4.019812,977700
1981-10-27,11.666667,12.000000,11.041667,11.333333,3.904963,1246200
1981-11-03,11.333333,11.500000,11.125000,11.166667,3.847534,444900
1981-11-10,11.166667,11.208333,10.000000,10.333333,3.560405,609900
1981-11-17,10.250000,10.500000,9.875000,10.333333,3.560405,814800
1981-11-24,10.333333,10.833333,10.333333,10.833333,3.766160,358800
1981-12-01,10.791667,10.791667,10.666667,10.750000,3.737189,479700
1981-12-08,10.750000,10.750000,9.958333,10.000000,3.476454,558300
1981-12-15,10.000000,10.000000,9.791667,10.000000,3.476454,352500
1981-12-22,9.916667,9.916667,9.500000,9.916667,3.447485,373800
1981-12-29,9.916667,9.958333,9.708333,9.750000,3.389543,237600
1982-01-05,9.750000,9.750000,8.500000,8.500000,2.954987,632400
1982-01-12,8.500000,8.583333,7.750000,8.166667,2.839105,668700
1982-01-19,8.166667,8.458333,8.125000,8.416667,2.926017,934500
1982-01-26,8.416667,9.375000,8.375000,9.166667,3.186750,445800
1982-02-02,9.166667,9.333333,8.916667,8.958333,3.114325,420000
1982-02-09,8.958333,8.958333,8.166667,8.166667,2.839105,609900
1982-02-16,8.166667,8.375000,7.833333,8.041667,2.795651,613800
1982-02-23,8.041667,8.208333,8.000000,8.166667,2.839105,802800
1982-03-02,8.250000,8.416667,7.750000,7.916667,2.752194,959100
1982-03-09,7.916667,8.791667,7.833333,8.375000,2.943003,700500
1982-03-16,8.375000,9.041667,8.375000,9.041667,3.177270,875700
1982-03-23,9.041667,9.250000,8.500000,8.500000,2.986926,1609800
1982-03-30,8.583333,9.291667,8.583333,9.208333,3.235835,371100
1982-04-06,9.208333,10.125000,9.208333,10.000000,3.514032,822900
1982-04-13,10.000000,10.333333,9.791667,10.291667,3.616523,665700
1982-04-20,10.208333,10.333333,10.000000,10.333333,3.631167,411300
1982-04-27,10.333333,10.416667,10.083333,10.083333,3.543315,319500
1982-05-04,10.166667,10.375000,9.916667,10.000000,3.514032,466500
1982-05-11,10.000000,10.000000,9.583333,9.833333,3.455464,356700
1982-05-18,9.791667,9.833333,9.083333,9.083333,3.191914,276000
1982-05-25,9.083333,9.541667,9.083333,9.416667,3.444563,975000
1982-06-01,9.416667,9.416667,9.166667,9.250000,3.383599,856200
1982-06-08,9.250000,9.458333,9.208333,9.416667,3.444563,227700
1982-06-15,9.416667,10.000000,9.375000,10.000000,3.657945,179100
1982-06-22,10.000000,10.166667,9.916667,10.000000,3.657945,542400
1982-06-29,10.000000,10.000000,9.375000,9.458333,3.459806,462900
1982-07-06,9.458333,10.250000,9.416667,10.250000,3.749393,509700
1982-07-13,10.250000,10.583333,10.250000,10.458333,3.825599,384900
1982-07-20,10.416667,10.666667,10.166667,10.416667,3.810358,391800
1982-07-27,10.416667,10.500000,10.000000,10.458333,3.825599,290700
1982-08-03,10.500000,10.666667,10.041667,10.041667,3.673184,291900
1982-08-10,10.041667,10.583333,10.041667,10.416667,3.810358,320700
1982-08-17,10.416667,11.916667,10.375000,11.833333,4.328567,973200
1982-08-24,11.833333,11.958333,11.500000,11.833333,4.328567,1544400
1982-08-31,11.833333,12.333333,11.833333,12.250000,4.480979,949500
1982-09-07,12.250000,12.666667,12.125000,12.416667,4.575334,1050300
1982-09-14,12.458333,12.666667,12.250000,12.666667,4.667451,931200
1982-09-21,12.666667,12.916667,12.666667,12.833333,4.728870,233400
1982-09-28,12.833333,13.000000,12.833333,12.875000,4.744224,465900
1982-10-05,12.875000,13.625000,12.666667,13.625000,5.020586,1120500
1982-10-12,13.625000,13.916667,12.833333,13.291667,4.897758,792600
