Date,Open,High,Low,Close,Adj Close,Volume
1994-01-31,5.416667,5.833333,5.416667,5.833333,1.475092,22800
1994-02-07,5.833333,5.916667,5.416667,5.500000,1.390801,6600
1994-02-14,5.500000,5.833333,5.500000,5.833333,1.475092,6000
1994-02-21,5.541667,5.541667,5.541667,5.541667,1.401338,600
1994-02-28,5.541667,5.541667,5.541667,5.541667,1.401338,0
1994-03-07,5.916667,5.916667,5.500000,5.666667,1.432947,24000
1994-03-14,5.666667,5.916667,5.500000,5.916667,1.496164,1800
1994-03-21,5.916667,5.916667,5.583333,5.645833,1.427678,9000
1994-03-28,5.645833,5.645833,5.500000,5.500000,1.390801,600
1994-04-04,5.500000,5.833333,5.500000,5.625000,1.422410,11400
1994-04-11,5.500000,5.500000,5.500000,5.500000,1.390801,1200
1994-04-18,5.500000,5.500000,5.500000,5.500000,1.411715,0
1994-04-25,5.500000,5.500000,5.500000,5.500000,1.411715,0
1994-05-02,5.500000,5.500000,5.500000,5.500000,1.411715,0
1994-05-09,5.500000,5.541667,5.500000,5.541667,1.422410,1200
1994-05-16,5.750000,5.750000,5.458333,5.583333,1.433104,6600
1994-05-23,5.750000,5.750000,5.458333,5.750000,1.475883,26400
1994-05-30,5.750000,5.833333,5.500000,5.833333,1.497274,24600
1994-06-06,5.583333,5.833333,5.500000,5.833333,1.497274,25800
1994-06-13,5.833333,5.833333,5.583333,5.583333,1.433104,7800
1994-06-20,5.583333,5.708333,5.583333,5.666667,1.454494,19200
1994-06-27,5.666667,5.666667,5.666667,5.666667,1.454494,0
1994-07-04,5.666667,5.666667,5.666667,5.666667,1.454494,0
1994-07-11,6.166667,6.166667,5.500000,5.666667,1.454494,12600
1994-07-18,5.666667,6.000000,5.583333,5.583333,1.454493,3600
1994-07-25,5.916667,6.166667,5.875000,5.875000,1.530474,3300
1994-08-01,5.875000,5.875000,5.875000,5.875000,1.530474,0
1994-08-08,5.875000,5.875000,5.583333,5.583333,1.454493,1200
1994-08-15,5.583333,5.916667,5.583333,5.916667,1.541328,3000
1994-08-22,5.750000,5.916667,5.750000,5.875000,1.530474,7200
1994-08-29,5.750000,5.916667,5.750000,5.916667,1.541328,9900
1994-09-05,5.916667,5.916667,5.750000,5.916667,1.541328,8400
1994-09-12,5.916667,5.916667,5.833333,5.833333,1.519620,3600
1994-09-19,5.916667,5.916667,5.916667,5.916667,1.541328,3000
1994-09-26,5.916667,5.916667,5.750000,5.833333,1.519620,26100
1994-10-03,5.833333,6.166667,5.750000,6.166667,1.606454,8700
1994-10-10,6.166667,6.166667,6.166667,6.166667,1.630078,0
1994-10-17,5.750000,5.916667,5.750000,5.916667,1.563994,3600
1994-10-24,5.916667,5.916667,5.916667,5.916667,1.563994,0
1994-10-31,5.916667,6.000000,5.666667,5.833333,1.541966,8100
1994-11-07,5.666667,5.666667,5.666667,5.666667,1.497910,300
1994-11-14,5.666667,6.000000,5.666667,6.000000,1.586022,600
1994-11-21,6.000000,6.000000,5.666667,5.666667,1.497910,900
1994-11-28,5.666667,5.833333,5.666667,5.750000,1.519938,10200
1994-12-05,5.750000,5.875000,5.666667,5.875000,1.552980,17700
1994-12-12,5.875000,5.875000,5.500000,5.750000,1.519938,2400
1994-12-19,5.750000,5.750000,5.333333,5.333333,1.409798,900
1994-12-26,5.333333,5.500000,5.333333,5.500000,1.453853,300
1995-01-02,5.500000,5.500000,5.333333,5.333333,1.409798,600
1995-01-09,5.333333,5.666667,5.333333,5.333333,1.409798,1800
1995-01-16,5.333333,5.666667,5.333333,5.333333,1.432175,2400
1995-01-23,5.166667,5.500000,5.000000,5.333333,1.432175,8100
1995-01-30,4.833333,5.333333,4.833333,5.291667,1.420986,3300
1995-02-06,5.291667,5.291667,4.916667,4.916667,1.320286,2700
1995-02-13,4.916667,5.333333,4.916667,5.333333,1.432175,2700
1995-02-20,5.333333,5.333333,4.916667,4.916667,1.320286,2100
1995-02-27,4.833333,5.166667,4.750000,4.916667,1.320286,6300
1995-03-06,4.916667,4.916667,4.916667,4.916667,1.320286,0
1995-03-13,4.916667,5.083333,4.666667,5.083333,1.365041,6300
1995-03-20,4.666667,5.000000,4.666667,4.666667,1.253152,4200
1995-03-27,4.666667,5.166667,4.666667,5.166667,1.387419,5400
1995-04-03,4.666667,5.041667,4.583333,4.750000,1.275530,9600
1995-04-10,4.750000,4.968733,4.500000,4.500000,1.230367,11100
1995-04-17,5.000000,5.000000,5.000000,5.000000,1.367074,1200
1995-04-24,5.000000,5.000000,4.500000,4.500000,1.230367,2100
1995-05-01,5.000000,5.000000,4.500000,4.833333,1.321505,9900
1995-05-08,4.833333,5.000000,4.583333,4.916667,1.344290,15600
