Date,Open,High,Low,Close,Adj Close,Volume
2013-07-29,35.000000,41.500000,33.000000,39.980000,39.980000,16868000
2013-08-05,40.070000,41.849998,38.580002,38.840000,38.840000,3392600
2013-08-12,38.520000,40.189999,36.709999,39.340000,39.340000,2274800
2013-08-19,39.500000,41.750000,37.110001,39.060001,39.060001,1915900
2013-08-26,39.340000,39.880001,36.230000,36.959999,36.959999,1637000
2013-09-02,37.660000,39.000000,36.500000,38.840000,38.840000,948900
2013-09-09,39.340000,39.459999,36.869999,38.889999,38.889999,1681300
2013-09-16,39.250000,44.750000,39.040001,42.990002,42.990002,2856100
2013-09-23,44.400002,46.310001,42.060001,45.169998,45.169998,2016900
2013-09-30,43.709999,48.150002,43.410000,48.119999,48.119999,3363700
2013-10-07,47.919998,48.000000,42.110001,46.200001,46.200001,3486600
2013-10-14,45.189999,48.389999,44.860001,48.099998,48.099998,2079800
2013-10-21,48.320000,49.450001,45.310001,46.580002,46.580002,1233400
2013-10-28,46.439999,47.730000,44.230000,45.340000,45.340000,1322600
2013-11-04,45.500000,48.950001,44.209999,45.689999,45.689999,3007000
2013-11-11,45.490002,46.419998,42.779999,43.049999,43.049999,1623800
2013-11-18,43.099998,43.150002,37.459999,37.860001,37.860001,5007300
2013-11-25,37.730000,38.790001,36.110001,37.840000,37.840000,14125600
2013-12-02,38.000000,38.610001,37.509998,37.849998,37.849998,5125500
2013-12-09,38.000000,38.000000,36.290001,36.290001,36.290001,4357600
2013-12-16,36.869999,37.900002,35.580002,37.810001,37.810001,5032000
2013-12-23,37.860001,38.470001,37.630001,38.189999,38.189999,1709200
2013-12-30,38.029999,38.500000,36.660000,37.599998,37.599998,2107900
2014-01-06,37.570000,38.630001,36.139999,38.340000,38.340000,4337400
2014-01-13,38.160000,40.090000,37.250000,38.060001,38.060001,4416400
2014-01-20,38.430000,38.599998,35.330002,35.560001,35.560001,2780700
2014-01-27,35.689999,36.680000,34.500000,35.740002,35.740002,3423000
2014-02-03,35.549999,36.150002,34.389999,35.060001,35.060001,3956900
2014-02-10,35.250000,35.250000,34.040001,35.000000,35.000000,4445800
2014-02-17,34.950001,36.959999,34.840000,35.950001,35.950001,2205200
2014-02-24,36.049999,39.980000,35.549999,38.970001,38.970001,6023400
2014-03-03,38.349998,39.720001,38.020000,38.660000,38.660000,3048300
2014-03-10,38.730000,38.740002,36.799999,37.950001,37.950001,4777100
2014-03-17,38.029999,38.349998,35.860001,36.959999,36.959999,4041800
2014-03-24,36.930000,37.150002,33.919998,36.470001,36.470001,10125100
2014-03-31,36.400002,38.349998,35.630001,36.680000,36.680000,6478900
2014-04-07,36.619999,37.400002,34.500000,34.630001,34.630001,3733000
2014-04-14,35.049999,35.180000,33.560001,33.930000,33.930000,1835500
2014-04-21,33.939999,34.820000,32.860001,32.910000,32.910000,3152700
2014-04-28,33.139999,33.389999,31.110001,31.540001,31.540001,4005600
2014-05-05,30.959999,31.600000,25.730000,26.510000,26.510000,15266300
2014-05-12,26.799999,29.020000,26.790001,28.860001,28.860001,7470800
2014-05-19,28.750000,29.010000,26.870001,27.120001,27.120001,8690000
2014-05-26,27.379999,27.629999,26.930000,27.100000,27.100000,5261200
2014-06-02,27.129999,29.070000,26.600000,28.959999,28.959999,3965200
2014-06-09,29.000000,30.740000,28.559999,30.330000,30.330000,5870600
2014-06-16,30.350000,31.330000,30.059999,31.160000,31.160000,6705300
2014-06-23,31.090000,32.930000,30.940001,32.540001,32.540001,12255000
2014-06-30,32.549999,33.180000,32.049999,32.930000,32.930000,4179300
2014-07-07,32.860001,33.000000,30.780001,31.389999,31.389999,4071800
2014-07-14,31.600000,31.959999,30.820000,31.770000,31.770000,3947600
2014-07-21,31.620001,32.529999,31.200001,31.240000,31.240000,4036700
2014-07-28,31.389999,31.820000,29.110001,29.940001,29.940001,6816100
2014-08-04,30.129999,32.910000,29.719999,31.670000,31.670000,9413100
2014-08-11,31.950001,32.689999,29.440001,29.500000,29.500000,16137200
2014-08-18,29.740000,30.549999,29.100000,30.340000,30.340000,5916500
2014-08-25,30.480000,31.120001,30.170000,30.940001,30.940001,3626400
2014-09-01,30.969999,31.410000,30.190001,31.309999,31.309999,3537900
2014-09-08,31.340000,31.700001,30.120001,30.770000,30.770000,4540900
2014-09-15,30.750000,31.959999,29.840000,31.459999,31.459999,5914400
2014-09-22,31.320000,31.320000,29.469999,29.570000,29.570000,3327500
2014-09-29,29.459999,30.040001,28.670000,29.490000,29.490000,3690800
2014-10-06,29.600000,29.879999,27.469999,27.670000,27.670000,3913300
2014-10-13,28.299999,29.520000,27.170000,28.809999,28.809999,6651600
2014-10-20,28.830000,30.000000,28.350000,28.950001,28.950001,3639900
2014-10-27,28.750000,29.910000,28.290001,29.110001,29.110001,4362700
2014-11-03,29.240000,32.119999,29.209999,31.700001,31.700001,8730500
2014-11-10,31.000000,31.790001,29.500000,30.750000,30.750000,13236900
2014-11-17,30.730000,32.209999,30.400000,32.049999,32.049999,4753900
2014-11-24,32.320000,32.360001,31.440001,31.790001,31.790001,1906500
2014-12-01,32.009998,32.299999,29.629999,30.410000,30.410000,4253900
2014-12-08,30.230000,30.860001,29.440001,30.680000,30.680000,3725500
2014-12-15,30.200001,32.450001,30.200001,32.080002,32.080002,5085500
2014-12-22,32.099998,32.939999,32.020000,32.730000,32.730000,3232600
2014-12-29,32.660000,34.240002,32.560001,34.020000,34.020000,5005100
2015-01-05,34.070000,34.320000,32.590000,33.950001,33.950001,7842800
2015-01-12,34.000000,35.000000,33.709999,34.009998,34.009998,4687800
2015-01-19,34.009998,36.459999,33.720001,36.419998,36.419998,6148500
2015-01-26,36.200001,36.980000,36.000000,36.410000,36.410000,4631500
2015-02-02,36.410000,37.439999,35.380001,36.919998,36.919998,3424600
2015-02-09,36.900002,38.450001,36.529999,38.380001,38.380001,4256500
2015-02-16,38.380001,38.430000,37.400002,37.480000,37.480000,3168300
2015-02-23,37.580002,37.770000,35.189999,36.810001,36.810001,9519600
2015-03-02,35.810001,36.970001,34.410000,35.490002,35.490002,11336100
2015-03-09,35.470001,35.689999,34.150002,34.639999,34.639999,6829400
2015-03-16,34.669998,35.060001,33.400002,33.990002,33.990002,6997600
2015-03-23,34.130001,34.189999,32.709999,33.150002,33.150002,7556300
2015-03-30,33.160000,36.130001,33.119999,35.799999,35.799999,7107000
2015-04-06,35.770000,36.099998,34.709999,35.029999,35.029999,6237100
2015-04-13,35.110001,35.380001,32.840000,33.040001,33.040001,5041000
2015-04-20,33.180000,34.230000,32.799999,33.919998,33.919998,7102100
2015-04-27,34.000000,34.020000,31.740000,31.770000,31.770000,8581400
2015-05-04,31.900000,32.110001,26.980000,27.230000,27.230000,22162900
2015-05-11,27.559999,30.309999,27.440001,30.260000,30.260000,17242600
2015-05-18,30.299999,30.629999,29.469999,30.459999,30.459999,6728200
2015-05-25,30.360001,30.629999,29.190001,29.990000,29.990000,5991500
2015-06-01,29.980000,30.660000,28.860001,29.120001,29.120001,7390500
2015-06-08,29.070000,29.070000,26.980000,27.520000,27.520000,7905300
2015-06-15,27.450001,28.719999,27.360001,27.900000,27.900000,8471800
2015-06-22,27.879999,28.650000,27.660000,27.920000,27.920000,12266700
2015-06-29,27.500000,27.770000,25.980000,26.400000,26.400000,8952700
2015-07-06,26.360001,27.430000,26.070000,26.520000,26.520000,12556200
2015-07-13,26.750000,27.209999,25.940001,26.020000,26.020000,6848500
2015-07-20,26.100000,26.240000,24.049999,24.309999,24.309999,10313000
2015-07-27,24.080000,24.959999,22.120001,24.520000,24.520000,10216500
2015-08-03,24.450001,24.770000,20.750000,20.770000,20.770000,21456100
2015-08-10,21.480000,21.549999,20.730000,21.020000,21.020000,10797800
2015-08-17,21.070000,21.309999,19.559999,19.620001,19.620001,10896700
2015-08-24,17.940001,20.990000,16.410000,20.440001,20.440001,14449600
2015-08-31,20.400000,20.799999,19.920000,20.700001,20.700001,5932300
2015-09-07,20.879999,22.400000,20.780001,22.219999,22.219999,8899100
2015-09-14,22.330000,23.980000,21.870001,22.860001,22.860001,12321500
2015-09-21,23.000000,23.139999,20.990000,21.610001,21.610001,7004900
2015-09-28,21.690001,22.100000,20.549999,22.000000,22.000000,9461800
2015-10-05,22.160000,23.870001,21.719999,23.540001,23.540001,8815000
2015-10-12,23.650000,23.690001,21.549999,22.600000,22.600000,7386900
2015-10-19,22.750000,22.990000,22.070000,22.389999,22.389999,5526400
2015-10-26,22.250000,22.260000,19.930000,20.379999,20.379999,10466900
2015-11-02,20.280001,24.049999,19.750000,24.040001,24.040001,21878100
2015-11-09,23.950001,24.320000,22.430000,22.930000,22.930000,8290700
2015-11-16,22.809999,24.780001,22.740000,23.480000,23.480000,8626200
2015-11-23,23.570000,24.990000,23.480000,24.629999,24.629999,4051100
2015-11-30,24.790001,25.459999,23.850000,25.020000,25.020000,6621900
2015-12-07,24.700001,26.000000,24.549999,25.490000,25.490000,6409700
2015-12-14,25.549999,26.260000,24.820000,24.990000,24.990000,7652100
2015-12-21,25.059999,26.889999,24.730000,26.500000,26.500000,4291200
2015-12-28,26.299999,27.340000,25.879999,26.590000,26.590000,4541200
2016-01-04,25.990000,27.850000,24.940001,25.520000,25.520000,23130400
2016-01-11,25.709999,25.980000,22.389999,23.070000,23.070000,12860000
2016-01-18,23.430000,23.570000,21.250000,22.770000,22.770000,11900000
2016-01-25,22.719999,23.010000,21.889999,22.799999,22.799999,6626500
2016-02-01,22.930000,24.340000,22.680000,22.959999,22.959999,7937000
2016-02-08,24.230000,24.230000,21.180000,23.340000,23.340000,39381800
2016-02-15,23.570000,25.070000,23.340000,24.680000,24.680000,7638800
2016-02-22,24.809999,28.299999,24.250000,27.900000,27.900000,17494400
2016-02-29,27.680000,29.059999,27.510000,28.209999,28.209999,13585900
2016-03-07,27.930000,28.650000,26.830000,27.969999,27.969999,7753400
2016-03-14,28.360001,30.000000,27.650000,29.750000,29.750000,10081000
2016-03-21,29.780001,29.930000,28.230000,29.000000,29.000000,5279000
2016-03-28,29.000000,29.360001,28.290001,28.450001,28.450001,6073700
2016-04-04,28.379999,29.370001,28.129999,28.860001,28.860001,7626000
2016-04-11,28.920000,28.990000,27.430000,28.200001,28.200001,6291700
2016-04-18,28.059999,29.160000,27.190001,27.750000,27.750000,7594200
2016-04-25,27.760000,28.860001,27.680000,28.070000,28.070000,4909000
2016-05-02,28.030001,28.780001,24.000000,26.209999,26.209999,18423600
2016-05-09,26.100000,26.809999,24.750000,25.270000,25.270000,10932200
2016-05-16,25.420000,25.620001,23.860001,24.770000,24.770000,11526100
2016-05-23,24.719999,25.600000,24.180000,24.850000,24.850000,9366400
2016-05-30,25.090000,25.450001,24.209999,24.440001,24.440001,7602300
2016-06-06,24.570000,24.570000,23.160000,23.430000,23.430000,10361400
2016-06-13,23.280001,23.370001,22.299999,22.600000,22.600000,10482300
2016-06-20,22.860001,22.990000,21.500000,21.930000,21.930000,12599000
2016-06-27,21.900000,23.320000,21.100000,22.730000,22.730000,11790200
2016-07-04,22.629999,23.969999,22.209999,23.950001,23.950001,13705800
2016-07-11,23.910000,24.270000,23.150000,23.170000,23.170000,14766200
2016-07-18,24.040001,24.040001,22.049999,23.150000,23.150000,10781800
2016-07-25,23.170000,24.430000,22.180000,23.129999,23.129999,14367900
2016-08-01,23.240000,24.520000,22.299999,23.000000,23.000000,22611500
2016-08-08,22.639999,22.940001,22.000000,22.660000,22.660000,10212600
2016-08-15,22.760000,23.150000,22.260000,22.480000,22.480000,8449700
2016-08-22,22.469999,23.660000,22.430000,23.000000,23.000000,8329600
2016-08-29,23.070000,23.240000,22.219999,22.709999,22.709999,6670400
2016-09-05,22.820000,22.840000,18.700001,19.600000,19.600000,32860100
2016-09-12,19.590000,20.180000,19.129999,20.090000,20.090000,14031700
2016-09-19,20.250000,20.920000,20.110001,20.590000,20.590000,9780900
2016-09-26,20.500000,20.830000,19.980000,20.650000,20.650000,9395400
2016-10-03,20.450001,21.430000,20.450001,21.139999,21.139999,12977200
2016-10-10,21.090000,22.209999,21.090000,21.740000,21.740000,10044000
2016-10-17,21.820000,22.059999,21.030001,21.209999,21.209999,10146100
2016-10-24,21.350000,22.290001,21.120001,22.160000,22.160000,13677700
2016-10-31,22.290001,22.629999,19.719999,20.480000,20.480000,29048500
2016-11-07,20.610001,21.850000,19.950001,21.740000,21.740000,14947800
2016-11-14,21.680000,22.459999,21.200001,21.559999,21.559999,12305800
2016-11-21,21.570000,21.920000,21.400000,21.520000,21.520000,5275200
2016-11-28,21.559999,21.680000,19.760000,20.450001,20.450001,12546000
2016-12-05,20.490000,21.250000,20.309999,21.010000,21.010000,9261900
2016-12-12,20.930000,21.129999,19.860001,20.860001,20.860001,13028500
2016-12-19,20.910000,21.160000,19.510000,19.549999,19.549999,11312800
2016-12-26,19.549999,19.660000,18.879999,18.920000,18.920000,6033200
2017-01-02,19.100000,19.740000,19.010000,19.510000,19.510000,10344000
2017-01-09,19.580000,20.139999,19.040001,19.920000,19.920000,10789300
2017-01-16,20.059999,20.400000,19.400000,19.510000,19.510000,14467200
2017-01-23,19.600000,19.760000,18.639999,18.719999,18.719999,15101900
2017-01-30,18.740000,18.959999,17.959999,18.780001,18.780001,12252500
2017-02-06,18.770000,19.680000,17.590000,19.520000,19.520000,13910500
2017-02-13,19.600000,19.600000,18.540001,19.120001,19.120001,11069300
2017-02-20,19.110001,19.860001,18.790001,19.370001,19.370001,16328300
2017-02-27,19.340000,19.389999,17.900000,18.110001,18.110001,16358500
2017-03-06,17.950001,18.180000,17.379999,17.850000,17.850000,12882500
2017-03-13,17.780001,22.150000,17.760000,22.020000,22.020000,36321200
2017-03-20,22.500000,23.500000,21.219999,22.580000,22.580000,32489700
2017-03-27,22.440001,23.670000,22.250000,23.120001,23.120001,13391400
2017-04-03,23.010000,23.530001,22.610001,22.910000,22.910000,16612400
2017-04-10,23.000000,23.889999,22.660000,22.690001,22.690001,13242300
2017-04-17,22.660000,23.200001,22.370001,22.740000,22.740000,10656400
2017-04-24,22.850000,23.049999,21.000000,22.309999,22.309999,20787600
2017-05-01,22.340000,23.559999,22.020000,23.559999,23.559999,14809100
2017-05-08,23.610001,24.410000,23.000000,23.889999,23.889999,11474100
2017-05-15,24.000000,24.299999,23.450001,24.070000,24.070000,8971700
2017-05-22,24.000000,24.230000,23.320000,23.959999,23.959999,6142900
2017-05-29,23.450001,24.580000,23.270000,24.490000,24.490000,6295300
2017-06-05,24.490000,24.900000,23.900000,24.790001,24.790001,7126700
2017-06-12,24.270000,25.980000,19.299999,21.010000,21.010000,30651500
2017-06-19,21.820000,22.440001,21.190001,22.010000,22.010000,19577200
2017-06-26,22.070000,23.190001,21.700001,22.670000,22.670000,9373100
2017-07-03,22.709999,23.629999,22.230000,23.559999,23.559999,6690900
2017-07-10,23.520000,24.510000,23.180000,24.010000,24.010000,10754000
2017-07-17,24.010000,24.610001,23.950001,24.360001,24.360001,9375200
2017-07-24,24.370001,24.920000,23.670000,23.930000,23.930000,13321400
2017-07-31,24.000000,24.490000,22.570000,23.809999,23.809999,16805900
2017-08-07,23.959999,24.639999,23.459999,24.139999,24.139999,11050500
2017-08-14,24.219999,24.610001,24.010000,24.440001,24.440001,7526600
2017-08-21,24.260000,24.370001,21.309999,21.840000,21.840000,16675100
2017-08-28,21.580000,21.580000,19.200001,19.889999,19.889999,27066000
2017-09-04,19.830000,20.709999,19.440001,20.469999,20.469999,15611800
2017-09-11,20.389999,20.549999,18.809999,19.000000,19.000000,25087300
2017-09-18,18.950001,19.139999,18.600000,18.750000,18.750000,11099200
2017-09-25,18.650000,19.330000,18.480000,18.770000,18.770000,10703300
2017-10-02,18.860001,18.980000,18.389999,18.820000,18.820000,12251700
2017-10-09,18.799999,19.280001,18.090000,19.260000,19.260000,11212300
2017-10-16,19.270000,19.309999,18.570000,19.000000,19.000000,8595600
2017-10-23,19.090000,19.090000,17.549999,17.930000,17.930000,10376000
2017-10-30,17.889999,21.730000,17.870001,20.370001,20.370001,20668000
2017-11-06,20.450001,21.049999,19.940001,20.799999,20.799999,10592300
2017-11-13,20.750000,21.090000,19.799999,20.690001,20.690001,9400300
2017-11-20,21.040001,22.209999,20.590000,21.760000,21.760000,8547000
2017-11-27,21.750000,24.100000,21.660000,23.660000,23.660000,13787000
2017-12-04,23.750000,24.280001,23.490000,23.790001,23.790001,11562200
2017-12-11,23.719999,24.250000,23.520000,24.120001,24.120001,11135100
2017-12-18,24.180000,24.930000,23.950001,24.850000,24.850000,6426000
2017-12-25,24.830000,25.000000,24.320000,24.350000,24.350000,2994900
2018-01-01,24.330000,24.990000,23.870001,24.290001,24.290001,10781300
2018-01-08,24.309999,25.799999,24.129999,25.469999,25.469999,11484500
2018-01-15,25.840000,26.980000,25.690001,26.650000,26.650000,8274400
2018-01-22,26.650000,28.070000,26.629999,28.020000,28.020000,9813100
2018-01-29,28.000000,28.290001,26.700001,26.969999,26.969999,8485200
2018-02-05,26.700001,26.980000,25.299999,26.350000,26.350000,9725100
2018-02-12,26.570000,27.450001,25.750000,27.020000,27.020000,7699300
2018-02-19,26.850000,27.629999,24.910000,25.090000,25.090000,11116200
2018-02-26,24.730000,26.350000,24.420000,25.639999,25.639999,11953700
2018-03-05,25.240000,25.910000,24.080000,25.230000,25.230000,11364600
2018-03-12,25.330000,25.639999,24.139999,24.480000,24.480000,8052600
2018-03-19,24.450001,24.910000,23.139999,23.170000,23.170000,8680700
2018-03-26,23.320000,23.879999,22.940001,23.469999,23.469999,5690800
2018-04-02,23.330000,24.360001,22.660000,23.809999,23.809999,6717200
2018-04-09,23.840000,24.250000,23.520000,23.740000,23.740000,4457600
2018-04-16,23.889999,25.200001,23.830000,24.400000,24.400000,5952900
2018-04-23,24.370001,24.940001,24.000000,24.770000,24.770000,5087800
2018-04-30,24.900000,25.540001,20.990000,21.660000,21.660000,18925900
2018-05-07,21.590000,22.280001,21.360001,21.959999,21.959999,10463200
2018-05-14,21.969999,23.120001,21.709999,21.790001,21.790001,9089700
2018-05-21,21.900000,22.120001,21.469999,21.850000,21.850000,4911900
2018-05-28,21.799999,22.110001,21.440001,21.610001,21.610001,7169000
2018-06-04,21.660000,22.000000,20.670000,21.350000,21.350000,9633700
