Date,Open,High,Low,Close,Adj Close,Volume
1999-10-25,4.781094,4.781094,4.553423,4.724176,4.724176,1000
1999-11-01,4.724176,4.781094,4.553423,4.781094,4.781094,3800
1999-11-08,4.781094,4.781094,4.325752,4.325752,4.325752,13400
1999-11-15,4.325752,4.325752,4.325752,4.325752,4.325752,0
1999-11-22,4.439588,4.439588,4.439588,4.439588,4.439588,1700
1999-11-29,4.439588,4.439588,4.439588,4.439588,4.439588,0
1999-12-06,4.553423,4.781094,4.439588,4.496505,4.496505,3100
1999-12-13,4.553423,4.553423,4.439588,4.553423,4.553423,17600
1999-12-20,4.553423,4.553423,4.553423,4.553423,4.553423,0
1999-12-27,4.439588,4.439588,3.984245,4.325752,4.325752,17200
2000-01-03,4.098081,4.781094,3.984245,4.098081,4.098081,28100
2000-01-10,4.098081,4.098081,4.098081,4.098081,4.098081,0
2000-01-17,3.471985,4.325752,3.471985,3.642738,3.642738,3900
2000-01-24,3.642738,4.496505,3.642738,4.439588,4.439588,2600
2000-01-31,4.439588,4.439588,4.154998,4.154998,4.154998,300
2000-02-07,4.154998,4.154998,3.756574,3.756574,3.756574,30100
2000-02-14,3.756574,4.211916,3.756574,4.211916,4.211916,1500
2000-02-21,3.927327,3.927327,3.756574,3.870409,3.870409,11100
2000-02-28,3.870409,4.098081,3.756574,3.756574,3.756574,8600
2000-03-06,3.756574,3.927327,3.415067,3.642738,3.642738,14300
2000-03-13,3.642738,3.642738,3.415067,3.642738,3.642738,900
2000-03-20,3.415067,3.415067,3.415067,3.415067,3.415067,1900
2000-03-27,3.415067,3.415067,3.187396,3.187396,3.187396,2600
2000-04-03,3.415067,3.415067,3.187396,3.329691,3.329691,9600
2000-04-10,3.187396,3.187396,3.187396,3.187396,3.187396,2200
2000-04-17,3.187396,3.343897,3.187396,3.343897,3.343897,3300
2000-04-24,3.187396,3.187396,3.187396,3.187396,3.187396,600
2000-05-01,3.187396,3.642738,3.187396,3.642738,3.642738,100
2000-05-08,3.642738,3.642738,3.528903,3.642738,3.642738,17900
2000-05-15,3.642738,3.642738,3.642738,3.642738,3.642738,0
2000-05-22,3.642738,4.098081,3.642738,4.098081,4.098081,4600
2000-05-29,4.098081,4.098081,3.756574,4.041163,4.041163,4100
2000-06-05,4.041163,4.154998,3.756574,4.154998,4.154998,4500
2000-06-12,4.154998,4.154998,4.154998,4.154998,4.154998,0
2000-06-19,4.154998,4.325752,4.154998,4.325752,4.325752,6700
2000-06-26,4.439588,4.667259,4.325752,4.553423,4.553423,9400
2000-07-03,4.553423,4.553423,4.098081,4.098081,4.098081,23000
2000-07-10,4.098081,4.325752,4.098081,4.268834,4.268834,7300
2000-07-17,4.268834,4.325752,4.098081,4.325752,4.325752,8400
2000-07-24,4.325752,4.325752,4.098081,4.325752,4.325752,7600
2000-07-31,4.325752,5.008765,4.098081,5.008765,5.008765,4300
2000-08-07,5.008765,5.008765,4.154998,4.781094,4.781094,7500
2000-08-14,4.211916,4.411129,4.098081,4.268834,4.268834,8800
2000-08-21,4.268834,4.268834,4.268834,4.268834,4.268834,0
2000-08-28,4.268834,4.268834,4.268834,4.268834,4.268834,0
2000-09-04,4.268834,4.268834,4.268834,4.268834,4.268834,0
2000-09-11,4.154998,4.325752,4.154998,4.325752,4.325752,7800
2000-09-18,4.325752,4.325752,4.325752,4.325752,4.325752,0
2000-09-25,4.325752,4.382669,4.154998,4.382669,4.382669,22800
2000-10-02,4.382669,4.382669,4.154998,4.154998,4.154998,6100
2000-10-09,4.154998,4.154998,4.154998,4.154998,4.154998,2600
2000-10-16,4.154998,4.154998,4.154998,4.154998,4.154998,0
2000-10-23,4.154998,4.154998,3.870409,4.041163,4.041163,8600
2000-10-30,4.041163,4.211916,3.870409,4.211916,4.211916,5500
2000-11-06,4.211916,4.211916,4.211916,4.211916,4.211916,0
2000-11-13,4.211916,4.211916,3.927327,4.098081,4.098081,300
2000-11-20,4.098081,4.098081,4.098081,4.098081,4.098081,0
2000-11-27,4.098081,4.098081,3.870409,3.870409,3.870409,8100
2000-12-04,3.870409,4.098081,3.870409,4.098081,4.098081,15200
2000-12-11,4.098081,4.098081,3.870409,3.870409,3.870409,3600
2000-12-18,3.870409,4.098081,3.870409,3.870409,3.870409,2600
2000-12-25,3.870409,4.098081,3.870409,4.041163,4.041163,9200
2001-01-01,4.041163,4.041163,3.984245,3.984245,3.984245,1700
2001-01-08,3.984245,4.268834,3.984245,4.268834,4.268834,600
2001-01-15,4.268834,4.325752,4.268834,4.325752,4.325752,7700
2001-01-22,4.325752,4.325752,4.098081,4.098081,4.098081,1900
2001-01-29,4.098081,4.325752,4.098081,4.154998,4.154998,27900
2001-02-05,4.154998,4.724176,4.098081,4.325752,4.325752,12500
2001-02-12,4.098081,4.553423,3.927327,4.439588,4.439588,5100
2001-02-19,4.439588,4.553423,4.439588,4.468046,4.468046,22900
2001-02-26,4.468046,4.610341,4.211916,4.211916,4.211916,9200
2001-03-05,4.211916,4.211916,4.211916,4.211916,4.211916,10900
2001-03-12,4.211916,4.325752,4.211916,4.211916,4.211916,9200
2001-03-19,4.211916,4.211916,4.211916,4.211916,4.211916,0
2001-03-26,4.211916,4.325752,4.211916,4.325752,4.325752,3800
2001-04-02,4.524964,4.524964,3.870409,3.870409,3.870409,6700
2001-04-09,4.029779,4.211916,4.029779,4.098081,4.098081,10700
2001-04-16,3.984245,4.894930,3.984245,4.211916,4.211916,1600
2001-04-23,4.211916,4.553423,3.988799,4.325752,4.325752,2300
2001-04-30,4.325752,4.667259,4.152722,4.667259,4.667259,67500
2001-05-07,4.553423,4.667259,4.553423,4.553423,4.553423,16000
2001-05-14,4.553423,4.781094,4.553423,4.781094,4.781094,100
2001-05-21,4.576190,4.667259,4.576190,4.598957,4.598957,14700
2001-05-28,4.735560,4.803861,4.667259,4.803861,4.803861,8400
2001-06-04,4.803861,5.873916,4.803861,5.236436,5.236436,6100
2001-06-11,5.236436,5.350272,5.008765,5.350272,5.350272,8900
2001-06-18,5.008765,5.008765,5.008765,5.008765,5.008765,6900
2001-06-25,5.008765,5.008765,5.008765,5.008765,5.008765,0
2001-07-02,5.008765,5.008765,4.872163,4.872163,4.872163,2000
2001-07-09,4.872163,4.894930,4.872163,4.894930,4.894930,700
2001-07-16,5.040639,5.040639,5.040639,5.040639,5.040639,300
2001-07-23,5.040639,5.040639,4.598957,4.598957,4.598957,4200
2001-07-30,5.008765,5.008765,4.917697,5.008765,5.008765,2600
2001-08-06,5.008765,5.008765,5.008765,5.008765,5.008765,0
2001-08-13,5.008765,5.008765,4.781094,4.781094,4.781094,400
2001-08-20,4.781094,5.008765,4.781094,4.917697,4.917697,1900
2001-08-27,5.008765,5.008765,4.598957,4.598957,4.598957,2300
2001-09-03,4.598957,5.008765,4.598957,5.008765,5.008765,1000
2001-09-10,5.008765,5.008765,5.008765,5.008765,5.008765,0
2001-09-17,5.008765,5.008765,5.008765,5.008765,5.008765,0
2001-09-24,5.008765,5.008765,4.781094,4.781094,4.781094,14800
2001-10-01,4.580744,4.781094,4.580744,4.580744,4.580744,4300
2001-10-08,4.781094,5.099834,4.781094,5.099834,5.099834,4500
2001-10-15,4.863056,5.236436,4.585297,5.236436,5.236436,9400
2001-10-22,5.236436,5.236436,5.236436,5.236436,5.236436,700
2001-10-29,5.008765,5.099834,5.008765,5.008765,5.008765,3500
2001-11-05,5.008765,5.008765,5.008765,5.008765,5.008765,700
2001-11-12,5.008765,5.008765,5.008765,5.008765,5.008765,300
2001-11-19,5.008765,5.099834,5.008765,5.099834,5.099834,1600
2001-11-26,5.099834,5.099834,5.031532,5.086174,5.086174,6300
2001-12-03,5.054299,5.236436,5.054299,5.077067,5.077067,14900
2001-12-10,5.099834,5.168135,5.054299,5.077067,5.077067,8300
2001-12-17,5.077067,5.077067,5.077067,5.077067,5.077067,0
2001-12-24,5.054299,5.099834,5.054299,5.054299,5.054299,6000
2001-12-31,5.168135,5.168135,5.168135,5.168135,5.168135,600
2002-01-07,5.017872,5.017872,5.017872,5.017872,5.017872,600
2002-01-14,5.017872,5.464108,5.017872,5.464108,5.464108,2900
2002-01-21,5.031532,5.236436,5.008765,5.054299,5.054299,10100
2002-01-28,5.054299,5.054299,4.781094,5.008765,5.008765,5500
2002-02-04,5.008765,5.008765,5.008765,5.008765,5.008765,900
2002-02-11,5.008765,5.145368,5.008765,5.077067,5.077067,3800
2002-02-18,4.894930,4.985998,4.799308,4.917697,4.917697,6500
2002-02-25,4.917697,4.917697,4.781094,4.781094,4.781094,600
2002-03-04,5.190902,5.190902,5.077067,5.077067,5.077067,6000
2002-03-11,5.190902,5.190902,5.077067,5.077067,5.077067,1600
2002-03-18,5.008765,5.099834,4.781094,5.077067,5.077067,21200
2002-03-25,4.826628,5.213669,4.826628,5.077067,5.077067,11600
2002-04-01,5.077067,5.077067,5.077067,5.077067,5.077067,0
2002-04-08,5.077067,5.077067,5.077067,5.077067,5.077067,0
2002-04-15,5.077067,5.464108,4.963231,5.464108,5.464108,21400
2002-04-22,5.464108,8.651504,5.464108,5.919450,5.919450,9700
2002-04-29,5.919450,6.147121,5.919450,6.147121,6.147121,5900
2002-05-06,6.147121,6.147121,5.577943,6.033286,6.033286,4300
2002-05-13,6.101587,6.101587,5.236436,5.919450,5.919450,9900
2002-05-20,5.919450,6.329258,5.245543,5.350272,5.350272,5100
2002-05-27,5.350272,5.691779,5.259203,5.464108,5.464108,2500
2002-06-03,5.464108,5.464108,5.236436,5.236436,5.236436,2900
2002-06-10,5.236436,5.236436,5.236436,5.236436,5.236436,400
2002-06-17,5.236436,5.236436,5.236436,5.236436,5.236436,0
2002-06-24,5.236436,5.236436,5.236436,5.236436,5.236436,0
2002-07-01,5.236436,5.236436,5.236436,5.236436,5.236436,0
2002-07-08,5.031532,5.464108,5.031532,5.190902,5.190902,4000
2002-07-15,5.122601,5.122601,5.031532,5.031532,5.031532,2400
2002-07-22,4.694579,4.894930,4.694579,4.694579,4.694579,3600
2002-07-29,4.694579,4.694579,4.694579,4.694579,4.694579,0
2002-08-05,4.694579,4.758327,4.667259,4.667259,4.667259,5200
2002-08-12,4.667259,5.008765,4.667259,4.690026,4.690026,11600
2002-08-19,4.671812,5.008765,4.667259,4.785647,4.785647,15200
2002-08-26,4.785647,5.304738,4.785647,5.304738,5.304738,58300
2002-09-02,5.304738,5.304738,5.304738,5.304738,5.304738,0
2002-09-09,5.304738,5.304738,4.954124,5.067960,5.067960,51900
2002-09-16,5.236436,5.464108,5.145368,5.350272,5.350272,7000
