Date,Open,High,Low,Close,Adj Close,Volume
1993-06-28,11.000000,11.875000,11.000000,11.500000,8.291493,1734800
1993-07-05,11.500000,11.500000,11.000000,11.250000,8.111242,234400
1993-07-12,11.125000,11.375000,11.000000,11.250000,8.111242,445200
1993-07-19,11.250000,11.500000,11.000000,11.000000,7.930993,147200
1993-07-26,11.375000,11.500000,11.000000,11.250000,8.111242,249000
1993-08-02,11.000000,11.250000,11.000000,11.000000,7.930993,144200
1993-08-09,11.000000,11.250000,11.000000,11.250000,8.111242,144100
1993-08-16,11.250000,11.500000,11.000000,11.250000,8.111242,72700
1993-08-23,11.500000,12.750000,11.000000,12.625000,9.102617,327700
1993-08-30,12.750000,13.125000,12.375000,13.125000,9.463117,227600
1993-09-06,12.875000,13.250000,12.750000,13.125000,9.463117,51000
1993-09-13,13.125000,13.125000,12.125000,12.625000,9.102617,85200
1993-09-20,12.625000,12.625000,12.000000,12.375000,8.922367,155200
1993-09-27,12.375000,12.375000,11.125000,11.250000,8.111242,1065900
1993-10-04,11.500000,12.750000,11.125000,12.625000,9.102617,158600
1993-10-11,12.625000,13.000000,12.250000,12.500000,9.012492,45700
1993-10-18,13.000000,13.625000,12.500000,13.500000,9.733491,328200
1993-10-25,13.500000,13.500000,13.125000,13.375000,9.643368,96900
1993-11-01,13.375000,13.500000,10.375000,10.750000,7.750743,1271100
1993-11-08,10.750000,10.750000,10.375000,10.500000,7.570493,75400
1993-11-15,10.750000,10.750000,9.875000,10.250000,7.390244,170700
1993-11-22,10.250000,10.250000,9.875000,10.250000,7.390244,23500
1993-11-29,10.250000,10.250000,9.375000,9.500000,6.849494,600600
1993-12-06,9.500000,10.000000,9.500000,9.750000,7.029744,80400
1993-12-13,9.625000,10.500000,9.375000,10.125000,7.300118,149000
1993-12-20,10.375000,13.125000,10.125000,13.000000,9.372992,146100
1993-12-27,12.750000,13.000000,12.375000,12.500000,9.012492,155300
1994-01-03,12.500000,12.750000,12.125000,12.625000,9.102617,65800
1994-01-10,12.750000,13.375000,12.250000,13.375000,9.643368,243400
1994-01-17,13.375000,13.500000,13.125000,13.250000,9.553242,87900
1994-01-24,13.250000,13.375000,13.000000,13.250000,9.553242,53800
1994-01-31,12.875000,13.125000,12.625000,12.625000,9.102617,36900
1994-02-07,12.625000,12.750000,10.875000,11.000000,7.930993,58600
1994-02-14,11.000000,12.000000,11.000000,12.000000,8.651993,74400
1994-02-21,11.875000,12.000000,11.625000,11.875000,8.561868,24500
1994-02-28,12.000000,12.000000,8.250000,9.500000,6.849494,197400
1994-03-07,9.625000,10.000000,9.000000,9.000000,6.488994,922100
1994-03-14,9.250000,9.250000,8.000000,8.250000,5.948246,620300
1994-03-21,8.250000,8.375000,7.875000,8.125000,5.858120,134300
1994-03-28,8.125000,8.125000,7.500000,7.500000,5.407495,152800
1994-04-04,7.500000,8.000000,6.000000,7.750000,5.587745,760000
1994-04-11,7.750000,8.125000,7.625000,8.125000,5.858120,30300
1994-04-18,7.750000,8.125000,7.625000,8.000000,5.767995,29000
1994-04-25,7.750000,7.750000,7.000000,7.375000,5.317370,57900
1994-05-02,7.375000,7.375000,7.000000,7.375000,5.317370,116900
1994-05-09,7.000000,7.500000,7.000000,7.500000,5.407495,385700
1994-05-16,7.250000,7.250000,6.500000,6.875000,4.956871,102300
1994-05-23,6.750000,7.000000,6.750000,7.000000,5.046996,21500
1994-05-30,7.000000,7.625000,6.875000,7.250000,5.227246,28900
1994-06-06,7.375000,7.625000,7.125000,7.625000,5.497621,32000
1994-06-13,7.625000,7.625000,7.250000,7.500000,5.407495,3000
1994-06-20,7.500000,7.500000,7.000000,7.000000,5.046996,38600
1994-06-27,7.375000,7.375000,6.875000,7.000000,5.046996,63500
1994-07-04,6.875000,7.125000,6.875000,7.125000,5.137120,6300
1994-07-11,7.125000,7.250000,6.875000,7.250000,5.227246,348900
1994-07-18,6.875000,7.250000,6.875000,7.125000,5.137120,5400
1994-07-25,6.875000,7.250000,6.875000,7.125000,5.137120,49500
1994-08-01,6.875000,7.250000,6.875000,6.875000,4.956871,234300
1994-08-08,6.875000,7.250000,6.875000,6.875000,4.956871,5800
1994-08-15,7.250000,7.250000,6.875000,7.000000,5.046996,21300
1994-08-22,6.875000,7.250000,6.750000,6.750000,4.866745,18600
1994-08-29,7.250000,7.250000,6.750000,7.062500,5.092058,104100
1994-09-05,6.750000,7.250000,6.750000,7.000000,5.046996,72400
1994-09-12,7.250000,7.750000,6.875000,7.250000,5.227246,43500
1994-09-19,7.250000,7.750000,7.250000,7.750000,5.587745,22500
1994-09-26,7.375000,7.750000,7.250000,7.750000,5.587745,9300
1994-10-03,7.750000,7.750000,7.250000,7.375000,5.317370,15600
1994-10-10,7.500000,7.625000,7.250000,7.625000,5.497621,9400
1994-10-17,7.625000,7.625000,7.250000,7.250000,5.227246,103300
1994-10-24,7.250000,7.625000,7.250000,7.250000,5.227246,28400
1994-10-31,7.312500,7.750000,7.250000,7.250000,5.227246,74300
1994-11-07,7.250000,7.500000,7.250000,7.500000,5.407495,22900
1994-11-14,7.250000,7.500000,7.250000,7.250000,5.227246,10800
1994-11-21,7.250000,7.375000,7.000000,7.000000,5.046996,31000
1994-11-28,7.125000,7.375000,7.125000,7.125000,5.137120,55600
1994-12-05,7.250000,7.500000,7.125000,7.500000,5.407495,70700
1994-12-12,7.375000,7.625000,7.250000,7.500000,5.407495,91600
1994-12-19,7.375000,7.625000,7.375000,7.375000,5.317370,175100
1994-12-26,7.625000,7.750000,7.375000,7.750000,5.587745,81900
1995-01-02,7.500000,7.750000,7.375000,7.750000,5.587745,6500
1995-01-09,7.500000,9.250000,7.500000,9.000000,6.488994,75700
