Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.852050,0.898438,0.816406,0.828613,0.292639,1600000
1980-03-24,0.816406,0.816406,0.727050,0.766113,0.270566,1168000
1980-03-31,0.824219,0.871581,0.824219,0.871581,0.307815,1001600
1980-04-07,0.871581,0.871581,0.848144,0.859375,0.303504,329600
1980-04-14,0.859375,0.859375,0.789550,0.809081,0.285742,681600
1980-04-21,0.816406,0.906738,0.816406,0.883300,0.311953,656000
1980-04-28,0.891113,0.934081,0.886719,0.906738,0.320230,678400
1980-05-05,0.906738,0.917969,0.852050,0.852050,0.300917,441600
1980-05-12,0.852050,0.871581,0.844238,0.871581,0.307815,553600
1980-05-19,0.871581,0.875000,0.848144,0.871581,0.307815,1020800
1980-05-26,0.871581,0.883300,0.855469,0.855469,0.302124,806400
1980-06-02,0.855469,0.906738,0.848144,0.891113,0.314712,870400
1980-06-09,0.891113,0.930175,0.891113,0.914550,0.322990,796800
1980-06-16,0.914550,0.914550,0.886719,0.902344,0.318679,582400
1980-06-23,0.902344,0.914550,0.891113,0.895019,0.316092,748800
1980-06-30,0.895019,0.906738,0.895019,0.906738,0.320230,876800
1980-07-07,0.906738,0.964844,0.902344,0.960938,0.339372,1091200
1980-07-14,0.969238,1.055175,0.969238,1.035644,0.365756,1606400
1980-07-21,1.046875,1.102050,1.039550,1.042969,0.368343,3350400
1980-07-28,1.042969,1.046875,1.000000,1.046875,0.369723,841600
1980-08-04,1.046875,1.094237,1.031737,1.082519,0.382311,1472000
1980-08-11,1.082519,1.125000,1.066406,1.121581,0.396106,2044800
1980-08-18,1.121581,1.219237,1.105469,1.214844,0.429044,4684800
1980-08-25,1.214844,1.219237,1.102050,1.102050,0.389209,1459200
1980-09-01,1.102050,1.261719,1.102050,1.250000,0.441460,2652800
1980-09-08,1.246581,1.250000,1.227050,1.238281,0.437321,1712000
1980-09-15,1.230469,1.230469,1.195800,1.207519,0.426457,2291200
1980-09-22,1.207519,1.227050,1.187500,1.187500,0.419387,2288000
1980-09-29,1.180175,1.180175,1.128906,1.136719,0.401452,396800
1980-10-06,1.145019,1.180175,1.145019,1.167969,0.412489,2412800
1980-10-13,1.164550,1.187500,1.156737,1.160644,0.409902,659200
1980-10-20,1.160644,1.250000,1.156737,1.187500,0.419387,2012800
1980-10-27,1.187500,1.187500,1.148438,1.180175,0.416800,585600
1980-11-03,1.180175,1.227050,1.167969,1.207519,0.426457,1094400
1980-11-10,1.207519,1.214844,1.187500,1.199219,0.423526,2006400
1980-11-17,1.199219,1.219237,1.191406,1.203612,0.425077,2134400
1980-11-24,1.203612,1.246581,1.195800,1.246581,0.440252,886400
1980-12-01,1.246581,1.253906,1.207519,1.214844,0.429044,784000
1980-12-08,1.210938,1.210938,1.066406,1.078612,0.380931,2403200
1980-12-15,1.078612,1.094237,1.062500,1.094237,0.386450,1241600
1980-12-22,1.098144,1.121581,1.098144,1.109375,0.391796,345600
1980-12-29,1.109375,1.117675,1.098144,1.113281,0.393175,227200
1981-01-05,1.125000,1.167969,1.089844,1.089844,0.384898,1801600
1981-01-12,1.102050,1.242675,1.102050,1.242675,0.438873,1376000
1981-01-19,1.242675,1.246581,1.187500,1.187500,0.419387,1027200
1981-01-26,1.187500,1.234375,1.167969,1.234375,0.435941,1129600
1981-02-02,1.230469,1.320800,1.199219,1.312500,0.463533,2553600
1981-02-09,1.324219,1.367675,1.261719,1.261719,0.445598,2009600
1981-02-16,1.261719,1.339844,1.253906,1.305175,0.460946,1984000
1981-02-23,1.312500,1.359375,1.312500,1.359375,0.480088,1657600
1981-03-02,1.359375,1.367675,1.344237,1.344237,0.474741,979200
1981-03-09,1.344237,1.469237,1.344237,1.398438,0.493883,2748800
1981-03-16,1.398438,1.406737,1.359375,1.375000,0.485606,966400
1981-03-23,1.375000,1.375000,1.335938,1.348144,0.476121,1536000
1981-03-30,1.344237,1.421875,1.335938,1.406250,0.496642,713600
1981-04-06,1.406250,1.476563,1.375000,1.476563,0.521474,1963200
1981-04-13,1.476563,1.476563,1.437500,1.454100,0.513542,2918400
1981-04-20,1.454100,1.484375,1.429688,1.460938,0.515956,737600
1981-04-27,1.460938,1.468750,1.312500,1.335938,0.471810,651200
1981-05-04,1.320313,1.320313,1.250000,1.312500,0.463533,731200
1981-05-11,1.312500,1.367188,1.304688,1.343750,0.474569,539200
1981-05-18,1.343750,1.375000,1.320313,1.335938,0.471810,1601600
1981-05-25,1.335938,1.351563,1.312500,1.312500,0.463533,489600
1981-06-01,1.312500,1.351563,1.281250,1.320313,0.466292,832000
1981-06-08,1.320313,1.429688,1.304688,1.406250,0.496642,1035200
1981-06-15,1.406250,1.460938,1.391600,1.460938,0.515956,811200
1981-06-22,1.445313,1.445313,1.351563,1.406250,0.496642,465600
1981-06-29,1.406250,1.421875,1.266600,1.281250,0.452496,676800
1981-07-06,1.281250,1.281250,1.226563,1.250000,0.441460,848000
1981-07-13,1.250000,1.250000,1.171875,1.234375,0.435941,707200
1981-07-20,1.234375,1.281250,1.218750,1.281250,0.452496,1316800
1981-07-27,1.266600,1.273438,1.250000,1.273438,0.449737,1884800
1981-08-03,1.266600,1.273438,1.226563,1.273438,0.449737,732800
1981-08-10,1.273438,1.304688,1.266600,1.281250,0.452496,1638400
1981-08-17,1.281250,1.296875,1.266600,1.289063,0.455256,340800
1981-08-24,1.281250,1.281250,1.234375,1.242188,0.438701,755200
1981-08-31,1.234375,1.234375,1.085938,1.141600,0.403176,1086400
1981-09-07,1.141600,1.171875,1.062500,1.156250,0.408350,899200
1981-09-14,1.156250,1.204100,1.125000,1.141600,0.403176,875200
1981-09-21,1.141600,1.164063,1.046875,1.062500,0.375241,481600
1981-09-28,1.062500,1.141600,1.007813,1.141600,0.403176,376000
1981-10-05,1.156250,1.179688,1.132813,1.179688,0.416628,465600
1981-10-12,1.179688,1.187500,1.125000,1.171875,0.413869,728000
1981-10-19,1.179688,1.210938,1.148438,1.156250,0.408350,355200
1981-10-26,1.156250,1.218750,1.156250,1.218750,0.430424,644800
1981-11-02,1.234375,1.273438,1.234375,1.234375,0.435941,664000
1981-11-09,1.242188,1.296875,1.242188,1.281250,0.452496,595200
1981-11-16,1.281250,1.335938,1.273438,1.312500,0.463533,736000
1981-11-23,1.312500,1.391600,1.312500,1.359375,0.480088,342400
1981-11-30,1.359375,1.437500,1.343750,1.421875,0.502161,1585600
1981-12-07,1.421875,1.429688,1.375000,1.375000,0.485606,2392000
1981-12-14,1.375000,1.437500,1.359375,1.429688,0.504920,574400
1981-12-21,1.429688,1.429688,1.359375,1.367188,0.482847,558400
1981-12-28,1.367188,1.375000,1.335938,1.375000,0.485606,595200
1982-01-04,1.375000,1.391600,1.281250,1.281250,0.452496,665600
1982-01-11,1.281250,1.281250,1.156250,1.164063,0.411109,1134400
1982-01-18,1.164063,1.187500,1.156250,1.171875,0.413869,472000
1982-01-25,1.164063,1.226563,1.164063,1.226563,0.433183,699200
1982-02-01,1.226563,1.234375,1.156250,1.171875,0.413869,532800
1982-02-08,1.171875,1.195313,1.132813,1.179688,0.416628,393600
1982-02-15,1.179688,1.242188,1.156250,1.204100,0.425249,544000
1982-02-22,1.218750,1.250000,1.218750,1.234375,0.435941,932800
1982-03-01,1.234375,1.250000,1.171875,1.171875,0.413869,1227200
1982-03-08,1.171875,1.329100,1.171875,1.304688,0.460774,780800
1982-03-15,1.289063,1.296875,1.250000,1.266600,0.447322,752000
1982-03-22,1.266600,1.351563,1.266600,1.304688,0.460774,457600
1982-03-29,1.304688,1.335938,1.266600,1.335938,0.471810,305600
1982-04-05,1.312500,1.312500,1.250000,1.281250,0.452496,1035200
1982-04-12,1.289063,1.406250,1.289063,1.382813,0.488365,1036800
1982-04-19,1.382813,1.476563,1.375000,1.468750,0.518715,1339200
1982-04-26,1.468750,1.484375,1.375000,1.421875,0.502161,880000
1982-05-03,1.421875,1.579100,1.398438,1.562500,0.551825,2540800
1982-05-10,1.562500,1.562500,1.500000,1.531250,0.540788,1390400
1982-05-17,1.531250,1.546875,1.454100,1.516600,0.535614,7920000
1982-05-24,1.516600,1.523438,1.406250,1.437500,0.507679,2408000
1982-05-31,1.437500,1.476563,1.429688,1.429688,0.504920,321600
1982-06-07,1.429688,1.429688,1.289063,1.335938,0.471810,1558400
1982-06-14,1.329100,1.329100,1.242188,1.273438,0.449737,1006400
1982-06-21,1.273438,1.406250,1.257813,1.359375,0.480088,1472000
1982-06-28,1.359375,1.382813,1.329100,1.335938,0.471810,1454400
1982-07-05,1.343750,1.429688,1.343750,1.429688,0.504920,1193600
1982-07-12,1.429688,1.460938,1.391600,1.460938,0.515956,1273600
1982-07-19,1.492188,1.641600,1.492188,1.570313,0.554584,3315200
1982-07-26,1.570313,1.570313,1.492188,1.500000,0.529752,1105600
1982-08-02,1.500000,1.554688,1.500000,1.507813,0.532511,2939200
1982-08-09,1.500000,1.593750,1.468750,1.585938,0.560102,1564800
1982-08-16,1.601563,1.757813,1.601563,1.734375,0.612525,3617600
1982-08-23,1.734375,1.835938,1.710938,1.773438,0.626321,3388800
1982-08-30,1.773438,1.875000,1.726563,1.781250,0.629080,2264000
1982-09-06,1.781250,1.789063,1.656250,1.704100,0.601833,1806400
1982-09-13,1.704100,1.835938,1.687500,1.789063,0.631839,1665600
1982-09-20,1.796875,1.937500,1.796875,1.851563,0.653912,2369600
1982-09-27,1.851563,1.954100,1.851563,1.891600,0.668052,3454400
1982-10-04,1.891600,2.093750,1.867188,2.079100,0.734271,2649600
1982-10-11,2.079100,2.141600,1.984375,2.062500,0.728409,3307200
1982-10-18,2.079100,2.351563,2.079100,2.312500,0.816700,2729600
1982-10-25,2.296875,2.437500,2.156250,2.437500,0.860847,1808000
1982-11-01,2.437500,2.625000,2.414063,2.625000,0.927065,3689600
1982-11-08,2.625000,2.859375,2.601563,2.781250,0.982248,3760000
1982-11-15,2.766600,2.766600,2.539063,2.593750,0.916029,2574400
1982-11-22,2.593750,2.609375,2.531250,2.609375,0.921548,1107200
1982-11-29,2.617188,2.921875,2.617188,2.820313,0.996043,2908800
1982-12-06,2.829100,3.117188,2.812500,2.829100,0.999147,4529600
