Date,Open,High,Low,Close,Adj Close,Volume
1997-06-16,1.375000,1.500000,1.312500,1.421880,1.142205,571200
1997-06-23,1.437500,1.437500,1.281250,1.437500,1.154753,1029200
1997-06-30,1.437500,1.437500,1.312500,1.406250,1.129650,287200
1997-07-07,1.312500,1.406250,1.312500,1.390620,1.117094,541600
1997-07-14,1.390620,1.531250,1.312500,1.390620,1.117094,531200
1997-07-21,1.390620,1.390620,1.312500,1.320310,1.060613,449600
1997-07-28,1.375000,1.468750,1.250000,1.375000,1.104546,855600
1997-08-04,1.312500,1.359380,1.296880,1.312500,1.054339,241600
1997-08-11,1.312500,1.359380,1.312500,1.312500,1.054339,112400
1997-08-18,1.312500,1.343750,1.308590,1.312500,1.054339,698400
1997-08-25,1.343750,1.343750,1.250000,1.312500,1.054339,386400
1997-09-01,1.328120,1.343750,1.312500,1.312500,1.054339,506000
1997-09-08,1.312500,1.320310,1.250000,1.320310,1.060613,322000
1997-09-15,1.312500,1.421880,1.312500,1.359380,1.091999,248400
1997-09-22,1.312500,1.359380,1.312500,1.312500,1.054339,82800
1997-09-29,1.312500,1.359380,1.312500,1.312500,1.054339,172400
1997-10-06,1.312500,1.343750,1.312500,1.343750,1.079443,138400
1997-10-13,1.312500,1.343750,1.312500,1.312500,1.054339,141600
1997-10-20,1.312500,1.328120,1.312500,1.312500,1.054339,76400
1997-10-27,1.312500,1.375000,1.312500,1.312500,1.054339,191600
1997-11-03,1.312500,1.375000,1.312500,1.312500,1.054339,127200
1997-11-10,1.312500,1.375000,1.312500,1.375000,1.104546,87200
1997-11-17,1.312500,1.437500,1.312500,1.312500,1.054339,101200
1997-11-24,1.312500,1.437500,1.312500,1.312500,1.054339,138400
1997-12-01,1.312500,1.437500,1.312500,1.312500,1.054339,19200
1997-12-08,1.312500,1.437500,1.312500,1.312500,1.054339,176800
1997-12-15,1.312500,1.312500,1.312500,1.312500,1.054339,72000
1997-12-22,1.312500,1.375000,1.109380,1.218750,0.979030,178000
1997-12-29,1.156250,1.250000,1.062500,1.062500,0.853513,152000
1998-01-05,1.171880,1.171880,1.171880,1.171880,0.941379,84000
1998-01-12,1.218750,1.375000,1.187500,1.343750,1.079443,129200
1998-01-19,1.343750,1.343750,1.187500,1.250000,1.004133,302400
1998-01-26,1.250000,1.343750,1.171880,1.171880,0.941379,129200
1998-02-02,1.171880,1.250000,1.171880,1.171880,0.941379,64800
1998-02-09,1.218750,2.125000,1.218750,1.718750,1.380683,3338000
1998-02-16,1.781250,2.031250,1.750000,1.906250,1.531303,440400
1998-02-23,1.968750,1.968750,1.718750,1.796880,1.443445,345200
1998-03-02,1.812500,1.843750,1.718750,1.843750,1.481096,408800
1998-03-09,1.796880,1.796880,1.687500,1.687500,1.355579,162800
1998-03-16,1.687500,1.687500,1.062500,1.500000,1.204960,388400
1998-03-23,1.500000,1.593750,0.875000,1.250000,1.004133,524000
1998-03-30,1.187500,1.312500,1.125000,1.203120,0.966474,134000
1998-04-06,1.156250,1.500000,1.156250,1.343750,1.079443,163600
1998-04-13,1.343750,1.375000,1.281250,1.375000,1.104546,257200
1998-04-20,1.281250,1.312500,1.000000,1.312500,1.054339,62400
1998-04-27,1.125000,1.375000,1.125000,1.218750,0.979030,70400
