Date,Open,High,Low,Close,Adj Close,Volume
1985-06-10,5.140690,5.275970,5.140690,5.275970,1.375063,271700
1985-06-17,5.330090,5.357140,5.194810,5.194810,1.353910,261300
1985-06-24,5.194810,5.411260,5.140690,5.357140,1.396218,153200
1985-07-01,5.519480,6.060610,5.519480,6.060610,1.579562,435200
1985-07-08,6.168830,6.168830,5.898270,6.060610,1.579562,940900
1985-07-15,6.060610,6.087660,6.006490,6.060610,1.579562,727700
1985-07-22,6.060610,6.060610,5.925320,5.925320,1.544302,132000
1985-07-29,5.925320,5.925320,5.735930,5.898270,1.537252,146500
1985-08-05,5.925320,6.006490,5.790040,5.817100,1.516097,261900
1985-08-12,5.817100,6.060610,5.817100,6.006490,1.565458,334500
1985-08-19,6.060610,6.385280,6.060610,6.168830,1.658614,326000
1985-08-26,6.195890,6.195890,6.060610,6.060610,1.629516,472000
1985-09-02,6.087660,6.168830,6.060610,6.087660,1.636790,178200
1985-09-09,6.087660,6.087660,5.817100,5.817100,1.564045,355200
1985-09-16,5.817100,5.898270,5.546540,5.546540,1.491299,285900
1985-09-23,5.546540,5.654760,5.519480,5.519480,1.484023,807200
1985-09-30,5.546540,5.627710,5.330090,5.546540,1.491299,466600
1985-10-07,5.546540,6.060610,5.519480,6.060610,1.629516,255000
1985-10-14,6.060610,6.385280,5.925320,6.331170,1.702263,220900
1985-10-21,6.439390,6.601730,6.250000,6.250000,1.680439,770600
1985-10-28,6.331170,6.439390,6.277060,6.277060,1.687714,1317600
1985-11-04,6.331170,6.385280,6.277060,6.358230,1.709538,310100
1985-11-11,6.439390,6.547620,6.195890,6.195890,1.682732,516400
1985-11-18,6.195890,6.277060,6.087660,6.277060,1.704777,320500
1985-11-25,6.277060,6.331170,6.195890,6.331170,1.719473,257000
1985-12-02,6.277060,6.385280,6.168830,6.385280,1.734170,374600
1985-12-09,6.385280,6.845240,6.277060,6.655840,1.807650,778600
1985-12-16,6.655840,6.845240,6.547620,6.845240,1.859090,833000
1985-12-23,6.845240,6.845240,6.655840,6.709960,1.822349,144200
1985-12-30,6.709960,6.737010,6.385280,6.466450,1.756214,188200
1986-01-06,6.466450,6.547620,6.331170,6.466450,1.756214,723900
1986-01-13,6.466450,6.818180,6.439390,6.709960,1.822349,226900
1986-01-20,6.709960,7.088740,6.709960,7.088740,1.925220,281000
1986-01-27,7.088740,7.521650,6.980520,7.386360,2.006051,297900
1986-02-03,7.467530,7.575760,7.251080,7.359310,1.998704,351700
1986-02-10,7.359310,7.386360,7.251080,7.359310,1.998704,394000
1986-02-17,7.305190,7.305190,7.115800,7.115800,1.980564,344700
1986-02-24,7.196970,7.386360,7.196970,7.386360,2.055868,433800
1986-03-03,7.467530,7.629870,7.359310,7.359310,2.048339,485500
1986-03-10,7.359310,7.629870,7.359310,7.629870,2.123646,310400
1986-03-17,7.629870,7.629870,7.386360,7.386360,2.055868,205200
1986-03-24,7.386360,7.575760,7.359310,7.521650,2.093523,293500
1986-03-31,7.575760,7.846320,7.575760,7.846320,2.183891,476300
1986-04-07,7.846320,7.846320,7.575760,7.765150,2.161299,342400
1986-04-14,7.765150,8.387450,7.738100,8.387450,2.334505,357900
1986-04-21,8.441560,8.847400,8.441560,8.685060,2.417340,360400
1986-04-28,8.685060,8.766230,8.495670,8.495670,2.364626,540000
1986-05-05,8.495670,8.576840,8.441560,8.441560,2.349566,376000
1986-05-12,8.441560,8.549780,8.441560,8.495670,2.364626,334600
1986-05-19,8.495670,8.549780,8.279220,8.387450,2.394125,516900
1986-05-26,8.387450,8.576840,8.306280,8.576840,2.448184,524000
1986-06-02,8.576840,8.766230,8.495670,8.576840,2.448184,307100
1986-06-09,8.576840,8.658010,8.387450,8.549780,2.440459,362100
