Date,Open,High,Low,Close,Adj Close,Volume
2012-04-16,32.000000,36.639999,30.910000,36.200001,36.200001,15921000
2012-04-23,36.779999,37.340000,33.340000,35.060001,35.060001,2572200
2012-04-30,36.130001,36.939999,31.760000,32.070000,32.070000,2707100
2012-05-07,31.750000,34.169998,29.469999,31.360001,31.360001,2378400
2012-05-14,31.280001,32.919998,28.490000,29.059999,29.059999,2510900
2012-05-21,29.480000,36.500000,28.820000,35.930000,35.930000,2737700
2012-05-28,36.720001,37.570000,26.969999,27.240000,27.240000,4213500
2012-06-04,27.799999,32.060001,25.150000,32.009998,32.009998,3267700
2012-06-11,32.689999,33.040001,29.770000,32.730000,32.730000,1581400
2012-06-18,32.349998,32.720001,29.110001,29.270000,29.270000,3147500
2012-06-25,28.840000,28.940001,25.820000,28.100000,28.100000,3135800
2012-07-02,28.150000,30.530001,27.440001,29.629999,29.629999,1086300
2012-07-09,29.170000,29.590000,25.900000,28.190001,28.190001,2460900
2012-07-16,28.049999,29.570000,27.490000,28.549999,28.549999,8973800
2012-07-23,28.250000,29.900000,27.600000,29.270000,29.270000,3191700
2012-07-30,29.180000,29.799999,27.000000,27.940001,27.940001,2441400
2012-08-06,27.980000,30.840000,27.879999,30.180000,30.180000,2209400
2012-08-13,30.219999,31.000000,28.740000,30.900000,30.900000,1787400
2012-08-20,30.900000,31.750000,30.049999,30.860001,30.860001,1655200
2012-08-27,31.070000,36.119999,29.910000,34.400002,34.400002,5331900
2012-09-03,34.490002,38.490002,34.290001,38.290001,38.290001,3091100
2012-09-10,38.200001,39.750000,36.000000,39.080002,39.080002,2806300
2012-09-17,39.090000,39.090000,35.849998,37.139999,37.139999,3793600
2012-09-24,36.869999,38.160000,34.919998,36.720001,36.720001,4825300
2012-10-01,37.000000,37.200001,32.430000,33.029999,33.029999,6005400
2012-10-08,31.959999,33.560001,30.900000,31.309999,31.309999,5007400
2012-10-15,31.150000,32.779999,30.230000,31.510000,31.510000,11805100
2012-10-22,31.830000,31.830000,28.040001,28.990000,28.990000,5975300
2012-10-29,28.959999,29.230000,27.750000,28.230000,28.230000,3822600
2012-11-05,28.180000,28.410000,26.580000,26.920000,26.920000,3596600
2012-11-12,26.969999,29.000000,26.100000,28.500000,28.500000,4451400
2012-11-19,28.809999,29.200001,27.320000,28.889999,28.889999,3152400
2012-11-26,28.600000,30.920000,28.100000,30.200001,30.200001,12634400
2012-12-03,28.209999,29.750000,27.709999,27.889999,27.889999,10055100
2012-12-10,27.820000,28.430000,26.910000,27.570000,27.570000,7372600
2012-12-17,27.209999,29.670000,27.139999,29.370001,29.370001,8026000
2012-12-24,29.040001,29.270000,27.969999,28.410000,28.410000,2665300
2012-12-31,28.080000,29.870001,28.080000,29.680000,29.680000,3405900
2013-01-07,29.400000,32.439999,28.250000,32.270000,32.270000,7255100
2013-01-14,31.629999,33.750000,30.850000,33.500000,33.500000,14332000
2013-01-21,33.419998,34.900002,32.959999,33.630001,33.630001,6619700
2013-01-28,33.880001,34.980000,32.310001,33.900002,33.900002,9379200
2013-02-04,33.509998,34.160000,32.750000,33.419998,33.419998,3833200
2013-02-11,33.080002,35.759998,33.000000,34.980000,34.980000,6234500
2013-02-18,34.740002,35.349998,33.779999,35.009998,35.009998,3053700
2013-02-25,35.000000,39.180000,35.000000,38.970001,38.970001,11354800
2013-03-04,37.430000,39.230000,37.009998,38.720001,38.720001,12463800
2013-03-11,37.770000,39.500000,37.509998,39.000000,39.000000,6574200
2013-03-18,38.099998,39.299999,37.130001,39.049999,39.049999,6047700
2013-03-25,38.520000,40.630001,38.470001,40.029999,40.029999,9636200
2013-04-01,39.820000,40.369999,38.599998,39.910000,39.910000,6516200
2013-04-08,39.330002,42.400002,39.259998,42.259998,42.259998,7566300
2013-04-15,42.090000,42.490002,40.029999,40.630001,40.630001,6878300
2013-04-22,41.060001,42.529999,40.220001,41.139999,41.139999,5050400
2013-04-29,41.689999,43.490002,40.480000,43.279999,43.279999,5549600
2013-05-06,43.400002,45.160000,41.770000,44.889999,44.889999,5976300
2013-05-13,44.759998,45.549999,43.860001,45.439999,45.439999,5076000
2013-05-20,45.980000,47.209999,43.610001,44.820000,44.820000,3978300
2013-05-27,45.029999,47.110001,43.400002,46.759998,46.759998,7679200
2013-06-03,46.240002,46.450001,41.290001,43.419998,43.419998,9316700
2013-06-10,43.790001,44.790001,42.970001,43.070000,43.070000,4812200
2013-06-17,43.480000,44.669998,42.830002,43.849998,43.849998,6893200
2013-06-24,43.310001,47.610001,43.000000,46.360001,46.360001,14373400
2013-07-01,46.349998,49.340000,46.150002,49.320000,49.320000,5631400
2013-07-08,49.570000,51.110001,47.599998,50.720001,50.720001,5837400
2013-07-15,50.630001,51.310001,49.320000,49.669998,49.669998,4767000
2013-07-22,49.950001,52.119999,49.619999,50.459999,50.459999,4454700
2013-07-29,50.730000,53.470001,49.400002,52.599998,52.599998,4867800
2013-08-05,52.169998,53.189999,51.259998,51.730000,51.730000,2746600
2013-08-12,51.660000,52.970001,49.330002,49.799999,49.799999,1974900
2013-08-19,49.980000,50.970001,49.290001,50.209999,50.209999,2729500
2013-08-26,50.279999,55.830002,47.689999,55.209999,55.209999,9427700
2013-09-02,54.750000,57.750000,54.500000,56.340000,56.340000,5619200
2013-09-09,56.480000,62.209999,56.349998,59.540001,59.540001,6226100
2013-09-16,61.349998,63.340000,58.029999,61.980000,61.980000,8450100
2013-09-23,62.090000,62.320000,58.849998,61.490002,61.490002,4652500
2013-09-30,60.630001,63.770000,59.490002,62.950001,62.950001,5399200
2013-10-07,61.230000,62.610001,54.930000,59.450001,59.450001,8747300
2013-10-14,58.660000,63.490002,57.160000,61.880001,61.880001,6171400
