Date,Open,High,Low,Close,Adj Close,Volume
2010-03-29,8.000000,8.170000,7.505000,7.560000,7.246467,16610400
2010-04-05,7.645000,8.145000,7.400000,8.000000,7.668220,3791000
2010-04-12,8.090000,8.595000,7.935000,8.500000,8.147484,2368000
2010-04-19,8.500000,8.500000,7.900000,8.050000,7.716146,1309000
2010-04-26,8.145000,8.475000,7.955000,8.390000,8.042045,1642000
2010-05-03,8.350000,8.500000,7.615000,7.875000,7.548404,1518400
2010-05-10,8.270000,8.465000,7.225000,8.345000,7.998912,2885600
2010-05-17,8.325000,8.385000,7.450000,7.525000,7.212918,891000
2010-05-24,7.505000,8.250000,7.500000,8.160000,7.821583,1016600
2010-05-31,8.100000,8.495000,8.005000,8.220000,7.879095,1297600
2010-06-07,8.175000,8.375000,7.875000,8.375000,8.027667,1258400
2010-06-14,8.380000,9.205000,8.255000,8.495000,8.142690,1732800
2010-06-21,8.565000,8.800000,7.680000,8.280000,7.936606,4886000
2010-06-28,8.250000,8.650000,7.860000,8.235000,7.893472,1370800
2010-07-05,8.305000,9.140000,8.110000,9.100000,8.722600,1499600
2010-07-12,9.095000,9.180000,8.045000,8.120000,7.783244,1571400
2010-07-19,8.065000,8.490000,8.025000,8.390000,8.042045,883400
2010-07-26,8.455000,8.700000,8.250000,8.550000,8.195411,837600
2010-08-02,8.610000,8.680000,8.100000,8.335000,7.989326,455000
2010-08-09,8.400000,8.495000,7.250000,7.555000,7.241675,833000
2010-08-16,7.540000,7.650000,7.040000,7.090000,6.795959,627400
2010-08-23,7.090000,7.380000,6.635000,7.380000,7.073932,595400
2010-08-30,7.325000,7.475000,7.000000,7.230000,6.930154,591200
2010-09-06,7.220000,7.340000,7.115000,7.270000,6.968493,978600
2010-09-13,7.350000,7.750000,7.000000,7.595000,7.280015,774400
2010-09-20,7.590000,7.945000,7.335000,7.375000,7.069139,1268400
2010-09-27,7.430000,8.425000,7.410000,8.355000,8.008496,773400
2010-10-04,8.355000,8.500000,8.160000,8.475000,8.123520,583000
2010-10-11,8.175000,8.525000,8.175000,8.515000,8.161860,784000
2010-10-18,8.525000,8.535000,8.255000,8.400000,8.051630,377600
2010-10-25,8.440000,8.885000,8.415000,8.650000,8.291263,1482400
2010-11-01,8.650000,8.850000,8.425000,8.765000,8.401494,2507200
2010-11-08,8.750000,9.250000,8.750000,9.165000,8.784904,1180600
2010-11-15,9.130000,9.250000,8.925000,9.080000,8.703428,805200
2010-11-22,9.070000,9.935000,8.925000,9.925000,9.513383,526600
2010-11-29,9.845000,10.570000,9.555000,9.700000,9.297714,2014000
2010-12-06,9.675000,10.500000,9.590000,10.165000,9.743430,764200
2010-12-13,10.165000,10.165000,9.475000,9.885000,9.475044,709800
2010-12-20,9.965000,10.495000,9.880000,10.200000,9.776979,639400
2010-12-27,10.225000,10.975000,10.020000,10.255000,9.829699,394800
