Date,Open,High,Low,Close,Adj Close,Volume
1996-11-18,4.375000,4.656250,4.218750,4.656250,3.117982,16753600
1996-11-25,4.531250,4.625000,4.250000,4.562500,3.055203,5978400
1996-12-02,4.562500,4.562500,4.187500,4.468750,2.992426,2712400
1996-12-09,4.375000,4.562500,4.375000,4.468750,2.992426,2924000
1996-12-16,4.406250,5.250000,4.343750,4.937500,3.306318,4237200
1996-12-23,4.937500,4.937500,4.687500,4.781250,3.201688,999600
1996-12-30,4.750000,4.937500,4.687500,4.875000,3.264465,704400
1997-01-06,4.906250,5.968750,4.843750,5.937500,3.975952,4626000
1997-01-13,5.875000,6.031250,5.625000,5.843750,3.913173,2102000
1997-01-20,5.875000,6.343750,5.187500,5.437500,3.641135,3160400
1997-01-27,5.500000,5.812500,5.406250,5.812500,3.892247,1715600
1997-02-03,5.781250,5.812500,5.437500,5.687500,3.808542,1278400
1997-02-10,5.687500,5.687500,4.984375,4.984375,3.337706,2296400
1997-02-17,5.000000,5.125000,4.875000,5.000000,3.348169,2500400
1997-02-24,5.125000,5.125000,4.906250,5.000000,3.348169,1389200
1997-03-03,5.062500,5.062500,4.750000,4.843750,3.243539,1293600
1997-03-10,4.875000,4.937500,4.687500,4.734375,3.170298,1484400
1997-03-17,4.812500,4.812500,4.562500,4.656250,3.117982,1005200
1997-03-24,4.656250,4.656250,4.343750,4.406250,2.950575,2753600
1997-03-31,4.468750,4.468750,4.125000,4.375000,2.929649,4368400
1997-04-07,4.375000,5.218750,4.281250,4.968750,3.327243,2546400
1997-04-14,5.000000,5.000000,4.468750,4.593750,3.076131,1110800
1997-04-21,4.656250,4.812500,4.562500,4.718750,3.159836,729200
1997-04-28,4.687500,5.093750,4.625000,5.000000,3.348169,1177200
1997-05-05,5.187500,6.000000,5.093750,5.968750,3.996877,2042000
1997-05-12,5.843750,6.000000,4.812500,5.062500,3.390022,1457600
1997-05-19,5.031250,5.718750,5.031250,5.656250,3.787616,1869600
1997-05-26,5.750000,5.750000,5.500000,5.625000,3.766690,1338800
1997-06-02,5.656250,5.781250,5.562500,5.781250,3.871320,1390400
1997-06-09,5.781250,6.000000,5.593750,5.812500,3.892247,1888800
1997-06-16,5.750000,5.812500,5.250000,5.687500,3.808542,2123600
1997-06-23,5.781250,6.375000,5.625000,6.312500,4.227064,1533600
1997-06-30,6.375000,6.593750,5.937500,6.406250,4.289842,2734800
1997-07-07,6.375000,7.187500,6.187500,6.968750,4.666512,4643600
1997-07-14,6.843750,6.968750,6.312500,6.437500,4.310767,1476000
1997-07-21,6.437500,6.578125,6.187500,6.406250,4.289842,1316000
1997-07-28,6.375000,6.625000,6.250000,6.437500,4.310767,1326000
1997-08-04,6.437500,6.625000,5.812500,6.625000,4.436325,2066000
1997-08-11,6.625000,6.656250,6.218750,6.250000,4.185212,17308000
1997-08-18,6.187500,6.390625,5.875000,6.093750,4.080581,4298800
1997-08-25,6.156250,6.312500,6.062500,6.312500,4.227064,2622000
1997-09-01,6.250000,7.000000,6.250000,6.750000,4.520030,4117200
1997-09-08,6.781250,7.093750,6.765625,6.953125,4.656048,2745600
1997-09-15,6.968750,7.031250,6.156250,6.750000,4.520030,3140400
1997-09-22,6.750000,6.781250,6.312500,6.406250,4.289842,5103600
1997-09-29,6.312500,6.375000,5.437500,5.656250,3.787616,17094000
1997-10-06,5.687500,5.875000,5.156250,5.781250,3.871320,11075600
1997-10-13,5.937500,6.062500,5.312500,5.468750,3.662061,4206400
1997-10-20,5.562500,5.812500,5.406250,5.406250,3.620208,4711600
1997-10-27,5.468750,5.531250,4.750000,5.312500,3.557430,10251600
1997-11-03,5.312500,5.406250,5.125000,5.156250,3.452800,2864400
1997-11-10,5.375000,5.437500,4.812500,4.843750,3.243539,2517200
1997-11-17,4.781250,4.937500,4.781250,4.828125,3.233077,5958800
1997-11-24,4.812500,4.937500,4.500000,4.625000,3.097056,1626000
1997-12-01,4.750000,4.750000,4.156250,4.625000,3.097056,10016000
1997-12-08,4.656250,4.828125,4.156250,4.250000,2.845944,4265200
1997-12-15,4.281250,4.281250,4.000000,4.000000,2.678536,9033600
1997-12-22,4.000000,4.031250,3.937500,3.937500,2.636683,4833600
1997-12-29,4.000000,4.187500,3.937500,4.109375,2.751776,8264000
1998-01-05,4.125000,4.750000,4.000000,4.359375,2.919185,4749600
1998-01-12,4.312500,4.843750,4.187500,4.562500,3.055203,2374800
1998-01-19,4.625000,4.750000,4.500000,4.593750,3.076131,1642000
1998-01-26,4.562500,5.125000,4.437500,5.000000,3.348169,4501200
1998-02-02,5.031250,5.031250,4.765625,4.906250,3.285391,3123200
1998-02-09,4.875000,4.968750,4.750000,4.812500,3.222614,2858000
1998-02-16,4.781250,4.812500,4.625000,4.703125,3.149372,2209600
1998-02-23,4.687500,4.781250,4.625000,4.750000,3.180760,2325200
1998-03-02,4.765625,4.812500,4.703125,4.781250,3.201688,2134400
1998-03-09,4.750000,4.750000,4.468750,4.515625,3.023815,3491600
1998-03-16,4.515625,5.218750,4.500000,4.968750,3.327243,11046400
1998-03-23,5.000000,5.375000,4.859375,5.343750,3.578355,3849200
1998-03-30,5.343750,5.687500,5.054675,5.687500,3.808542,4813200
1998-04-06,5.687500,5.750000,5.234375,5.234375,3.505115,2306000
1998-04-13,5.343750,5.937500,5.218750,5.625000,3.766690,5797600
1998-04-20,5.625000,5.812500,5.625000,5.640625,3.777153,5588000
1998-04-27,5.625000,5.750000,5.562500,5.656250,3.787616,2233200
1998-05-04,5.640625,5.750000,5.625000,5.718750,3.829469,2867200
1998-05-11,5.718750,5.750000,5.375000,5.437500,3.641135,1995600
