Date,Open,High,Low,Close,Adj Close,Volume
2018-04-16,14.750000,14.750000,13.000000,13.810000,13.810000,4910000
2018-04-23,13.500000,14.410000,12.080000,14.290000,14.290000,2422100
2018-04-30,14.400000,15.190000,13.780000,13.890000,13.890000,1207300
2018-05-07,14.360000,14.950000,13.551000,14.050000,14.050000,838900
2018-05-14,14.020000,14.490000,13.060000,14.290000,14.290000,890600
2018-05-21,14.130000,15.170000,14.040000,14.820000,14.820000,666600
2018-05-28,14.710000,14.960000,13.270000,13.550000,13.550000,389200
2018-06-04,13.750000,14.780000,12.500000,14.510000,14.510000,844400
2018-06-11,14.460000,14.770000,13.760000,14.270000,14.270000,584000
2018-06-18,14.610000,17.000000,14.030000,16.160000,16.160000,3380800
2018-06-25,15.870000,18.180000,15.150000,16.309999,16.309999,1385900
2018-07-02,16.250000,17.215000,16.250000,17.010000,17.010000,1211900
2018-07-09,17.200001,17.950001,15.760000,16.190001,16.190001,1745200
2018-07-16,16.379999,16.379999,12.920000,13.150000,13.150000,653100
2018-07-23,13.090000,14.160000,10.460000,11.130000,11.130000,1018000
2018-07-30,11.200000,11.930000,10.560000,10.720000,10.720000,708300
2018-08-06,10.710000,11.465000,10.110000,10.390000,10.390000,449300
2018-08-13,10.390000,10.655000,9.608000,9.750000,9.750000,91100
