Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.275556,2.382222,2.240000,2.382222,1.207842,36900
1980-03-24,2.346667,2.346667,1.920000,2.275556,1.153759,49600
1980-03-31,2.275556,2.311111,2.204444,2.275556,1.153759,17100
1980-04-07,2.275556,2.560000,2.168889,2.560000,1.297979,54300
1980-04-14,2.560000,2.595556,2.417778,2.524444,1.279952,43900
1980-04-21,2.524444,2.560000,2.417778,2.560000,1.297979,25400
1980-04-28,2.560000,2.560000,2.453333,2.524444,1.279952,16000
1980-05-05,2.488889,2.524444,2.453333,2.524444,1.279952,7900
1980-05-12,2.524444,2.524444,2.453333,2.488889,1.261924,23700
1980-05-19,2.524444,2.524444,2.453333,2.524444,1.279952,18400
1980-05-26,2.524444,2.595556,2.453333,2.560000,1.297979,21000
1980-06-02,2.524444,2.524444,2.488889,2.488889,1.261924,12000
1980-06-09,2.488889,2.560000,2.453333,2.453333,1.243897,16300
1980-06-16,2.417778,2.488889,2.311111,2.453333,1.243897,28300
1980-06-23,2.453333,2.560000,2.346667,2.417778,1.225869,21200
1980-06-30,2.417778,2.453333,2.346667,2.417778,1.225869,7600
1980-07-07,2.417778,2.417778,2.275556,2.417778,1.225869,22800
1980-07-14,2.417778,2.488889,2.417778,2.417778,1.225869,16300
1980-07-21,2.417778,2.453333,2.382222,2.382222,1.207842,15400
1980-07-28,2.382222,2.382222,2.311111,2.382222,1.207842,19400
1980-08-04,2.382222,2.631111,2.346667,2.560000,1.297979,54800
1980-08-11,2.560000,2.560000,2.453333,2.560000,1.297979,23700
1980-08-18,2.524444,2.524444,2.453333,2.524444,1.279952,11900
1980-08-25,2.524444,2.524444,2.453333,2.453333,1.243897,24900
1980-09-01,2.453333,2.560000,2.417778,2.560000,1.297979,31000
1980-09-08,2.560000,3.022222,2.560000,3.022222,1.532336,133800
1980-09-15,3.022222,3.200000,2.986667,3.200000,1.622474,125100
1980-09-22,3.200000,3.200000,2.773333,2.773333,1.406144,39500
1980-09-29,2.773333,2.808889,2.666667,2.737778,1.388116,18400
1980-10-06,2.773333,2.986667,2.773333,2.986667,1.514309,17900
1980-10-13,2.986667,3.093333,2.844445,2.880000,1.460227,25600
1980-10-20,2.773333,2.808889,2.702222,2.737778,1.388116,22100
1980-10-27,2.737778,2.773333,2.631111,2.666667,1.352062,6900
1980-11-03,2.595556,2.631111,2.453333,2.488889,1.261924,42000
1980-11-10,2.560000,2.631111,2.453333,2.453333,1.243897,29300
1980-11-17,2.488889,2.702222,2.453333,2.702222,1.370089,28200
1980-11-24,2.666667,2.666667,2.524444,2.524444,1.279952,27700
1980-12-01,2.488889,2.488889,2.311111,2.346667,1.189814,20500
1980-12-08,2.346667,2.382222,2.062222,2.133333,1.081650,20000
1980-12-15,2.133333,2.240000,2.097778,2.240000,1.135732,11700
1980-12-22,2.204444,2.240000,2.168889,2.240000,1.135732,10400
1980-12-29,2.240000,2.311111,2.204444,2.275556,1.153759,25400
1981-01-05,2.275556,2.453333,2.204444,2.311111,1.171787,33800
1981-01-12,2.311111,2.382222,2.275556,2.311111,1.171787,20900
1981-01-19,2.311111,2.488889,2.240000,2.488889,1.261924,48400
1981-01-26,2.488889,2.844445,2.488889,2.844445,1.442199,47300
1981-02-02,2.844445,2.844445,2.533333,2.622222,1.329527,22900
1981-02-09,2.622222,2.755556,2.533333,2.533333,1.284459,10300
1981-02-16,2.533333,2.577778,2.355556,2.488889,1.261924,30700
1981-02-23,2.488889,2.577778,2.400000,2.488889,1.261924,11100
1981-03-02,2.488889,2.533333,2.355556,2.355556,1.194321,20500
1981-03-09,2.355556,2.444444,2.177778,2.311111,1.171787,17400
1981-03-16,2.355556,2.533333,2.222222,2.488889,1.261924,30500
1981-03-23,2.488889,2.622222,2.488889,2.533333,1.284459,13000
1981-03-30,2.533333,2.577778,2.488889,2.577778,1.306993,14100
1981-04-06,2.533333,2.577778,2.488889,2.488889,1.261924,16200
1981-04-13,2.488889,2.622222,2.444444,2.444444,1.239390,20000
1981-04-20,2.400000,2.488889,2.400000,2.488889,1.261924,20300
1981-04-27,2.444444,2.444444,2.355556,2.355556,1.194321,18000
1981-05-04,2.355556,2.400000,2.266667,2.311111,1.171787,26000
1981-05-11,2.266667,2.266667,2.177778,2.222222,1.126718,11000
1981-05-18,2.222222,2.266667,2.177778,2.177778,1.104183,26000
1981-05-25,2.222222,2.222222,2.177778,2.222222,1.126718,19700
1981-06-01,2.222222,2.266667,2.222222,2.222222,1.126718,10300
1981-06-08,2.222222,2.577778,2.177778,2.444444,1.239390,42700
1981-06-15,2.444444,2.488889,2.355556,2.400000,1.216856,15900
1981-06-22,2.400000,2.488889,2.400000,2.400000,1.216856,22000
1981-06-29,2.444444,2.444444,2.222222,2.311111,1.171787,7300
1981-07-06,2.311111,2.311111,2.222222,2.266667,1.149252,5600
1981-07-13,2.222222,2.355556,2.222222,2.311111,1.171787,10100
1981-07-20,2.266667,2.444444,2.177778,2.400000,1.216856,32900
1981-07-27,2.400000,2.488889,2.266667,2.355556,1.194321,28500
1981-08-03,2.355556,2.444444,2.266667,2.444444,1.239390,10200
1981-08-10,2.488889,2.844445,2.488889,2.666667,1.352062,77300
1981-08-17,2.666667,2.711111,2.577778,2.577778,1.306993,7300
1981-08-24,2.533333,2.622222,2.400000,2.488889,1.261924,27500
1981-08-31,2.488889,2.488889,2.266667,2.266667,1.149252,19800
1981-09-07,2.177778,2.266667,2.044445,2.177778,1.104183,22900
1981-09-14,2.222222,2.266667,1.777778,1.866667,0.946443,69600
1981-09-21,1.866667,2.044445,1.822222,1.911111,0.968977,32600
1981-09-28,1.911111,2.177778,1.777778,2.177778,1.104183,32400
1981-10-05,2.177778,2.355556,2.133333,2.222222,1.126718,23900
1981-10-12,2.222222,2.400000,2.177778,2.355556,1.194321,11000
1981-10-19,2.355556,2.533333,2.266667,2.400000,1.216856,21800
1981-10-26,2.400000,2.577778,2.355556,2.577778,1.306993,10100
1981-11-02,2.577778,2.622222,2.400000,2.488889,1.261924,30300
1981-11-09,2.488889,2.666667,2.400000,2.666667,1.352062,25000
1981-11-16,2.577778,2.800000,2.488889,2.666667,1.352062,26900
1981-11-23,2.666667,3.022222,2.666667,2.977778,1.509802,45600
1981-11-30,2.977778,3.377778,2.977778,3.288889,1.667542,96400
1981-12-07,3.288889,3.288889,3.111111,3.200000,1.622474,37100
1981-12-14,3.155555,3.200000,3.022222,3.200000,1.622474,24200
1981-12-21,3.200000,3.200000,3.111111,3.200000,1.622474,16700
1981-12-28,3.200000,3.244444,3.111111,3.244444,1.645008,13400
1982-01-04,3.244444,3.244444,2.711111,2.844445,1.442199,33700
1982-01-11,2.800000,2.800000,2.711111,2.755556,1.397130,21900
1982-01-18,2.755556,2.977778,2.711111,2.977778,1.509802,14400
1982-01-25,2.977778,3.022222,2.755556,2.800000,1.419664,53600
1982-02-01,2.800000,2.800000,2.711111,2.755556,1.397130,34400
1982-02-08,2.711111,2.844445,2.622222,2.844445,1.442199,97700
1982-02-15,2.844445,3.111111,2.844445,3.111111,1.577405,23500
1982-02-22,3.166667,3.388889,3.111111,3.333333,1.690077,21400
1982-03-01,3.333333,3.333333,3.111111,3.111111,1.577405,11000
1982-03-08,3.055556,3.111111,2.833333,3.111111,1.577405,16700
1982-03-15,3.055556,3.055556,2.722222,3.055556,1.549237,33200
1982-03-22,3.055556,3.055556,2.777778,2.888889,1.464733,20100
1982-03-29,2.888889,2.888889,2.777778,2.777778,1.408397,8500
1982-04-05,2.722222,2.777778,2.611111,2.666667,1.352062,16700
1982-04-12,2.666667,2.777778,2.666667,2.666667,1.352062,1300
1982-04-19,2.611111,2.611111,2.500000,2.555556,1.295726,17300
1982-04-26,2.500000,2.666667,2.277778,2.666667,1.352062,36400
1982-05-03,2.666667,2.666667,2.555556,2.666667,1.352062,4700
1982-05-10,2.666667,2.666667,2.555556,2.555556,1.295726,5100
1982-05-17,2.555556,2.555556,2.166667,2.388889,1.211222,33000
1982-05-24,2.333333,2.611111,2.333333,2.611111,1.323894,16500
1982-05-31,2.500000,2.500000,2.333333,2.333333,1.183053,12500
1982-06-07,2.333333,2.444444,2.333333,2.388889,1.211222,7300
1982-06-14,2.388889,2.444444,2.388889,2.444444,1.239390,1000
1982-06-21,2.500000,2.500000,2.222222,2.333333,1.183053,23000
1982-06-28,2.333333,2.444444,2.111111,2.333333,1.183053,33500
1982-07-05,2.333333,2.388889,2.222222,2.277778,1.154886,18400
1982-07-12,2.277778,2.333333,2.166667,2.333333,1.183053,7500
1982-07-19,2.333333,2.388889,2.277778,2.333333,1.183053,6900
1982-07-26,2.277778,2.277778,2.111111,2.166667,1.098550,6600
1982-08-02,2.166667,2.222222,1.888889,2.111111,1.070382,59100
1982-08-09,2.000000,2.055556,1.666667,1.777778,0.901374,27000
1982-08-16,1.833333,2.166667,1.833333,2.111111,1.070382,8100
1982-08-23,2.166667,2.222222,2.000000,2.222222,1.126718,15300
1982-08-30,2.222222,2.222222,2.000000,2.166667,1.098550,15200
1982-09-06,2.166667,2.166667,2.000000,2.055556,1.042214,8200
1982-09-13,2.000000,2.111111,1.833333,2.111111,1.070382,19700
1982-09-20,2.111111,2.111111,1.833333,1.944444,0.985878,10300
1982-09-27,1.888889,1.944444,1.833333,1.944444,0.985878,6800
1982-10-04,1.944444,2.222222,1.833333,2.222222,1.126718,27200
1982-10-11,2.222222,2.277778,2.055556,2.166667,1.098550,24700
1982-10-18,2.111111,2.111111,1.833333,2.000000,1.014046,48300
1982-10-25,2.000000,2.000000,1.777778,1.833333,0.929542,30500
1982-11-01,1.833333,2.166667,1.722222,2.055556,1.042214,45300
1982-11-08,2.055556,2.222222,2.055556,2.222222,1.126718,26900
1982-11-15,2.222222,2.333333,2.111111,2.277778,1.154886,12400
1982-11-22,2.222222,2.611111,2.111111,2.611111,1.323894,33900
1982-11-29,2.555556,2.666667,2.500000,2.611111,1.323894,36700
1982-12-06,2.611111,2.611111,2.444444,2.555556,1.295726,22700
1982-12-13,2.500000,2.555556,2.333333,2.388889,1.211222,16300
1982-12-20,2.333333,2.333333,2.277778,2.277778,1.154886,9700
1982-12-27,2.277778,2.666667,2.277778,2.666667,1.352062,19000
1983-01-03,2.666667,2.666667,2.444444,2.666667,1.352062,29200
1983-01-10,2.666667,2.888889,2.611111,2.777778,1.408397,36500
1983-01-17,2.777778,3.000000,2.722222,2.944444,1.492901,49600
1983-01-24,2.888889,2.888889,2.555556,2.666667,1.352062,23100
1983-01-31,2.666667,2.666667,2.555556,2.611111,1.323894,14600
1983-02-07,2.666667,2.777778,2.611111,2.666667,1.352062,25800
1983-02-14,2.666667,2.833333,2.555556,2.611111,1.323894,37300
1983-02-21,2.611111,2.666667,2.611111,2.666667,1.352062,10000
1983-02-28,2.611111,2.666667,2.500000,2.666667,1.352062,28900
1983-03-07,2.611111,2.611111,2.388889,2.555556,1.295726,58900
1983-03-14,2.555556,2.611111,2.444444,2.555556,1.295726,19400
1983-03-21,2.555556,3.166667,2.444444,3.055556,1.549237,193200
1983-03-28,3.055556,3.055556,2.777778,2.833333,1.436565,22300
1983-04-04,2.833333,2.944444,2.555556,2.944444,1.492901,33900
1983-04-11,2.944444,3.000000,2.722222,2.833333,1.436565,27500
1983-04-18,2.833333,3.166667,2.722222,3.166667,1.605573,60800
1983-04-25,3.166667,3.166667,2.888889,3.000000,1.521069,37100
1983-05-02,3.000000,3.333333,2.944444,3.222222,1.633741,76700
1983-05-09,3.222222,3.333333,3.111111,3.222222,1.633741,32800
1983-05-16,3.222222,3.444444,3.111111,3.277778,1.661909,78700
1983-05-23,3.277778,3.611111,3.111111,3.555556,1.802749,74700
1983-05-30,3.555556,3.944444,3.444444,3.944444,1.999924,68900
1983-06-06,3.944444,4.111111,3.777778,3.888889,1.971757,49000
1983-06-13,3.888889,4.000000,3.722222,4.000000,2.028092,40300
1983-06-20,3.944444,3.944444,3.611111,3.611111,1.830917,40000
1983-06-27,3.611111,3.722222,3.111111,3.444444,1.746413,52300
1983-07-04,3.444444,3.555556,3.277778,3.388889,1.718245,25700
1983-07-11,3.444444,3.500000,3.111111,3.277778,1.661909,42800
1983-07-18,3.222222,3.555556,2.944444,3.500000,1.774581,48500
1983-07-25,3.500000,3.888889,3.222222,3.277778,1.661909,42200
1983-08-01,3.277778,3.333333,3.166667,3.277778,1.661909,19700
1983-08-08,3.277778,3.277778,2.722222,3.111111,1.577405,48700
1983-08-15,3.055556,3.166667,2.944444,3.055556,1.549237,20000
1983-08-22,3.055556,3.111111,2.944444,3.055556,1.549237,23800
1983-08-29,3.055556,3.333333,3.055556,3.333333,1.690077,20200
1983-09-05,3.333333,3.333333,3.055556,3.111111,1.577405,6300
1983-09-12,3.111111,3.111111,2.888889,2.944444,1.492901,9200
1983-09-19,2.944444,3.111111,2.944444,3.111111,1.577405,21300
1983-09-26,3.111111,3.166667,2.944444,3.111111,1.577405,35300
1983-10-03,3.055556,3.055556,2.833333,3.055556,1.549237,26500
1983-10-10,3.000000,3.000000,2.722222,2.944444,1.492901,30900
1983-10-17,2.944444,3.000000,2.722222,2.888889,1.464733,11700
1983-10-24,2.833333,3.166667,2.722222,3.166667,1.605573,43600
1983-10-31,3.166667,3.444444,2.944444,3.055556,1.549237,46100
1983-11-07,3.055556,3.222222,3.000000,3.111111,1.577405,10700
1983-11-14,3.000000,3.166667,2.944444,3.055556,1.549237,22800
1983-11-21,3.000000,3.111111,3.000000,3.111111,1.577405,13000
1983-11-28,3.111111,3.333333,2.833333,3.111111,1.577405,39400
1983-12-05,3.111111,3.333333,3.055556,3.111111,1.577405,37700
1983-12-12,3.055556,3.277778,3.055556,3.166667,1.605573,19600
1983-12-19,3.222222,3.555556,3.222222,3.555556,1.802749,36200
1983-12-26,3.500000,3.611111,3.277778,3.611111,1.830917,26600
1984-01-02,3.611111,4.277778,3.500000,3.888889,1.971757,132600
1984-01-09,3.888889,3.888889,3.666667,3.722222,1.887252,28700
1984-01-16,3.722222,4.000000,3.722222,3.944444,1.999924,34800
1984-01-23,3.888889,3.888889,3.666667,3.666667,1.859084,18500
1984-01-30,3.666667,3.666667,3.388889,3.555556,1.802749,23800
1984-02-06,3.277778,3.333333,3.111111,3.277778,1.661909,19700
1984-02-13,3.277778,3.444444,3.222222,3.388889,1.718245,8800
1984-02-20,3.444444,3.555556,3.333333,3.333333,1.690077,20300
1984-02-27,3.388889,3.611111,3.333333,3.555556,1.802749,23000
1984-03-05,3.500000,3.500000,3.222222,3.277778,1.661909,12300
1984-03-12,3.333333,3.611111,3.333333,3.555556,1.802749,19700
1984-03-19,3.555556,3.555556,3.333333,3.555556,1.802749,17900
1984-03-26,3.555556,3.666667,3.333333,3.388889,1.718245,30600
1984-04-02,3.444444,3.444444,3.222222,3.277778,1.661909,9400
1984-04-09,3.222222,3.500000,3.111111,3.500000,1.774581,26000
1984-04-16,3.500000,3.833333,3.444444,3.833333,1.943588,45800
1984-04-23,3.833333,3.833333,3.500000,3.555556,1.802749,32800
1984-04-30,3.555556,3.555556,3.444444,3.555556,1.802749,12300
1984-05-07,3.555556,3.611111,3.444444,3.500000,1.774581,14600
1984-05-14,3.500000,3.611111,3.444444,3.500000,1.774581,5400
1984-05-21,3.500000,3.500000,3.388889,3.444444,1.746413,15200
1984-05-28,3.333333,3.388889,3.333333,3.388889,1.718245,19900
1984-06-04,3.388889,3.555556,3.333333,3.555556,1.802749,27200
1984-06-11,3.555556,3.666667,3.444444,3.555556,1.802749,38300
1984-06-18,3.555556,3.555556,3.444444,3.555556,1.802749,18900
1984-06-25,3.500000,3.500000,3.333333,3.444444,1.746413,10500
1984-07-02,3.444444,3.500000,3.388889,3.500000,1.774581,7600
1984-07-09,3.444444,3.555556,3.333333,3.555556,1.802749,23600
1984-07-16,3.500000,3.500000,3.333333,3.500000,1.774581,30600
1984-07-23,3.388889,3.388889,3.277778,3.333333,1.690077,15200
1984-07-30,3.333333,3.388889,3.277778,3.333333,1.690077,19100
1984-08-06,3.333333,3.388889,3.166667,3.222222,1.633741,50700
1984-08-13,3.166667,3.222222,3.055556,3.111111,1.577405,39300
1984-08-20,3.055556,3.111111,3.000000,3.111111,1.577405,29800
1984-08-27,3.111111,3.111111,2.944444,3.055556,1.549237,31500
1984-09-03,3.055556,3.166667,2.944444,3.111111,1.577405,35000
1984-09-10,3.055556,3.055556,2.888889,2.944444,1.492901,12400
1984-09-17,2.944444,3.333333,2.888889,3.166667,1.605573,49500
1984-09-24,3.111111,3.166667,2.888889,3.111111,1.577405,32000
1984-10-01,3.111111,3.111111,2.833333,3.111111,1.577405,40100
1984-10-08,3.055556,3.111111,3.000000,3.055556,1.549237,24000
