Date,Open,High,Low,Close,Adj Close,Volume
1992-03-16,4.187500,4.250000,4.125000,4.250000,4.093784,10000
1992-03-23,4.250000,4.250000,3.750000,3.750000,3.612163,43400
1992-03-30,3.750000,3.937500,3.500000,3.500000,3.371351,31000
1992-04-06,3.562500,3.562500,3.500000,3.500000,3.371351,13800
1992-04-13,3.500000,3.500000,3.437500,3.437500,3.311149,18400
1992-04-20,3.437500,3.437500,3.312500,3.375000,3.250946,14600
1992-04-27,3.312500,3.312500,3.187500,3.250000,3.130541,40000
1992-05-04,3.250000,3.250000,3.187500,3.250000,3.130541,14800
1992-05-11,3.312500,3.437500,3.250000,3.250000,3.164621,13200
1992-05-18,3.250000,3.250000,3.000000,3.062500,2.982047,32000
1992-05-25,3.062500,3.062500,3.000000,3.000000,2.921189,15000
1992-06-01,3.062500,3.250000,3.000000,3.000000,2.921189,38200
1992-06-08,3.000000,3.000000,2.875000,2.937500,2.860331,27000
1992-06-15,2.875000,2.937500,2.562500,2.625000,2.556040,126200
1992-06-22,2.625000,2.875000,2.625000,2.812500,2.738615,34200
1992-06-29,2.812500,2.812500,2.625000,2.812500,2.738615,29400
1992-07-06,2.750000,2.937500,2.750000,2.875000,2.799473,23600
1992-07-13,2.875000,3.187500,2.875000,3.125000,3.042905,45800
1992-07-20,3.125000,3.125000,3.000000,3.000000,2.921189,9800
1992-07-27,3.000000,3.000000,2.750000,2.875000,2.799473,30600
1992-08-03,2.812500,2.937500,2.750000,2.750000,2.677757,21000
1992-08-10,2.750000,2.812500,2.687500,2.687500,2.616899,26600
1992-08-17,2.750000,2.812500,2.625000,2.687500,2.650634,81400
1992-08-24,2.687500,3.000000,2.625000,3.000000,2.958847,46000
1992-08-31,3.062500,3.250000,3.000000,3.000000,2.958847,28600
1992-09-07,3.000000,3.000000,2.937500,2.937500,2.897204,4200
1992-09-14,2.937500,2.937500,2.875000,2.875000,2.835562,7000
1992-09-21,2.937500,2.937500,2.687500,2.750000,2.712276,18800
1992-09-28,2.812500,3.187500,2.812500,2.875000,2.835562,106800
1992-10-05,2.750000,2.812500,2.625000,2.687500,2.650634,10200
1992-10-12,2.625000,2.937500,2.625000,2.812500,2.773919,46000
1992-10-19,2.875000,2.937500,2.812500,2.812500,2.773919,8000
1992-10-26,2.875000,2.875000,2.687500,2.687500,2.650634,61000
1992-11-02,2.750000,3.125000,2.750000,3.000000,2.958847,38400
1992-11-09,2.937500,3.125000,2.812500,2.875000,2.855000,24600
1992-11-16,2.937500,3.062500,2.937500,3.062500,3.041196,33400
1992-11-23,3.000000,3.375000,3.000000,3.250000,3.227391,77200
1992-11-30,3.312500,3.312500,3.125000,3.125000,3.103261,20600
1992-12-07,3.187500,3.187500,2.687500,2.687500,2.668804,53800
1992-12-14,2.687500,2.812500,2.625000,2.625000,2.606739,61000
1992-12-21,2.625000,2.812500,2.625000,2.687500,2.668804,20400
1992-12-28,2.687500,2.687500,2.562500,2.625000,2.606739,70800
1993-01-04,2.625000,2.937500,2.562500,2.812500,2.792935,72600
1993-01-11,2.937500,3.125000,2.812500,2.875000,2.855000,59000
1993-01-18,2.937500,2.937500,2.812500,2.937500,2.917065,130400
1993-01-25,2.937500,2.937500,2.750000,2.875000,2.855000,23000
1993-02-01,2.812500,2.875000,2.750000,2.750000,2.730870,38000
1993-02-08,2.750000,2.937500,2.750000,2.875000,2.875000,27000
1993-02-15,2.875000,2.875000,2.562500,2.625000,2.625000,43400
1993-02-22,2.625000,2.625000,2.500000,2.500000,2.500000,14400
1993-03-01,2.500000,2.750000,2.500000,2.687500,2.687500,13800
1993-03-08,2.625000,2.812500,2.625000,2.812500,2.812500,15000
1993-03-15,2.875000,2.875000,2.750000,2.750000,2.750000,9400
1993-03-22,2.812500,2.812500,2.750000,2.750000,2.750000,9000
1993-03-29,2.750000,2.812500,2.750000,2.750000,2.750000,12200
1993-04-05,2.687500,2.687500,2.562500,2.562500,2.562500,33800
1993-04-12,2.625000,2.625000,2.437500,2.500000,2.500000,24400
1993-04-19,2.500000,2.500000,2.312500,2.312500,2.312500,20800
1993-04-26,2.312500,2.500000,2.250000,2.312500,2.312500,14200
1993-05-03,2.312500,2.312500,2.125000,2.187500,2.187500,37200
1993-05-10,2.187500,2.250000,1.687500,1.750000,1.750000,125800
1993-05-17,1.750000,2.125000,1.750000,2.125000,2.125000,73200
1993-05-24,2.062500,2.250000,2.000000,2.250000,2.250000,106600
1993-05-31,2.187500,2.250000,2.187500,2.250000,2.250000,29000
1993-06-07,2.312500,2.312500,2.250000,2.312500,2.312500,5600
1993-06-14,2.187500,2.375000,2.187500,2.375000,2.375000,33200
1993-06-21,2.375000,2.375000,2.187500,2.250000,2.250000,42000
1993-06-28,2.312500,2.500000,2.312500,2.437500,2.437500,214000
1993-07-05,2.437500,2.500000,2.375000,2.375000,2.375000,9400
1993-07-12,2.375000,2.437500,2.187500,2.187500,2.187500,15000
1993-07-19,2.250000,2.250000,2.187500,2.250000,2.250000,2400
1993-07-26,2.312500,2.312500,2.250000,2.312500,2.312500,67600
1993-08-02,2.312500,2.375000,2.250000,2.312500,2.312500,21400
1993-08-09,2.312500,2.375000,2.250000,2.312500,2.312500,20000
1993-08-16,2.375000,2.500000,2.312500,2.375000,2.375000,16000
1993-08-23,2.187500,2.312500,2.187500,2.250000,2.250000,15200
1993-08-30,2.312500,2.437500,2.250000,2.375000,2.375000,223400
1993-09-06,2.437500,2.500000,2.437500,2.437500,2.437500,8000
1993-09-13,2.375000,2.375000,2.250000,2.312500,2.312500,19000
1993-09-20,2.250000,2.312500,2.187500,2.187500,2.187500,40400
