Date,Open,High,Low,Close,Adj Close,Volume
1994-02-14,0.437500,1.437500,0.437500,1.421875,1.249876,39918400
1994-02-21,1.406250,1.437500,1.312500,1.359375,1.194936,18950400
1994-02-28,1.343750,1.484375,1.312500,1.484375,1.304816,6728000
1994-03-07,1.484375,1.531250,1.437500,1.484375,1.304816,8188800
1994-03-14,1.484375,1.515625,1.390625,1.484375,1.304816,3848000
1994-03-21,1.484375,1.578125,1.484375,1.484375,1.304816,4849600
1994-03-28,1.484375,1.531250,1.359375,1.437500,1.263611,3153600
1994-04-04,1.421875,1.468750,1.375000,1.421875,1.249876,3320000
1994-04-11,1.437500,1.468750,1.406250,1.453125,1.277346,688000
1994-04-18,1.453125,1.500000,1.375000,1.421875,1.249876,1153600
1994-04-25,1.421875,1.515625,1.359375,1.515625,1.332286,4308800
1994-05-02,1.515625,1.515625,1.453125,1.476563,1.297948,6020800
1994-05-09,1.453125,1.484375,1.390625,1.437500,1.263611,2600000
1994-05-16,1.437500,1.484375,1.421875,1.453125,1.277346,1723200
1994-05-23,1.421875,1.484375,1.421875,1.453125,1.277346,544000
1994-05-30,1.460938,1.578125,1.437500,1.562500,1.373490,1736000
1994-06-06,1.581050,1.632813,1.515625,1.515625,1.332286,2784000
1994-06-13,1.562500,1.578125,1.531250,1.562500,1.373490,502400
1994-06-20,1.515625,1.546875,1.500000,1.515625,1.332286,878400
1994-06-27,1.539063,1.609375,1.515625,1.578125,1.387225,532800
1994-07-04,1.562500,1.625000,1.531250,1.578125,1.387225,2561600
1994-07-11,1.578125,1.703125,1.578125,1.664063,1.462767,1435200
1994-07-18,1.703125,1.781250,1.656250,1.687500,1.483370,3000000
1994-07-25,1.656250,1.718750,1.640625,1.671875,1.469635,1793600
1994-08-01,1.656250,1.687500,1.562500,1.562500,1.373490,854400
1994-08-08,1.593750,1.625000,1.562500,1.625000,1.428430,134400
1994-08-15,1.625000,1.656250,1.562500,1.578125,1.387225,336000
1994-08-22,1.585938,1.640625,1.546875,1.632813,1.435298,2238400
1994-08-29,1.671875,1.718750,1.625000,1.671875,1.469635,4419200
1994-09-05,1.656250,1.718750,1.656250,1.656250,1.455900,1137600
1994-09-12,1.695313,1.718750,1.640625,1.671875,1.469635,6220800
1994-09-19,1.687500,1.703125,1.640625,1.656250,1.455900,2652800
1994-09-26,1.703125,1.750000,1.656250,1.746094,1.534876,1545600
1994-10-03,1.718750,1.765625,1.640625,1.656250,1.455900,1100800
1994-10-10,1.687500,1.703125,1.640625,1.640625,1.442165,3158400
1994-10-17,1.640625,1.703125,1.593750,1.593750,1.400961,2299200
1994-10-24,1.640625,1.648438,1.484375,1.632813,1.435298,6196800
1994-10-31,1.656250,1.656250,1.562500,1.562500,1.373490,1371200
1994-11-07,1.609375,1.609375,1.500000,1.500000,1.318551,2614400
1994-11-14,1.531250,1.562500,1.500000,1.500000,1.318551,6478400
1994-11-21,1.515625,1.531250,1.468750,1.492188,1.311683,2947200
1994-11-28,1.492188,1.515625,1.453125,1.468750,1.291081,763200
1994-12-05,1.507813,1.515625,1.343750,1.398438,1.229274,764800
1994-12-12,1.343750,1.398438,1.218750,1.234375,1.085057,6550400
1994-12-19,1.265625,1.265625,1.187500,1.218750,1.071322,8459200
1994-12-26,1.265625,1.312500,1.234375,1.312500,1.153732,6264000
1995-01-02,1.312500,1.406250,1.265625,1.390625,1.222407,1396800
1995-01-09,1.421875,1.515625,1.390625,1.500000,1.318551,1777600
1995-01-16,1.468750,1.515625,1.468750,1.515625,1.332286,139200
1995-01-23,1.468750,1.484375,1.359375,1.359375,1.194936,771200
1995-01-30,1.359375,1.453125,1.359375,1.406250,1.236141,10990400
1995-02-06,1.453125,1.453125,1.406250,1.453125,1.277346,3385600
1995-02-13,1.406250,1.453125,1.406250,1.406250,1.236141,240000
1995-02-20,1.406250,1.437500,1.406250,1.406250,1.236141,1753600
1995-02-27,1.453125,1.453125,1.406250,1.406250,1.236141,316800
1995-03-06,1.429688,1.429688,1.375000,1.375000,1.208671,360000
1995-03-13,1.390625,1.421875,1.359375,1.359375,1.194936,1088000
1995-03-20,1.390625,1.390625,1.343750,1.375000,1.208671,518400
1995-03-27,1.343750,1.375000,1.281250,1.328125,1.167467,649600
1995-04-03,1.281250,1.359375,1.281250,1.281250,1.126262,1300800
1995-04-10,1.281250,1.328125,1.281250,1.296875,1.139997,1755200
1995-04-17,1.343750,1.343750,1.296875,1.296875,1.139997,886400
1995-04-24,1.328125,1.359375,1.296875,1.328125,1.167467,2014400
1995-05-01,1.328125,1.351563,1.328125,1.351563,1.188069,920000
1995-05-08,1.347656,1.390625,1.343750,1.351563,1.188069,3686400
1995-05-15,1.375000,1.375000,1.328125,1.375000,1.208671,84800
1995-05-22,1.343750,1.351563,1.222656,1.234375,1.085057,4777600
1995-05-29,1.226563,1.265625,1.187500,1.187500,1.043853,1540800
1995-06-05,1.195313,1.218750,1.140625,1.156250,1.016383,2011200
1995-06-12,1.187500,1.218750,1.156250,1.218750,1.071322,672000
1995-06-19,1.218750,1.234375,1.171875,1.187500,1.043853,2470400
1995-06-26,1.187500,1.226563,1.171875,1.203125,1.057588,3273600
1995-07-03,1.203125,1.250000,1.203125,1.203125,1.057588,40000
1995-07-10,1.234375,1.250000,1.203125,1.250000,1.098793,2054400
1995-07-17,1.203125,1.250000,1.203125,1.203125,1.057588,464000
1995-07-24,1.218750,1.531250,1.203125,1.468750,1.291081,3203200
1995-07-31,1.515625,1.515625,1.421875,1.425781,1.253310,6692800
1995-08-07,1.421875,1.468750,1.421875,1.453125,1.277346,120000
1995-08-14,1.406250,1.468750,1.406250,1.453125,1.277346,6376000
1995-08-21,1.406250,1.468750,1.406250,1.406250,1.236141,150400
1995-08-28,1.468750,1.468750,1.406250,1.406250,1.236141,2019200
1995-09-04,1.437500,1.468750,1.406250,1.437500,1.263611,635200
1995-09-11,1.421875,1.453125,1.406250,1.406250,1.236141,382400
1995-09-18,1.406250,1.437500,1.281250,1.281250,1.126262,768000
1995-09-25,1.281250,1.289063,1.187500,1.250000,1.098793,344000
1995-10-02,1.234375,1.250000,1.156250,1.156250,1.016383,1524800
1995-10-09,1.195313,1.195313,1.125000,1.171875,1.030118,156800
1995-10-16,1.140625,1.171875,1.085938,1.171875,1.030118,948800
1995-10-23,1.148438,1.171875,1.039063,1.085938,0.954576,1086400
1995-10-30,1.070313,1.093750,0.914063,0.984375,0.865299,9732800
1995-11-06,1.046875,1.046875,0.984375,1.046875,0.920239,4174400
1995-11-13,1.046875,1.218750,1.023438,1.171875,1.030118,1340800
1995-11-20,1.183594,1.234375,1.183594,1.218750,1.071322,3827200
1995-11-27,1.218750,1.250000,1.203125,1.250000,1.098793,3608000
1995-12-04,1.250000,1.250000,1.203125,1.218750,1.071322,2243200
1995-12-11,1.218750,1.281250,1.218750,1.265625,1.112527,1260800
1995-12-18,1.234375,1.281250,1.234375,1.234375,1.085057,296000
1995-12-25,1.234375,1.281250,1.234375,1.234375,1.085057,254400
1996-01-01,1.281250,1.296875,1.250000,1.273438,1.119395,2353600
1996-01-08,1.234375,1.312500,1.234375,1.312500,1.153732,198400
1996-01-15,1.296875,1.328125,1.265625,1.328125,1.167467,790400
1996-01-22,1.281250,1.343750,1.281250,1.328125,1.167467,536000
1996-01-29,1.343750,1.437500,1.312500,1.437500,1.263611,644800
1996-02-05,1.468750,1.515625,1.421875,1.515625,1.332286,8009600
1996-02-12,1.468750,1.546875,1.468750,1.546875,1.359756,6264000
1996-02-19,1.523438,1.546875,1.500000,1.523438,1.339153,4225600
1996-02-26,1.523438,1.546875,1.500000,1.500000,1.318551,2846400
1996-03-04,1.546875,1.625000,1.500000,1.562500,1.373490,1656000
1996-03-11,1.562500,1.640625,1.562500,1.640625,1.442165,835200
1996-03-18,1.640625,1.718750,1.593750,1.718750,1.510840,3203200
1996-03-25,1.687500,1.718750,1.656250,1.656250,1.455900,2683200
1996-04-01,1.656250,1.703125,1.468750,1.500000,1.318551,2596800
1996-04-08,1.500000,1.546875,1.500000,1.500000,1.318551,1368000
1996-04-15,1.500000,1.546875,1.500000,1.500000,1.318551,944000
1996-04-22,1.546875,1.593750,1.500000,1.500000,1.318551,6166400
1996-04-29,1.484375,1.500000,1.375000,1.406250,1.236141,1851200
1996-05-06,1.375000,1.515625,1.375000,1.515625,1.332286,5640000
1996-05-13,1.468750,1.531250,1.468750,1.523438,1.339153,3196800
1996-05-20,1.515625,1.562500,1.500000,1.500000,1.318551,2880000
1996-05-27,1.562500,1.562500,1.500000,1.546875,1.359756,259200
1996-06-03,1.546875,1.640625,1.531250,1.578125,1.387225,2494400
1996-06-10,1.546875,1.593750,1.546875,1.593750,1.400961,587200
1996-06-17,1.593750,1.593750,1.468750,1.468750,1.291081,4097600
1996-06-24,1.476563,1.500000,1.421875,1.421875,1.249876,1787200
1996-07-01,1.468750,1.468750,1.421875,1.421875,1.249876,2129600
1996-07-08,1.421875,1.468750,1.421875,1.421875,1.249876,120000
1996-07-15,1.421875,1.468750,1.343750,1.343750,1.181202,379200
1996-07-22,1.343750,1.359375,1.312500,1.359375,1.194936,1664000
1996-07-29,1.359375,1.359375,1.296875,1.296875,1.139997,494400
1996-08-05,1.359375,1.359375,1.296875,1.359375,1.194936,2515200
1996-08-12,1.351563,1.390625,1.296875,1.390625,1.222407,1880000
1996-08-19,1.390625,1.437500,1.343750,1.437500,1.263611,894400
1996-08-26,1.406250,1.437500,1.390625,1.437500,1.263611,188800
1996-09-02,1.421875,1.437500,1.367188,1.390625,1.222407,10060800
1996-09-09,1.390625,1.437500,1.390625,1.390625,1.222407,2203200
1996-09-16,1.390625,1.437500,1.390625,1.390625,1.222407,1417600
1996-09-23,1.390625,1.421875,1.328125,1.328125,1.167467,569600
1996-09-30,1.390625,1.390625,1.328125,1.328125,1.167467,985600
1996-10-07,1.328125,1.390625,1.328125,1.390625,1.222407,51200
1996-10-14,1.390625,1.390625,1.296875,1.296875,1.139997,899200
1996-10-21,1.312500,1.328125,1.226563,1.257813,1.105660,11494400
1996-10-28,1.281250,1.328125,1.234375,1.312500,1.153732,1113600
1996-11-04,1.296875,1.421875,1.296875,1.328125,1.167467,3336000
1996-11-11,1.312500,1.359375,1.296875,1.359375,1.194936,1692800
1996-11-18,1.312500,1.359375,1.312500,1.343750,1.181202,276800
1996-11-25,1.320313,1.359375,1.312500,1.312500,1.153732,132800
1996-12-02,1.312500,1.359375,1.281250,1.343750,1.181202,606400
1996-12-09,1.343750,1.343750,1.281250,1.296875,1.139997,344000
1996-12-16,1.343750,1.343750,1.296875,1.296875,1.139997,244800
1996-12-23,1.296875,1.328125,1.281250,1.281250,1.126262,662400
1996-12-30,1.289063,1.312500,1.265625,1.289063,1.133129,400000
1997-01-06,1.265625,1.312500,1.265625,1.265625,1.112527,2491200
1997-01-13,1.265625,1.312500,1.265625,1.265625,1.112527,276800
1997-01-20,1.265625,1.289063,1.234375,1.234375,1.085057,5529600
1997-01-27,1.234375,1.312500,1.234375,1.265625,1.112527,1196800
1997-02-03,1.312500,1.312500,1.250000,1.312500,1.153732,8377600
1997-02-10,1.312500,1.312500,1.265625,1.312500,1.153732,1083200
1997-02-17,1.265625,1.312500,1.265625,1.312500,1.153732,313600
1997-02-24,1.265625,1.312500,1.187500,1.203125,1.057588,1323200
1997-03-03,1.203125,1.234375,1.140625,1.156250,1.016383,2081600
1997-03-10,1.203125,1.234375,1.164063,1.179688,1.036985,406400
1997-03-17,1.207031,1.234375,1.171875,1.187500,1.043853,856000
1997-03-24,1.203125,1.203125,1.187500,1.187500,1.043853,280000
1997-03-31,1.203125,1.203125,1.078125,1.156250,1.016383,822400
1997-04-07,1.156250,1.156250,1.101563,1.140625,1.002648,849600
1997-04-14,1.156250,1.156250,1.101563,1.156250,1.016383,673600
1997-04-21,1.128906,1.203125,1.125000,1.171875,1.030118,2609600
1997-04-28,1.156250,1.234375,1.156250,1.171875,1.030118,512000
1997-05-05,1.234375,1.234375,1.171875,1.234375,1.085057,560000
1997-05-12,1.234375,1.328125,1.171875,1.281250,1.126262,11334400
1997-05-19,1.281250,1.328125,1.281250,1.312500,1.153732,1958400
1997-05-26,1.281250,1.312500,1.250000,1.281250,1.126262,1054400
1997-06-02,1.296875,1.296875,1.265625,1.296875,1.139997,1113600
1997-06-09,1.289063,1.343750,1.125000,1.156250,1.016383,1654400
1997-06-16,1.156250,1.156250,1.125000,1.132813,0.995781,1185600
1997-06-23,1.140625,1.140625,1.078125,1.117188,0.982046,1632000
1997-06-30,1.109375,1.140625,1.063475,1.093750,0.961443,4129600
1997-07-07,1.078125,1.140625,1.078125,1.109375,0.975179,1328000
1997-07-14,1.078125,1.140625,1.078125,1.140625,1.002648,163200
1997-07-21,1.121094,1.125000,1.078125,1.078125,0.947708,865600
1997-07-28,1.125000,1.125000,1.015625,1.078125,0.947708,3444800
1997-08-04,1.117188,1.117188,1.031250,1.062500,0.933973,772800
1997-08-11,1.031250,1.125000,1.015625,1.109375,0.975179,934400
1997-08-18,1.109375,1.140625,1.046875,1.101563,0.968311,540800
1997-08-25,1.078125,1.171875,1.062500,1.125000,0.988913,331200
1997-09-01,1.171875,1.171875,1.109375,1.156250,1.016383,768000
1997-09-08,1.171875,1.289063,1.171875,1.203125,1.057588,1264000
1997-09-15,1.203125,1.234375,1.203125,1.203125,1.057588,176000
1997-09-22,1.218750,1.234375,1.203125,1.218750,1.071322,273600
1997-09-29,1.234375,1.261719,1.210938,1.218750,1.071322,313600
1997-10-06,1.257813,1.343750,1.218750,1.343750,1.181202,380800
1997-10-13,1.304688,1.351563,1.289063,1.343750,1.181202,665600
1997-10-20,1.316406,1.375000,1.289063,1.304688,1.146865,1704000
1997-10-27,1.281250,1.296875,1.156250,1.234375,1.085057,5100800
1997-11-03,1.203125,1.234375,1.140625,1.156250,1.016383,339200
1997-11-10,1.156250,1.156250,1.109375,1.109375,0.975179,566400
1997-11-17,1.109375,1.117188,1.062500,1.062500,0.933973,923200
1997-11-24,1.046875,1.109375,0.859375,1.000000,0.879034,926400
1997-12-01,1.007813,1.031250,0.953125,1.000000,0.879034,860800
