Date,Open,High,Low,Close,Adj Close,Volume
1997-04-14,3.666667,4.166667,3.416667,4.000000,3.999753,2647300
1997-04-21,3.916667,5.000000,3.916667,4.500000,4.499722,735200
1997-04-28,4.500000,5.166667,4.333333,5.000000,4.999691,380800
1997-05-05,4.833333,5.000000,4.666667,4.833333,4.833035,213800
1997-05-12,4.916667,5.666667,4.833333,5.500000,5.499660,755700
1997-05-19,5.333333,5.500000,4.750000,5.125000,5.124683,308100
1997-05-26,5.250000,5.666667,5.000000,5.250000,5.249676,426300
1997-06-02,5.291667,5.583333,5.250000,5.333333,5.333004,335100
1997-06-09,5.333333,6.000000,5.333333,5.750000,5.749645,311400
1997-06-16,5.750000,5.833333,5.416667,5.500000,5.499660,246200
1997-06-23,5.416667,5.833333,5.083333,5.708333,5.707981,336300
1997-06-30,5.666667,5.833333,5.333333,5.333333,5.333004,164500
1997-07-07,5.416667,5.750000,5.333333,5.333333,5.333004,254800
1997-07-14,5.333333,5.500000,5.083333,5.166667,5.166348,265800
1997-07-21,5.166667,5.375000,5.083333,5.250000,5.249676,286600
1997-07-28,5.166667,5.666667,5.166667,5.395800,5.395467,245600
1997-08-04,5.333333,5.375000,5.083333,5.291667,5.291340,287600
1997-08-11,5.333333,5.333333,4.416667,4.833333,4.833035,173200
1997-08-18,4.750000,5.000000,4.750000,4.791667,4.791370,115600
1997-08-25,4.833333,5.166667,4.666667,5.000000,4.999691,118400
1997-09-01,5.104133,5.541667,4.833333,4.833333,4.833035,143000
1997-09-08,4.833333,5.125000,4.833333,5.125000,5.124683,71500
1997-09-15,5.125000,5.583333,4.916667,5.083333,5.083020,227600
1997-09-22,5.083333,5.250000,5.000000,5.000000,4.999691,109100
1997-09-29,5.000000,5.291667,5.000000,5.250000,5.249676,76000
1997-10-06,5.000000,5.250000,5.000000,5.166667,5.166348,277500
1997-10-13,5.166667,5.416667,5.083333,5.083333,5.083020,105400
1997-10-20,5.333333,5.333333,5.083333,5.083333,5.083020,124700
1997-10-27,5.083333,5.364533,4.416667,4.500000,4.499722,163500
1997-11-03,5.000000,5.000000,4.500000,4.916667,4.916363,46100
1997-11-10,4.500000,4.729133,4.250000,4.729133,4.728841,95300
1997-11-17,4.500000,4.833333,4.500000,4.812467,4.812170,102200
1997-11-24,4.583333,4.791667,4.166667,4.333333,4.333066,86200
1997-12-01,4.333333,4.583333,4.166667,4.250000,4.249738,185200
1997-12-08,4.250000,4.416667,3.833333,4.000000,3.999753,125700
1997-12-15,4.000000,4.166667,3.750000,3.916667,3.916425,88100
1997-12-22,3.916667,3.916667,3.583333,3.666667,3.666440,97900
1997-12-29,3.833333,3.833333,3.000000,3.416667,3.416456,148500
1998-01-05,3.416667,4.083333,3.416667,3.916667,3.916425,90600
1998-01-12,3.916667,4.166667,3.583333,3.916667,3.916425,190100
1998-01-19,3.916667,4.104133,3.750000,4.083333,4.083081,99800
1998-01-26,3.916667,4.416667,3.916667,4.416667,4.416394,312000
1998-02-02,4.166667,4.833333,4.166667,4.583333,4.583050,244300
1998-02-09,4.666667,5.500000,4.625000,5.000000,4.999691,461400
1998-02-16,4.916667,4.916667,4.666667,4.833333,4.833035,136600
1998-02-23,4.666667,4.833333,4.500000,4.750000,4.749707,130400
1998-03-02,4.750000,4.833333,4.541667,4.666667,4.666378,56100
1998-03-09,4.708333,5.208333,4.166667,5.208333,5.208012,352600
1998-03-16,5.250000,5.500000,5.000000,5.416667,5.416332,197200
1998-03-23,5.416667,5.416667,5.083333,5.166667,5.166348,180100
1998-03-30,5.166667,5.500000,5.125000,5.333333,5.333004,213400
1998-04-06,5.333333,5.500000,5.166667,5.166667,5.166348,87100
1998-04-13,5.166667,5.333333,4.416667,5.083333,5.083020,398800
1998-04-20,5.083333,5.458333,4.416667,5.458333,5.457996,632500
1998-04-27,5.333333,5.791667,5.000000,5.500000,5.499660,527100
1998-05-04,5.500000,5.833333,5.250000,5.708333,5.707981,526500
1998-05-11,5.666667,5.750000,5.166667,5.250000,5.249676,318700
1998-05-18,5.250000,5.375000,5.083333,5.083333,5.083020,249900
1998-05-25,5.083333,5.250000,5.000000,5.166667,5.166348,112100
1998-06-01,5.250000,5.250000,5.000000,5.166667,5.166348,122200
1998-06-08,5.083333,5.166667,4.666667,4.750000,4.749707,280800
1998-06-15,4.833333,5.000000,4.083333,4.250000,4.249738,272600
1998-06-22,4.291667,4.416667,3.666667,3.833333,3.833097,693100
1998-06-29,3.750000,4.000000,3.666667,3.666667,3.666440,127800
1998-07-06,3.833333,4.166667,3.625000,4.166667,4.166409,438800
1998-07-13,4.000000,4.666667,3.916667,4.666667,4.666378,642800
1998-07-20,4.666667,4.666667,4.083333,4.541667,4.541386,420900
1998-07-27,4.458333,4.541667,4.000000,4.041667,4.041417,347600
1998-08-03,4.166667,4.166667,3.416667,3.583333,3.583112,420800
1998-08-10,3.541667,3.875000,3.541667,3.833333,3.833097,359800
1998-08-17,3.916667,4.500000,3.833333,4.083333,4.083081,907000
1998-08-24,4.166667,4.166667,3.500000,3.750000,3.749768,798800
1998-08-31,3.750000,3.833333,3.166667,3.583333,3.583112,912500
1998-09-07,3.833333,3.833333,3.333333,3.666667,3.666440,327000
1998-09-14,3.583333,3.791667,3.500000,3.750000,3.749768,375400
1998-09-21,3.708333,4.291667,3.583333,3.666667,3.666440,503900
1998-09-28,3.791667,4.083333,3.583333,3.666667,3.666440,462700
1998-10-05,3.500000,3.750000,3.250000,3.541667,3.541448,291500
1998-10-12,3.500000,4.208333,3.500000,3.916667,3.916425,530900
1998-10-19,3.916667,3.916667,3.750000,3.875000,3.874761,651600
1998-10-26,3.916667,4.333333,3.833333,4.333333,4.333066,751000
1998-11-02,4.270800,4.416667,3.958333,4.166667,4.166409,252100
1998-11-09,4.166667,4.500000,4.083333,4.500000,4.499722,148800
1998-11-16,4.354133,4.416667,4.000000,4.416667,4.416394,371800
1998-11-23,4.416667,4.708333,4.250000,4.416667,4.416394,740900
1998-11-30,4.416667,4.416667,4.208333,4.250000,4.249738,137500
1998-12-07,4.333333,4.333333,3.916667,4.166667,4.166409,275800
1998-12-14,4.250000,4.916667,4.000000,4.833333,4.833035,634900
1998-12-21,5.083333,5.125000,4.083333,4.500000,4.499722,689100
1998-12-28,4.458333,5.916667,3.937467,5.500000,5.499660,1661200
1999-01-04,5.833333,6.916667,5.250000,6.875000,6.874576,4494100
1999-01-11,7.250000,8.250000,6.666667,7.416667,7.416209,6885300
1999-01-18,7.666667,7.666667,6.791667,7.666667,7.666193,1756300
1999-01-25,7.666667,8.916667,7.416667,8.708333,8.707795,3586600
1999-02-01,9.083333,9.083333,7.750000,8.833333,8.832788,3127700
1999-02-08,8.916667,8.916667,6.833333,6.958333,6.957904,1414300
1999-02-15,7.000000,7.541667,7.000000,7.416667,7.416209,631300
1999-02-22,7.500000,7.500000,6.750000,7.250000,7.249552,1314200
1999-03-01,7.083333,7.333333,5.291667,5.666667,5.666317,2028500
1999-03-08,5.750000,7.000000,5.666667,6.666667,6.666255,1307600
1999-03-15,6.708333,6.708333,5.750000,5.833333,5.832973,723700
1999-03-22,6.000000,6.000000,5.250000,5.250000,5.249676,871100
1999-03-29,5.291667,5.708333,5.041667,5.458333,5.457996,998000
1999-04-05,5.458333,7.833333,5.250000,6.916667,6.916239,3433200
1999-04-12,6.666667,6.833333,5.500000,6.000000,5.999629,1059000
1999-04-19,6.000000,6.708333,5.500000,6.500000,6.499599,1235300
1999-04-26,6.416667,6.541667,5.666667,6.375000,6.374606,1732000
1999-05-03,6.416667,6.458333,5.083333,5.333333,5.333004,9094000
1999-05-10,5.416667,5.458333,5.166667,5.166667,5.166348,2389600
1999-05-17,5.166667,6.000000,5.000000,5.958333,5.957965,2527900
1999-05-24,6.083333,6.125000,5.166667,5.416667,5.416332,2312700
1999-05-31,5.583333,5.583333,4.708333,5.125000,5.124683,832900
1999-06-07,5.083333,5.583333,5.000000,5.000000,4.999691,1170900
1999-06-14,5.041667,5.166667,4.583333,5.000000,4.999691,1017600
1999-06-21,5.083333,5.083333,4.604133,4.666667,4.666378,749300
1999-06-28,4.770800,5.333333,4.708333,5.291667,5.291340,1119600
1999-07-05,5.333333,5.458333,5.000000,5.104133,5.103818,787200
1999-07-12,5.312467,6.333333,5.125000,6.041667,6.041294,2624600
1999-07-19,6.166667,6.166667,5.500000,5.666667,5.666317,1524900
1999-07-26,5.458333,5.666667,5.125000,5.291667,5.291340,836300
1999-08-02,5.312467,5.625000,4.666667,5.583333,5.582989,651200
1999-08-09,5.583333,5.583333,4.916667,5.041667,5.041355,806200
1999-08-16,5.041667,5.979133,5.041667,5.875000,5.874637,2810600
1999-08-23,5.958333,6.750000,5.916667,6.416667,6.416270,5263800
1999-08-30,6.583333,6.645800,5.708333,6.000000,5.999629,1545000
1999-09-06,6.000000,6.583333,5.833333,6.500000,6.499599,1404400
1999-09-13,6.500000,7.250000,6.333333,6.833333,6.832911,2255400
1999-09-20,7.020800,7.583333,6.666667,7.333333,7.332880,4132000
1999-09-27,7.666667,7.666667,6.833333,7.041667,7.041232,3046700
1999-10-04,7.375000,7.375000,6.583333,6.625000,6.624591,1609400
1999-10-11,6.708333,6.750000,5.916667,6.166667,6.166286,1920900
1999-10-18,6.083333,6.666667,5.375000,6.625000,6.624591,2749800
1999-10-25,6.625000,7.166667,6.541667,6.916667,6.916239,2510900
1999-11-01,7.000000,8.250000,6.666667,7.583333,7.582865,4914000
1999-11-08,7.625000,7.916667,7.166667,7.250000,7.249552,1977900
1999-11-15,7.250000,8.916667,7.208333,8.625000,8.624468,3274200
1999-11-22,8.583333,8.750000,7.583333,8.666667,8.666132,2108400
1999-11-29,8.791667,9.958333,8.333333,9.250000,9.249429,3940200
1999-12-06,9.666667,11.291667,9.333333,10.875000,10.874329,6266800
1999-12-13,11.291667,11.666667,9.666667,9.916667,9.916055,9697700
1999-12-20,10.250000,10.875000,8.208333,9.666667,9.666070,3619500
1999-12-27,10.333333,10.333333,8.583333,8.625000,8.624468,2118700
2000-01-03,8.916667,10.000000,8.333333,9.000000,8.999444,3007700
2000-01-10,9.208333,9.833333,8.583333,9.541667,9.541078,2438200
2000-01-17,9.562467,9.666667,7.916667,7.916667,7.916178,2332100
2000-01-24,8.333333,8.833333,7.250000,7.875000,7.874514,5118400
2000-01-31,8.062467,8.625000,7.500000,8.083333,8.082834,2643400
2000-02-07,8.208333,9.833333,8.000000,9.166667,9.166101,4171300
2000-02-14,9.270800,9.333333,8.458333,8.750000,8.749459,1660900
2000-02-21,8.666667,9.583333,8.416667,8.583333,8.582803,2270700
2000-02-28,8.625000,10.666667,7.833333,10.500000,10.499352,6842700
2000-03-06,10.708333,12.625000,10.416667,10.750000,10.749336,15287600
2000-03-13,10.583333,11.333333,9.333333,10.000000,9.999382,4245900
2000-03-20,10.187467,10.583333,8.833333,8.916667,8.916117,3657100
2000-03-27,8.916667,9.500000,8.166667,8.833333,8.832788,3164400
2000-04-03,8.750000,8.958333,5.833333,8.083333,8.082834,3462100
2000-04-10,8.250000,8.250000,5.333333,5.500000,5.499660,5008500
2000-04-17,5.479133,7.166667,5.416667,6.666667,6.666255,3001000
2000-04-24,6.666667,6.833333,5.791667,6.416667,6.416270,1317300
2000-05-01,6.416667,7.500000,6.375000,7.375000,7.374545,2444900
2000-05-08,7.416667,7.666667,6.875000,7.541667,7.541201,1266500
2000-05-15,7.541667,8.833333,7.416667,8.333333,8.332818,2340200
2000-05-22,8.250000,8.333333,6.208333,6.583333,6.582927,1946400
2000-05-29,6.875000,8.166667,5.916667,7.791667,7.791185,2831600
2000-06-05,7.833333,8.333333,7.166667,7.541667,7.541201,2045200
2000-06-12,7.750000,8.750000,7.729133,8.416667,8.416147,3099500
2000-06-19,8.875000,9.000000,7.166667,7.625000,7.624529,5279700
2000-06-26,7.583333,8.291667,7.416667,8.083333,8.082834,2719000
2000-07-03,8.125000,8.791667,7.708333,8.645800,8.645266,2559800
2000-07-10,8.666667,8.750000,7.333333,7.666667,7.666193,5041100
2000-07-17,7.708333,7.750000,6.666667,6.791667,6.791247,2551600
2000-07-24,6.750000,7.208333,6.083333,6.333333,6.332942,2345300
2000-07-31,6.375000,6.875000,6.114533,6.135400,6.135021,2683800
2000-08-07,6.156200,7.541667,6.000000,7.041667,7.041232,3603100
2000-08-14,7.041667,7.750000,7.041667,7.500000,7.499537,1033100
2000-08-21,7.520800,9.416667,7.458333,9.125000,9.124436,5154400
2000-08-28,9.312467,9.708333,6.666667,9.291667,9.291093,3646200
2000-09-04,9.250000,11.000000,9.000000,10.666667,10.666008,5340900
2000-09-11,10.583333,10.750000,10.083333,10.666667,10.666008,2948800
2000-09-18,10.500000,10.666667,8.875000,9.552067,9.551477,3958900
2000-09-25,9.583333,9.666667,6.958333,8.375000,8.374483,4544000
2000-10-02,8.270800,9.041667,7.666667,8.416667,8.416147,2096500
2000-10-09,8.083333,8.708333,7.333333,7.833333,7.832850,1752200
2000-10-16,8.000000,8.500000,6.958333,8.458333,8.457810,1282100
2000-10-23,8.625000,9.000000,7.916667,8.166667,8.166162,2341000
2000-10-30,8.041667,8.541667,7.916667,8.250000,8.249491,1578500
2000-11-06,8.322866,8.666667,7.666667,7.708333,7.707858,2146800
2000-11-13,7.500000,7.750000,6.500000,7.041667,7.041232,1968600
2000-11-20,6.916667,7.000000,5.604133,6.250000,6.249614,2648700
2000-11-27,6.375000,6.791667,5.750000,6.583333,6.582927,2902200
2000-12-04,6.687467,6.708333,6.000000,6.666667,6.666255,1549500
2000-12-11,6.718733,7.041667,6.041667,6.375000,6.374606,2061800
2000-12-18,6.291667,6.500000,5.833333,6.333333,6.332942,2006100
2000-12-25,6.479133,7.791667,6.416667,7.666667,7.666193,2068500
2001-01-01,7.697866,7.958333,7.000000,7.458333,7.457873,2166500
2001-01-08,7.541667,7.958333,6.750000,7.916667,7.916178,2499100
2001-01-15,7.875000,8.958333,7.500000,8.333333,8.332818,5701400
2001-01-22,8.500000,8.583333,7.208333,7.375000,7.374545,6623000
2001-01-29,7.416667,8.916667,7.166667,8.500000,8.499475,4639400
2001-02-05,8.427067,8.833333,8.083333,8.541667,8.541140,3210500
2001-02-12,8.520800,8.750000,7.833333,7.916667,7.916178,3030200
2001-02-19,8.000000,8.166667,7.333333,7.750000,7.749521,2035500
2001-02-26,7.833333,8.208333,7.041667,7.666667,7.666193,3392300
2001-03-05,7.541667,7.916667,6.958333,7.791667,7.791185,5995200
2001-03-12,7.500000,8.375000,7.458333,8.291667,8.291155,4522800
2001-03-19,8.125000,8.916667,7.791667,8.458333,8.457810,3805900
2001-03-26,8.583333,9.750000,8.541667,9.510400,9.509812,8718300
2001-04-02,9.458333,9.500000,7.250000,8.166667,8.166162,4731300
