Date,Open,High,Low,Close,Adj Close,Volume
1972-05-29,1.690104,1.736979,1.690104,1.733073,0.056781,3321600
1972-06-05,1.733073,1.752604,1.638021,1.651042,0.054093,5020800
1972-06-12,1.657552,1.781250,1.657552,1.747396,0.057250,3004800
1972-06-19,1.740885,1.783854,1.729167,1.778646,0.058274,4444800
1972-06-26,1.776042,1.781250,1.723958,1.757813,0.057591,2304000
1972-07-03,1.755208,1.854167,1.744792,1.854167,0.060748,3590400
1972-07-10,1.846354,1.846354,1.783854,1.791667,0.058774,3475200
1972-07-17,1.791667,1.791667,1.695313,1.769531,0.058048,4992000
1972-07-24,1.787760,1.847656,1.787760,1.804688,0.059201,4627200
1972-07-31,1.804688,1.895833,1.781250,1.890625,0.062020,5596800
1972-08-07,1.890625,1.979167,1.885417,1.962240,0.064369,4723200
1972-08-14,1.960938,1.960938,1.833333,1.850260,0.060696,7209600
1972-08-21,1.847656,1.847656,1.802083,1.817708,0.059628,5049600
1972-08-28,1.817708,1.847656,1.791667,1.830729,0.060055,3513600
1972-09-04,1.830729,1.832031,1.736979,1.739583,0.057065,2793600
1972-09-11,1.723958,1.723958,1.662760,1.697917,0.055698,9993600
1972-09-18,1.695313,1.774740,1.664063,1.772135,0.058133,4646400
1972-09-25,1.772135,1.925781,1.739583,1.835938,0.060226,8006400
1972-10-02,1.835938,1.841146,1.729167,1.760417,0.057749,5539200
1972-10-09,1.763021,1.808594,1.729167,1.734375,0.056962,3225600
1972-10-16,1.730469,1.755208,1.712240,1.743490,0.057262,3926400
1972-10-23,1.760417,1.850260,1.760417,1.808594,0.059400,9523200
1972-10-30,1.808594,1.856771,1.804688,1.830729,0.060127,4358400
1972-11-06,1.830729,1.838542,1.648438,1.648438,0.054140,17548800
1972-11-13,1.648438,1.738281,1.635417,1.705729,0.056021,10540800
1972-11-20,1.705729,1.713542,1.690104,1.694010,0.055637,3206400
1972-11-27,1.694010,1.795573,1.692708,1.795573,0.058972,6518400
1972-12-04,1.795573,1.795573,1.763021,1.781250,0.058502,3417600
1972-12-11,1.781250,1.808594,1.766927,1.796875,0.059015,10176000
1972-12-18,1.791667,1.791667,1.746094,1.766927,0.058031,5366400
1972-12-25,1.785156,1.894531,1.785156,1.894531,0.062222,2265600
1973-01-01,1.906250,1.937500,1.867188,1.921875,0.063120,5616000
1973-01-08,1.921875,1.954427,1.875000,1.881510,0.061866,3609600
1973-01-15,1.881510,1.910156,1.787760,1.903646,0.062594,5452800
1973-01-22,1.903646,1.968750,1.895833,1.937500,0.063707,4291200
1973-01-29,1.937500,1.975260,1.867188,1.875000,0.061652,6768000
1973-02-05,1.871094,1.915365,1.835938,1.901042,0.062508,5385600
1973-02-12,1.906250,1.968750,1.906250,1.921875,0.063193,5452800
1973-02-19,1.916667,1.916667,1.856771,1.865885,0.061352,3868800
1973-02-26,1.847656,1.847656,1.753906,1.791667,0.058912,7267200
1973-03-05,1.794271,1.908854,1.794271,1.898438,0.062423,5500800
1973-03-12,1.895833,1.895833,1.841146,1.845052,0.060667,4464000
1973-03-19,1.845052,1.847656,1.674479,1.705729,0.056086,5510400
1973-03-26,1.716146,1.781250,1.691406,1.692708,0.055658,10963200
1973-04-02,1.692708,1.692708,1.549479,1.631510,0.053646,8486400
1973-04-09,1.631510,1.710938,1.621094,1.628906,0.053656,6720000
1973-04-16,1.630208,1.859375,1.630208,1.848958,0.060905,12048000
1973-04-23,1.873698,1.947917,1.731771,1.750000,0.057645,20016000
1973-04-30,1.750000,1.908854,1.713542,1.889323,0.062234,14284800
1973-05-07,1.889323,2.079427,1.878906,1.949219,0.064207,15244800
1973-05-14,1.929688,1.970052,1.809896,1.859375,0.061248,10828800
1973-05-21,1.859375,2.098958,1.839844,2.059896,0.067853,17865600
1973-05-28,2.039063,2.039063,1.859375,1.898438,0.062535,7632000
1973-06-04,1.898438,2.049479,1.888021,2.018229,0.066481,8222400
1973-06-11,2.018229,2.078125,1.940104,2.000000,0.065880,8827200
1973-06-18,1.979167,2.018229,1.898438,1.929688,0.063564,4785600
1973-06-25,1.919271,1.919271,1.729167,1.789063,0.058932,10948800
1973-07-02,1.789063,1.789063,1.729167,1.729167,0.056959,4190400
1973-07-09,1.729167,1.968750,1.729167,1.908854,0.062981,8904000
1973-07-16,1.908854,2.208333,1.898438,2.127604,0.070198,9888000
1973-07-23,2.127604,2.289063,2.059896,2.268229,0.074838,7876800
1973-07-30,2.268229,2.278646,2.148438,2.229167,0.073549,6892800
1973-08-06,2.229167,2.328125,2.158854,2.169271,0.071573,7824000
1973-08-13,2.169271,2.229167,2.109375,2.127604,0.070198,5625600
1973-08-20,2.127604,2.190104,2.098958,2.148438,0.070885,3580800
1973-08-27,2.148438,2.250000,2.138021,2.239583,0.073893,6552000
1973-09-03,2.257813,2.317708,2.257813,2.289063,0.075525,6691200
1973-09-10,2.289063,2.338542,2.197917,2.338542,0.077158,7708800
1973-09-17,2.348958,2.559896,2.348958,2.507813,0.082743,13401600
1973-09-24,2.507813,2.567708,2.447917,2.500000,0.082485,8212800
1973-10-01,2.500000,2.729167,2.468750,2.697917,0.089015,8544000
1973-10-08,2.697917,2.888021,2.669271,2.869792,0.094818,8688000
1973-10-15,2.809896,2.809896,2.627604,2.658854,0.087849,5918400
1973-10-22,2.658854,2.817708,2.609375,2.778646,0.091807,6806400
1973-10-29,2.778646,2.848958,2.518229,2.549479,0.084235,12172800
1973-11-05,2.528646,2.549479,2.398438,2.408854,0.079589,13046400
1973-11-12,2.408854,2.539063,2.317708,2.408854,0.079589,13646400
1973-11-19,2.408854,2.507813,2.299479,2.468750,0.081568,6379200
1973-11-26,2.447917,2.489583,2.377604,2.377604,0.078556,8668800
1973-12-03,2.348958,2.348958,2.049479,2.059896,0.068059,18187200
1973-12-10,2.059896,2.179688,1.919271,2.000000,0.066080,17198400
1973-12-17,2.000000,2.179688,1.968750,2.039063,0.067371,7320000
1973-12-24,2.039063,2.257813,1.989583,2.197917,0.072619,4603200
1973-12-31,2.268229,2.278646,2.119792,2.119792,0.070038,3264000
1974-01-07,2.119792,2.119792,1.940104,2.039063,0.067479,6628800
1974-01-14,2.059896,2.239583,2.059896,2.190104,0.072478,6604800
1974-01-21,2.190104,2.299479,2.148438,2.268229,0.075063,5582400
1974-01-28,2.268229,2.377604,2.239583,2.268229,0.075063,4329600
1974-02-04,2.229167,2.229167,2.007813,2.028646,0.067135,9321600
1974-02-11,2.028646,2.028646,1.929688,2.000000,0.066187,6355200
1974-02-18,2.028646,2.239583,2.028646,2.218750,0.073426,7180800
1974-02-25,2.218750,2.278646,2.158854,2.257813,0.074718,6681600
1974-03-04,2.257813,2.299479,2.208333,2.229167,0.073770,5736000
1974-03-11,2.229167,2.328125,2.208333,2.250000,0.074460,6278400
1974-03-18,2.250000,2.250000,2.138021,2.169271,0.071788,4680000
1974-03-25,2.169271,2.179688,1.968750,1.989583,0.065842,6033600
1974-04-01,1.989583,2.049479,1.979167,1.989583,0.065842,5126400
1974-04-08,1.989583,2.039063,1.958333,1.958333,0.064979,4694400
1974-04-15,1.947917,2.119792,1.898438,2.078125,0.068954,11625600
1974-04-22,2.078125,2.119792,1.979167,2.059896,0.068349,7814400
1974-04-29,2.067708,2.278646,2.039063,2.218750,0.073620,11899200
1974-05-06,2.218750,2.369792,2.197917,2.278646,0.075607,9556800
1974-05-13,2.278646,2.348958,2.229167,2.257813,0.074916,6168000
1974-05-20,2.257813,2.408854,2.239583,2.388021,0.079236,6513600
1974-05-27,2.388021,2.408854,2.257813,2.289063,0.075953,6091200
1974-06-03,2.289063,2.317708,2.049479,2.059896,0.068349,18744000
1974-06-10,2.000000,2.067708,1.908854,2.028646,0.067312,19780800
1974-06-17,2.028646,2.049479,1.898438,1.919271,0.063683,10012800
1974-06-24,1.919271,2.018229,1.888021,1.958333,0.064979,6940800
1974-07-01,2.000000,2.007813,1.898438,1.898438,0.062991,4780800
1974-07-08,1.877604,1.877604,1.750000,1.859375,0.061860,16440000
1974-07-15,1.859375,1.940104,1.828125,1.828125,0.060820,8961600
1974-07-22,1.828125,1.898438,1.739583,1.739583,0.057874,8952000
1974-07-29,1.729167,1.768229,1.708333,1.739583,0.057874,6345600
1974-08-05,1.739583,1.877604,1.638021,1.648438,0.054842,13785600
1974-08-12,1.648438,1.669271,1.518229,1.559896,0.051896,13752000
1974-08-19,1.559896,1.638021,1.528646,1.528646,0.050857,7833600
1974-08-26,1.528646,1.697917,1.528646,1.690104,0.056228,7516800
1974-09-02,1.690104,1.697917,1.468750,1.609375,0.053543,9816000
1974-09-09,1.588542,1.588542,1.398438,1.419271,0.047218,10910400
1974-09-16,1.419271,1.458333,1.299479,1.359375,0.045225,11649600
1974-09-23,1.359375,1.408854,1.250000,1.250000,0.041586,6576000
1974-09-30,1.250000,1.317708,1.218750,1.250000,0.041586,10161600
1974-10-07,1.268229,1.388021,1.239583,1.348958,0.045062,11323200
1974-10-14,1.348958,1.408854,1.250000,1.299479,0.043410,9744000
1974-10-21,1.299479,1.398438,1.268229,1.317708,0.044018,6350400
1974-10-28,1.317708,1.559896,1.309896,1.518229,0.050717,11332800
1974-11-04,1.507813,1.658854,1.458333,1.609375,0.053762,10540800
1974-11-11,1.609375,1.648438,1.528646,1.559896,0.052109,7267200
1974-11-18,1.518229,1.578125,1.468750,1.549479,0.051761,8155200
1974-11-25,1.549479,1.588542,1.458333,1.549479,0.051761,5323200
1974-12-02,1.539063,1.539063,1.348958,1.359375,0.045410,11836800
1974-12-09,1.359375,1.479167,1.328125,1.348958,0.045062,14808000
1974-12-16,1.348958,1.440104,1.338542,1.359375,0.045410,6436800
1974-12-23,1.359375,1.398438,1.338542,1.369792,0.045758,5232000
1974-12-30,1.348958,1.447917,1.348958,1.408854,0.047063,3638400
1975-01-06,1.408854,1.429688,1.268229,1.338542,0.044885,11563200
1975-01-13,1.338542,1.359375,1.289063,1.289063,0.043226,6667200
1975-01-20,1.289063,1.440104,1.278646,1.440104,0.048291,9849600
1975-01-27,1.440104,1.559896,1.419271,1.528646,0.051260,18384000
1975-02-03,1.528646,1.679688,1.500000,1.627604,0.054578,13478400
1975-02-10,1.627604,1.768229,1.598958,1.739583,0.058333,10972800
1975-02-17,1.739583,1.739583,1.658854,1.669271,0.055975,6763200
1975-02-24,1.669271,1.739583,1.627604,1.729167,0.057984,9888000
1975-03-03,1.729167,1.958333,1.729167,1.929688,0.064708,17539200
1975-03-10,1.929688,1.947917,1.838542,1.898438,0.063660,12681600
1975-03-17,1.908854,2.018229,1.908854,1.929688,0.064708,9825600
1975-03-24,1.888021,1.968750,1.838542,1.929688,0.064708,7008000
1975-03-31,1.929688,1.929688,1.869792,1.888021,0.063311,5448000
1975-04-07,1.888021,1.979167,1.869792,1.968750,0.066201,8611200
1975-04-14,2.007813,2.388021,2.007813,2.169271,0.072944,28358400
1975-04-21,2.169271,2.229167,2.088542,2.169271,0.072944,8006400
1975-04-28,2.169271,2.289063,2.148438,2.250000,0.075659,7958400
1975-05-05,2.218750,2.218750,2.067708,2.169271,0.072944,9816000
1975-05-12,2.169271,2.257813,2.158854,2.218750,0.074608,5092800
1975-05-19,2.218750,2.309896,2.208333,2.299479,0.077323,7449600
1975-05-26,2.299479,2.309896,2.179688,2.208333,0.074258,4166400
1975-06-02,2.229167,2.348958,2.229167,2.328125,0.078286,6441600
1975-06-09,2.328125,2.328125,2.098958,2.127604,0.071543,9000000
1975-06-16,2.127604,2.278646,2.088542,2.250000,0.075659,6840000
1975-06-23,2.250000,2.338542,2.239583,2.309896,0.077673,6052800
1975-06-30,2.309896,2.369792,2.278646,2.309896,0.077673,3057600
1975-07-07,2.309896,2.489583,2.289063,2.398438,0.080833,7608000
1975-07-14,2.398438,2.447917,2.289063,2.289063,0.077146,5985600
1975-07-21,2.289063,2.317708,2.078125,2.088542,0.070388,15820800
1975-07-28,2.088542,2.109375,1.968750,1.989583,0.067053,10339200
1975-08-04,1.989583,2.067708,1.958333,1.979167,0.066702,10502400
1975-08-11,1.979167,2.018229,1.877604,1.908854,0.064333,8400000
1975-08-18,1.908854,1.919271,1.817708,1.908854,0.064333,8860800
1975-08-25,1.908854,2.018229,1.869792,1.989583,0.067053,5472000
1975-09-01,1.989583,2.000000,1.888021,1.940104,0.065386,4723200
1975-09-08,1.940104,1.968750,1.799479,1.799479,0.060646,9278400
1975-09-15,1.799479,1.919271,1.739583,1.898438,0.063981,9921600
1975-09-22,1.898438,2.028646,1.848958,1.989583,0.067053,12465600
1975-09-29,1.979167,2.067708,1.869792,2.059896,0.069423,10761600
1975-10-06,2.059896,2.158854,2.028646,2.119792,0.071637,11654400
1975-10-13,2.119792,2.208333,2.018229,2.028646,0.068557,10276800
1975-10-20,2.028646,2.138021,2.028646,2.088542,0.070581,7300800
1975-10-27,2.088542,2.098958,1.989583,2.028646,0.068557,7137600
1975-11-03,2.028646,2.049479,1.947917,2.028646,0.068557,6331200
1975-11-10,2.028646,2.127604,2.007813,2.078125,0.070229,10051200
1975-11-17,2.078125,2.078125,1.929688,1.958333,0.066181,8160000
1975-11-24,1.958333,2.000000,1.940104,1.968750,0.066533,4502400
1975-12-01,1.968750,1.989583,1.908854,1.919271,0.064861,6878400
1975-12-08,1.919271,1.958333,1.877604,1.929688,0.065213,7430400
1975-12-15,1.929688,1.989583,1.919271,1.919271,0.064861,6888000
1975-12-22,1.919271,1.989583,1.888021,1.989583,0.067237,5299200
1975-12-29,2.018229,2.018229,1.947917,1.958333,0.066181,2731200
1976-01-05,1.958333,2.088542,1.940104,2.059896,0.069796,13809600
1976-01-12,2.059896,2.239583,2.059896,2.239583,0.075884,12993600
1976-01-19,2.239583,2.507813,2.197917,2.489583,0.084355,13454400
1976-01-26,2.489583,2.507813,2.377604,2.419271,0.081972,13920000
1976-02-02,2.419271,2.549479,2.408854,2.468750,0.083649,10953600
1976-02-09,2.468750,2.539063,2.447917,2.468750,0.083649,6792000
1976-02-16,2.468750,2.578125,2.447917,2.567708,0.087002,7334400
1976-02-23,2.559896,2.559896,2.458333,2.489583,0.084355,5116800
1976-03-01,2.489583,2.489583,2.309896,2.369792,0.080296,7344000
1976-03-08,2.369792,2.447917,2.348958,2.419271,0.081972,5064000
1976-03-15,2.419271,2.500000,2.388021,2.479167,0.084002,9446400
1976-03-22,2.479167,2.609375,2.479167,2.588542,0.087708,8865600
1976-03-29,2.588542,2.609375,2.549479,2.588542,0.087708,8467200
1976-04-05,2.588542,2.697917,2.559896,2.559896,0.086913,8841600
1976-04-12,2.559896,2.609375,2.528646,2.528646,0.085852,5731200
1976-04-19,2.528646,2.567708,2.458333,2.518229,0.085498,7008000
1976-04-26,2.518229,2.528646,2.419271,2.419271,0.082138,6187200
1976-05-03,2.388021,2.458333,2.359375,2.447917,0.083111,5409600
1976-05-10,2.468750,2.578125,2.468750,2.539063,0.086206,5894400
1976-05-17,2.539063,2.559896,2.507813,2.518229,0.085498,5318400
1976-05-24,2.507813,2.507813,2.377604,2.377604,0.080724,9004800
1976-05-31,2.377604,2.398438,2.348958,2.348958,0.079751,5880000
1976-06-07,2.348958,2.479167,2.317708,2.458333,0.083465,4502400
1976-06-14,2.468750,2.609375,2.447917,2.588542,0.087885,8016000
1976-06-21,2.588542,2.619792,2.559896,2.609375,0.088593,4646400
1976-06-28,2.578125,2.679688,2.578125,2.588542,0.087885,4833600
1976-07-05,2.588542,2.598958,2.539063,2.598958,0.088416,5179200
1976-07-12,2.598958,2.648438,2.518229,2.549479,0.086732,5846400
1976-07-19,2.549479,2.559896,2.440104,2.500000,0.085049,5500800
1976-07-26,2.500000,2.518229,2.419271,2.458333,0.083632,3892800
1976-08-02,2.458333,2.489583,2.440104,2.468750,0.083986,3417600
1976-08-09,2.468750,2.479167,2.338542,2.398438,0.081594,5064000
1976-08-16,2.398438,2.429688,2.338542,2.338542,0.079556,6883200
1976-08-23,2.328125,2.328125,2.148438,2.229167,0.075835,11587200
1976-08-30,2.229167,2.328125,2.218750,2.317708,0.078848,8150400
1976-09-06,2.317708,2.377604,2.278646,2.317708,0.078848,7536000
1976-09-13,2.317708,2.388021,2.278646,2.377604,0.080885,7675200
1976-09-20,2.388021,2.549479,2.388021,2.440104,0.083012,12835200
1976-09-27,2.440104,2.489583,2.328125,2.338542,0.079556,10036800
