Date,Open,High,Low,Close,Adj Close,Volume
1999-11-08,65.000000,76.937500,64.500000,70.500000,45.208809,123870800
1999-11-15,70.500000,70.875000,64.250000,65.000000,41.681873,31270400
1999-11-22,64.062500,69.437500,61.000000,69.125000,44.327084,11119500
1999-11-29,70.000000,70.250000,65.625000,66.437500,42.797676,8223300
1999-12-06,66.500000,68.750000,65.375000,66.125000,42.596359,7928200
1999-12-13,66.375000,67.625000,63.250000,66.625000,42.918472,8252600
1999-12-20,67.687500,69.000000,65.625000,67.750000,43.643169,5211800
1999-12-27,68.500000,69.687500,67.500000,69.000000,44.448376,5010900
2000-01-03,69.687500,69.750000,64.625000,66.375000,42.757408,7015800
2000-01-10,66.875000,69.250000,65.250000,69.062500,44.488647,5540600
2000-01-17,69.000000,69.125000,66.687500,67.250000,43.321068,5309900
2000-01-24,67.875000,68.250000,64.000000,64.937500,41.831409,5480900
2000-01-31,63.000000,64.000000,56.062500,56.375000,36.315617,18944500
2000-02-07,56.625000,59.625000,55.125000,55.125000,35.510395,6754300
2000-02-14,55.312500,59.437500,53.562500,56.937500,36.677975,7330900
2000-02-21,56.937500,56.937500,53.812500,55.500000,35.751972,4092700
2000-02-28,55.562500,55.625000,51.875000,52.687500,34.045559,4954800
2000-03-06,54.375000,54.500000,49.000000,53.437500,34.530193,8002300
2000-03-13,52.250000,57.625000,51.625000,55.500000,35.862926,6276700
2000-03-20,56.500000,64.125000,55.250000,63.750000,41.193901,6116600
2000-03-27,63.000000,64.000000,58.187500,62.984299,40.699139,3878900
2000-04-03,62.000000,62.000000,55.375000,60.875000,39.336143,4195900
2000-04-10,61.125000,64.000000,55.000000,55.000000,35.539845,3927100
2000-04-17,57.000000,63.875000,55.000000,63.500000,41.032360,4108600
2000-04-24,63.000000,66.937500,62.000000,66.500000,42.970909,5655500
2000-05-01,66.625000,66.937500,59.000000,59.875000,38.689976,4539600
2000-05-08,59.000000,63.375000,58.312500,61.562500,39.780396,5003800
2000-05-15,61.562500,64.000000,60.500000,61.875000,39.982319,3484300
2000-05-22,61.625000,62.250000,56.750000,57.187500,36.953362,3762300
2000-05-29,57.000000,62.437500,57.000000,61.000000,39.529617,3402200
2000-06-05,60.875000,62.500000,59.312500,59.312500,38.436077,3238700
2000-06-12,59.000000,62.750000,57.500000,61.750000,40.015640,4759500
2000-06-19,61.750000,62.937500,60.250000,61.437500,39.813133,4281100
2000-06-26,60.750000,62.000000,58.625000,58.906200,38.172783,5344600
2000-07-03,59.500000,61.437500,59.312500,60.687500,39.327110,2507600
2000-07-10,60.000000,61.062500,59.875000,60.875000,39.448616,2988400
2000-07-17,60.937500,61.500000,59.000000,59.500000,38.557594,4691600
2000-07-24,58.750000,59.500000,57.250000,57.375000,37.180523,3348200
2000-07-31,57.375000,58.750000,57.250000,57.687500,37.383034,2111600
2000-08-07,57.812500,59.000000,54.875000,59.000000,38.233566,4733900
2000-08-14,58.750000,59.062500,55.812500,56.187500,36.411003,3689000
2000-08-21,56.250000,57.937500,55.562500,57.625000,37.342533,3585300
2000-08-28,57.625000,57.750000,55.000000,55.875000,36.319241,3910400
2000-09-04,55.250000,56.187500,53.125000,53.312500,34.653595,3957600
2000-09-11,53.562500,56.625000,51.875000,55.375000,35.994228,5874300
2000-09-18,55.062500,56.500000,52.000000,56.000000,36.400505,10263400
2000-09-25,56.437500,57.562500,55.250000,56.375000,36.644241,6507200
2000-10-02,56.000000,59.812500,55.875000,58.062500,37.741138,5207300
2000-10-09,58.312500,59.375000,54.562500,56.625000,36.806736,4292200
2000-10-16,56.500000,62.187500,51.250000,62.000000,40.300541,10572100
2000-10-23,61.437500,61.625000,58.750000,59.312500,38.553642,5410500
2000-10-30,59.000000,61.937500,58.000000,60.562500,39.366158,5634800
2000-11-06,60.437500,60.625000,58.187500,58.312500,37.903633,3305100
2000-11-13,57.750000,60.000000,57.750000,59.250000,38.513016,3716200
2000-11-20,59.000000,61.125000,58.562500,60.875000,39.569279,4636900
2000-11-27,60.875000,61.437500,59.750000,60.875000,39.681129,5539700
2000-12-04,60.000000,64.125000,59.625000,63.687500,41.514462,8955300
2000-12-11,63.750000,64.312500,56.125000,57.437500,37.440407,11059600
2000-12-18,56.812500,57.687500,53.125000,56.500000,36.829296,6848700
2000-12-25,56.062500,59.187500,55.750000,58.750000,38.295959,3889400
2001-01-01,58.000000,62.500000,55.687500,60.625000,39.518166,9255500
2001-01-08,60.562500,61.125000,58.000000,58.937500,38.418182,9479800
2001-01-15,58.875000,60.437500,58.375000,60.000000,39.110756,3545500
2001-01-22,60.000000,61.000000,59.812500,60.375000,39.355213,5401000
2001-01-29,60.599998,62.000000,60.450001,61.099998,39.827808,7848000
2001-02-05,61.000000,61.000000,59.009998,59.820000,38.993423,4303500
2001-02-12,59.650002,60.509998,59.360001,60.029999,39.130318,4870500
2001-02-19,60.029999,60.680000,57.250000,57.599998,37.546326,4192100
2001-02-26,57.650002,58.400002,55.689999,56.939999,37.236221,5126100
2001-03-05,56.500000,59.700001,56.500000,58.830002,38.472195,4247000
2001-03-12,58.799999,58.799999,55.740002,55.750000,36.458031,4869400
2001-03-19,55.900002,58.360001,54.570000,55.250000,36.131035,7757800
2001-03-26,55.250000,56.900002,55.250000,56.900002,37.210079,3316900
2001-04-02,56.650002,56.660000,52.000000,54.180000,35.431305,8110600
2001-04-09,54.180000,54.970001,53.169998,54.209999,35.450935,2636900
