Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.318359,0.326172,0.298828,0.326172,0.002315,4198400
1980-03-24,0.322266,0.322266,0.291016,0.298828,0.002121,985600
1980-03-31,0.298828,0.312500,0.292969,0.312500,0.002218,1120000
1980-04-07,0.308594,0.318359,0.292969,0.318359,0.002260,1228800
1980-04-14,0.318359,0.322266,0.306641,0.310547,0.002205,1331200
1980-04-21,0.310547,0.310547,0.300781,0.304688,0.002163,1228800
1980-04-28,0.302734,0.310547,0.298828,0.308594,0.002191,806400
1980-05-05,0.312500,0.333984,0.312500,0.318359,0.002260,2937600
1980-05-12,0.320313,0.332031,0.314453,0.332031,0.002357,5798400
1980-05-19,0.332031,0.410156,0.328125,0.392578,0.002787,11948800
1980-05-26,0.390625,0.390625,0.353516,0.363281,0.002579,4915200
1980-06-02,0.363281,0.365234,0.345703,0.359375,0.002551,1177600
1980-06-09,0.359375,0.365234,0.353516,0.361328,0.002565,1286400
1980-06-16,0.361328,0.371094,0.353516,0.367188,0.002607,2259200
1980-06-23,0.367188,0.367188,0.353516,0.353516,0.002510,2694400
1980-06-30,0.353516,0.382813,0.353516,0.382813,0.002718,3353600
1980-07-07,0.388672,0.398438,0.376953,0.376953,0.002676,1894400
1980-07-14,0.380859,0.427734,0.380859,0.417969,0.002967,4486400
1980-07-21,0.417969,0.425781,0.398438,0.404297,0.002870,4684800
1980-07-28,0.406250,0.435547,0.406250,0.431641,0.003064,7238400
1980-08-04,0.433594,0.443359,0.416016,0.433594,0.003078,3788800
1980-08-11,0.433594,0.435547,0.416016,0.431641,0.003064,2214400
1980-08-18,0.431641,0.437500,0.425781,0.431641,0.003064,1299200
1980-08-25,0.431641,0.453125,0.431641,0.443359,0.003147,1094400
1980-09-01,0.443359,0.453125,0.433594,0.433594,0.003078,3052800
1980-09-08,0.441406,0.449219,0.435547,0.447266,0.003175,3609600
1980-09-15,0.447266,0.457031,0.445313,0.445313,0.003161,9248000
1980-09-22,0.445313,0.500000,0.443359,0.494141,0.003508,13388800
1980-09-29,0.494141,0.496094,0.488281,0.492188,0.003494,49235200
1980-10-06,0.492188,0.494141,0.490234,0.494141,0.003508,1203200
1980-10-13,0.494141,0.498047,0.492188,0.494141,0.003508,3712000
1980-10-20,0.494141,0.496094,0.410156,0.421875,0.002995,12006400
1980-10-27,0.421875,0.429688,0.410156,0.419922,0.002981,3187200
1980-11-03,0.419922,0.435547,0.419922,0.429688,0.003050,5420800
1980-11-10,0.429688,0.433594,0.406250,0.433594,0.003078,6899200
1980-11-17,0.433594,0.460938,0.429688,0.460938,0.003272,5728000
1980-11-24,0.460938,0.462891,0.449219,0.451172,0.003203,2732800
1980-12-01,0.451172,0.455078,0.421875,0.421875,0.002995,1510400
1980-12-08,0.421875,0.441406,0.417969,0.417969,0.002967,1433600
1980-12-15,0.417969,0.419922,0.408203,0.416016,0.002953,915200
1980-12-22,0.416016,0.421875,0.406250,0.419922,0.002981,3788800
1980-12-29,0.421875,0.429688,0.419922,0.423828,0.003009,1158400
1981-01-05,0.423828,0.443359,0.416016,0.425781,0.003023,2694400
1981-01-12,0.425781,0.437500,0.423828,0.435547,0.003092,1049600
1981-01-19,0.435547,0.443359,0.427734,0.435547,0.003092,1529600
1981-01-26,0.435547,0.445313,0.421875,0.445313,0.003161,1312000
1981-02-02,0.445313,0.451172,0.435547,0.447266,0.003175,1299200
1981-02-09,0.447266,0.453125,0.433594,0.439453,0.003120,608000
1981-02-16,0.439453,0.458984,0.437500,0.445313,0.003161,2880000
1981-02-23,0.445313,0.466797,0.439453,0.462891,0.003286,2508800
1981-03-02,0.474609,0.527344,0.474609,0.521484,0.003702,5670400
1981-03-09,0.521484,0.525391,0.503906,0.511719,0.003633,5792000
1981-03-16,0.515625,0.537109,0.515625,0.533203,0.003785,10598400
1981-03-23,0.535156,0.554688,0.531250,0.531250,0.003771,5651200
1981-03-30,0.531250,0.580078,0.529297,0.572266,0.004063,4844800
1981-04-06,0.572266,0.572266,0.552734,0.552734,0.003924,5817600
1981-04-13,0.554688,0.585938,0.541016,0.580078,0.004118,5171200
1981-04-20,0.582031,0.587891,0.546875,0.572266,0.004063,10419200
