Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.864583,2.937500,2.645833,2.645833,0.250473,103200
1980-03-24,2.645833,2.656250,2.541667,2.614583,0.247514,102000
1980-03-31,2.625000,2.750000,2.625000,2.666667,0.252445,1207200
1980-04-07,2.645833,2.750000,2.583333,2.750000,0.260334,90000
1980-04-14,2.750000,2.750000,2.687500,2.687500,0.254417,30000
1980-04-21,2.687500,2.770833,2.687500,2.687500,0.254417,33600
1980-04-28,2.687500,2.739583,2.687500,2.697917,0.255403,49200
1980-05-05,2.697917,2.750000,2.666667,2.708333,0.256389,68400
1980-05-12,2.729167,2.729167,2.677083,2.687500,0.254417,52800
1980-05-19,2.687500,2.770833,2.614583,2.750000,0.260334,128400
1980-05-26,2.750000,2.770833,2.729167,2.750000,0.260334,24000
1980-06-02,2.750000,2.843750,2.750000,2.770833,0.262306,100800
1980-06-09,2.791667,2.833333,2.770833,2.812500,0.266250,61200
1980-06-16,2.833333,2.989583,2.833333,2.937500,0.278084,82800
1980-06-23,2.937500,2.989583,2.927083,2.989583,0.283014,57600
1980-06-30,2.989583,2.989583,2.927083,2.927083,0.277098,32400
1980-07-07,2.937500,3.125000,2.937500,3.083333,0.291889,158400
1980-07-14,3.083333,3.083333,2.989583,2.989583,0.283014,187200
1980-07-21,2.989583,3.104167,2.947917,3.083333,0.291889,82800
1980-07-28,3.083333,3.114583,3.041667,3.083333,0.291889,78000
1980-08-04,3.083333,3.125000,3.062500,3.125000,0.295834,56400
1980-08-11,3.125000,3.395833,3.104167,3.354167,0.317528,159600
1980-08-18,3.333333,3.333333,3.208333,3.270833,0.309639,66000
1980-08-25,3.250000,3.250000,3.114583,3.135417,0.296820,42000
1980-09-01,3.135417,3.250000,3.114583,3.208333,0.303723,51600
1980-09-08,3.229167,3.541667,3.187500,3.541667,0.335278,130800
1980-09-15,3.552083,3.729167,3.552083,3.729167,0.353028,100800
1980-09-22,3.708333,3.708333,3.583333,3.583333,0.339223,91200
1980-09-29,3.583333,3.604167,3.333333,3.395833,0.321473,87600
1980-10-06,3.416667,3.479167,3.416667,3.447917,0.326403,218400
1980-10-13,3.458333,3.791667,3.447917,3.791667,0.358945,140400
1980-10-20,3.822917,3.958333,3.729167,3.750000,0.355000,162000
1980-10-27,3.729167,3.729167,3.500000,3.531250,0.334292,86400
1980-11-03,3.500000,3.583333,3.500000,3.541667,0.335278,98400
1980-11-10,3.541667,3.666667,3.458333,3.666667,0.347111,120000
1980-11-17,3.645833,3.750000,3.541667,3.541667,0.335278,73200
1980-11-24,3.520833,3.541667,3.458333,3.541667,0.335278,124800
1980-12-01,3.541667,3.604167,3.541667,3.541667,0.335278,28800
1980-12-08,3.541667,3.541667,3.354167,3.354167,0.317528,72000
1980-12-15,3.354167,3.395833,3.312500,3.395833,0.321473,62400
1980-12-22,3.416667,3.458333,3.416667,3.416667,0.323445,31200
1980-12-29,3.416667,3.500000,3.416667,3.479167,0.329361,51600
1981-01-05,3.500000,3.531250,3.395833,3.416667,0.323445,61200
1981-01-12,3.447917,3.479167,3.427083,3.479167,0.329361,34800
1981-01-19,3.479167,3.479167,3.375000,3.375000,0.319500,43200
1981-01-26,3.375000,3.500000,3.354167,3.479167,0.329361,97200
1981-02-02,3.479167,3.500000,3.427083,3.427083,0.324431,44400
1981-02-09,3.427083,3.447917,3.416667,3.437500,0.325417,39600
1981-02-16,3.437500,3.458333,3.343750,3.364583,0.318514,57600
1981-02-23,3.364583,3.437500,3.354167,3.437500,0.325417,43200
1981-03-02,3.437500,3.447917,3.385417,3.385417,0.320487,93600
1981-03-09,3.406250,3.500000,3.385417,3.437500,0.325417,92400
1981-03-16,3.437500,3.729167,3.427083,3.729167,0.353028,136800
