Date,Open,High,Low,Close,Adj Close,Volume
1981-02-23,0.358930,0.381000,0.358930,0.376840,0.363079,15950360
1981-03-02,0.374120,0.376840,0.336930,0.341090,0.328635,6510281
1981-03-09,0.347970,0.352050,0.332780,0.341090,0.328635,3992700
1981-03-16,0.352050,0.358930,0.341090,0.347970,0.335264,4258427
1981-03-23,0.352050,0.354850,0.330060,0.330060,0.318008,3011559
1981-03-30,0.343810,0.374120,0.343810,0.365810,0.352452,4759217
1981-04-06,0.385080,0.446980,0.385080,0.442820,0.426650,27727463
1981-04-13,0.431790,0.490970,0.431790,0.486890,0.469111,16655555
1981-04-20,0.468970,0.501930,0.453860,0.462100,0.445226,18403214
1981-04-27,0.451060,0.486890,0.451060,0.480010,0.462482,17459547
1981-05-04,0.464820,0.508880,0.464820,0.490970,0.473042,19530845
1981-05-11,0.462100,0.528080,0.462100,0.519840,0.500858,12744617
1981-05-18,0.528080,0.623010,0.524000,0.618930,0.596329,22583285
1981-05-25,0.607810,0.733050,0.607810,0.706900,0.681087,30861665
1981-06-01,0.673870,0.777040,0.671150,0.772880,0.744658,32432172
1981-06-08,0.759120,0.792150,0.706900,0.772880,0.744658,16594234
1981-06-15,0.744010,0.759120,0.728890,0.755050,0.727479,10881129
1981-06-22,0.761920,0.814150,0.761920,0.805910,0.776482,14424140
1981-06-29,0.803110,0.847180,0.744010,0.744010,0.716842,15517705
1981-07-06,0.673870,0.750890,0.673870,0.744010,0.716842,11998540
1981-07-13,0.717860,0.722020,0.693150,0.700020,0.674458,6387639
1981-07-20,0.671150,0.704100,0.671150,0.700020,0.674458,4466237
1981-07-27,0.704100,0.728890,0.695860,0.706900,0.681087,6125319
1981-08-03,0.682190,0.689070,0.666990,0.666990,0.642634,5522326
1981-08-10,0.666990,0.755050,0.666990,0.728890,0.702274,8653121
1981-08-17,0.673870,0.684910,0.651880,0.671150,0.646643,5464413
1981-08-24,0.651880,0.671150,0.651880,0.662920,0.638713,5876627
1981-08-31,0.662920,0.671150,0.552870,0.552870,0.532682,7235918
1981-09-07,0.557030,0.660110,0.557030,0.651880,0.628076,4691082
1981-09-14,0.607810,0.616130,0.550150,0.550150,0.530061,4237986
1981-09-21,0.579020,0.585900,0.490970,0.490970,0.473042,5038571
1981-09-28,0.530870,0.627090,0.530870,0.618930,0.596329,9324249
1981-10-05,0.660110,0.689070,0.645000,0.671150,0.646643,11289938
1981-10-12,0.673870,0.684910,0.666990,0.678030,0.653271,7215478
1981-10-19,0.706900,0.717860,0.689070,0.693150,0.667839,11494342
1981-10-26,0.682190,0.777040,0.682190,0.759120,0.731400,21223995
1981-11-02,0.783920,0.865090,0.783920,0.814150,0.784421,22617353
1981-11-09,0.843020,0.860930,0.843020,0.847180,0.816245,12063269
1981-11-16,0.792150,0.825180,0.792150,0.821030,0.791050,7634507
1981-11-23,0.827900,0.854050,0.827900,0.849900,0.818865,8288601
1981-11-30,0.836140,0.843020,0.772880,0.821030,0.791050,9365130
1981-12-07,0.792150,0.799030,0.755050,0.755050,0.727479,5307702
1981-12-14,0.715140,0.717860,0.651880,0.700020,0.674458,11552258
1981-12-21,0.715140,0.722020,0.695860,0.695860,0.670450,2725392
1981-12-28,0.682190,0.689070,0.640840,0.684910,0.659900,4207325
1982-01-04,0.679390,0.682190,0.621960,0.621960,0.599249,4860284
1982-01-11,0.566910,0.632920,0.539380,0.627400,0.604490,5278176
1982-01-18,0.616440,0.627400,0.588910,0.605400,0.583293,3742873
1982-01-25,0.572430,0.621960,0.561390,0.605400,0.583293,11528410
1982-02-01,0.539380,0.572430,0.539380,0.561390,0.540890,5652919
1982-02-08,0.555870,0.610920,0.528340,0.594430,0.572724,5825527
1982-02-15,0.654930,0.676930,0.566910,0.632920,0.609809,8296549
1982-02-22,0.599950,0.665970,0.583390,0.627400,0.604490,6143489
1982-03-01,0.649480,0.660450,0.544820,0.550420,0.530321,3261387
1982-03-08,0.522900,0.577870,0.495290,0.511860,0.493169,7383542
1982-03-15,0.522900,0.588910,0.511860,0.577870,0.556769,3667924
1982-03-22,0.599950,0.616440,0.550420,0.605400,0.583293,4417408
1982-03-29,0.682530,0.737500,0.621960,0.732060,0.705328,12775277
1982-04-05,0.704450,0.748540,0.682530,0.737500,0.710570,6168472
1982-04-12,0.715500,0.753980,0.671490,0.748540,0.721207,5144179
1982-04-19,0.721010,0.743020,0.693490,0.715500,0.689373,4687675
1982-04-26,0.737500,0.748540,0.704450,0.715500,0.689373,6268402
1982-05-03,0.765020,0.809030,0.699010,0.781590,0.753050,9529788
1982-05-10,0.770540,0.781590,0.704450,0.748540,0.721207,10990146
1982-05-17,0.748540,0.787030,0.709980,0.726540,0.700010,4980655
1982-05-24,0.759510,0.798070,0.676930,0.699010,0.673485,14703493
1982-05-31,0.676930,0.732060,0.643960,0.660450,0.636333,3013829
1982-06-07,0.638440,0.687970,0.610920,0.687970,0.662848,4426493
1982-06-14,0.638440,0.682530,0.588910,0.616440,0.593930,4773979
1982-06-21,0.605400,0.682530,0.583390,0.627400,0.604490,9906801
